id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.163164,-40.9695,-1.5866548,212.82819,25.449728,0.056172274,,0.056172274
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.173164,-40.965435,-1.5236471,212.8101,22.568535,0.065674886,0.9502616,0.065674886
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.183164,-40.964005,-1.454683,212.81287,22.427706,0.0690343,0.33594117,0.0690343
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.193164,-40.957855,-1.3814754,212.79178,22.385002,0.07643393,0.73996276,0.07643393
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.203164,-40.95091,-1.3040186,212.76666,22.50271,0.08172405,0.5290121,0.08172405
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.213164,-40.94383,-1.2236717,212.74089,23.190304,0.08467415,0.29500985,0.08467415
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.223164,-40.94173,-1.1417701,212.73376,23.906467,0.08223756,-0.24365912,0.08223756
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.233164,-40.94314,-1.0581906,212.75226,24.58256,0.08561163,0.337407,0.08561163
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.243164,-40.936134,-0.9721944,212.7369,24.332552,0.087638736,0.20271075,0.087638736
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.253164,-40.924053,-0.88410413,212.70206,23.605478,0.09549215,0.7853411,0.09549215
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.263164,-40.909523,-0.7940792,212.66246,23.079594,0.09941606,0.39239147,0.09941606
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.273164,-40.90612,-0.7027277,212.66745,20.336609,0.09155081,-0.7865248,0.09155081
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.283164,-40.90029,-0.6100626,212.6631,19.81445,0.092949726,0.13989182,0.092949726
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.293164,-40.887268,-0.5155076,212.62585,19.025543,0.10246014,0.95104116,0.10246014
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.303164,-40.873974,-0.41860738,212.591,19.077494,0.103830546,0.13704082,0.103830546
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.313164,-40.871696,-0.31895632,212.60608,18.813683,0.10081001,-0.30205333,0.10081001
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.323165,-40.868046,-0.21454865,212.61746,18.429237,0.10507985,0.42694062,0.10509036
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.333165,-40.865894,-0.105864234,212.63402,17.748058,0.10995851,0.48786557,0.10995851
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.343165,-40.8674,0.0073773107,212.65767,17.765781,0.11569482,0.5736317,0.11569482
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.353165,-40.86838,0.12423563,212.67747,17.787174,0.11853046,0.28356403,0.11853046
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.363165,-40.873047,0.243991,212.71951,17.918844,0.12700608,0.8475628,0.12700608
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.373165,-40.866722,0.3659034,212.71223,17.785421,0.12229363,-0.4712462,0.12229363
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.383165,-40.86641,0.4895473,212.73491,18.83752,0.1257076,0.34139663,0.1257076
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.393165,-40.872444,0.6132946,212.7885,20.499926,0.13498487,0.9277267,0.13498487
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.403165,-40.878616,0.735736,212.83934,21.864138,0.1327219,-0.22629616,0.1327219
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.413165,-40.87261,0.85759187,212.84183,23.018349,0.1220291,-1.0692796,0.1220291
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.423165,-40.869606,0.97840154,212.85574,24.224863,0.121646464,-0.038263883,0.121646464
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.433165,-40.861282,1.1001936,212.8453,25.105665,0.1225221,0.087563455,0.1225221
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.443165,-40.853893,1.2238585,212.84198,25.668875,0.12393027,0.14081663,0.12393027
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.453165,-40.848305,1.3516824,212.86061,26.609608,0.12929565,0.53653747,0.12929565
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.463165,-40.842117,1.4843274,212.87233,27.028255,0.13330519,0.40095466,0.13330519
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.473165,-40.832905,1.6245011,212.87985,25.35682,0.14067775,0.7372559,0.14067775
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.483165,-40.81519,1.7707994,212.85005,24.879944,0.15034808,0.96703345,0.15034808
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.493165,-40.802475,1.9227214,212.84537,25.788462,0.15252516,0.21770835,0.15252516
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.513165,-40.786304,2.0879593,212.83395,26.629042,0.08320986,-3.4657655,0.16641971
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.523165,-40.768528,2.260431,212.8268,26.63807,0.17353259,9.032273,0.17353259
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.533165,-40.749084,2.437548,212.81313,27.11055,0.17870502,0.5172425,0.17870502
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.543165,-40.732956,2.6188111,212.82426,27.25965,0.18232001,0.36149937,0.18232001
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.553166,-40.71146,2.8030105,212.81142,27.492872,0.18587542,0.35550508,0.185894
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.563166,-40.688393,2.9904687,212.79189,27.587936,0.18987973,0.40043125,0.18987973
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.573166,-40.663715,3.1829362,212.76611,27.616072,0.19574662,0.58668876,0.19574662
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.583166,-40.640697,3.3792675,212.76698,26.498865,0.19767773,0.19311139,0.19767773
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.593166,-40.620888,3.5779495,212.78268,26.40712,0.20028432,0.2606592,0.20028432
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.613166,-40.595997,3.784892,212.78491,26.971313,0.1042229,-4.803071,0.2084458
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.623166,-40.574482,3.9883757,212.80812,27.240517,0.20592918,10.170628,0.20592918
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.633166,-40.553505,4.189733,212.8215,27.809631,0.20288928,-0.3039889,0.20288928
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.643166,-40.534447,4.3920016,212.85535,27.530222,0.20596446,0.3075172,0.20596446
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.653166,-40.51033,4.5961304,212.8657,27.634014,0.20580886,-0.015558908,0.20580886
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.663166,-40.482914,4.804031,212.8766,27.64508,0.20998293,0.41740656,0.20998293
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.673166,-40.45734,5.0167756,212.89523,27.696194,0.21508555,0.51026154,0.21508555
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.683166,-40.43096,5.234077,212.92482,27.636288,0.22088632,0.5800771,0.22088632
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.693166,-40.397377,5.4535956,212.92418,26.441395,0.22207373,0.11874159,0.22207373
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.703166,-40.362175,5.6766224,212.92352,26.701418,0.2257883,0.37145662,0.2257883
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.713166,-40.3258,5.89572,212.91939,26.974104,0.2221351,-0.36532068,0.2221351
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.723166,-40.287216,6.1139755,212.89722,27.48187,0.22274537,0.061027855,0.22274537
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.733166,-40.25199,6.3346467,212.90912,27.742632,0.22378251,0.10371401,0.22378251
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.743166,-40.21284,6.555332,212.90248,27.752829,0.22422977,0.04472578,0.22422977
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.753166,-40.174797,6.7738175,212.90138,28.08321,0.22177552,-0.24542548,0.22177552
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.763166,-40.1399,6.9887753,212.91035,27.908794,0.21795666,-0.38188547,0.21795666
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.773167,-40.1033,7.1994443,212.91455,28.079,0.21384494,-0.41113067,0.21386632
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.783167,-40.064163,7.405861,212.91132,28.167273,0.210119,-0.3725943,0.210119
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.793167,-40.02865,7.613215,212.93074,26.616886,0.21126784,0.11488486,0.21126784
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.803167,-39.987225,7.824184,212.93103,26.838703,0.21499743,0.37295693,0.21499743
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.813167,-39.94476,8.042573,212.94054,27.474052,0.22268179,0.76843745,0.22268179
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.823167,-39.900436,8.270694,212.95966,27.803856,0.23317236,1.049056,0.23317236
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.833167,-39.84864,8.507387,212.9551,27.861794,0.24233745,0.91650933,0.24233745
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.843167,-39.794487,8.751877,212.95497,27.920536,0.25041592,0.80784786,0.25041592
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.853167,-39.737457,9.002429,212.9467,27.733727,0.257094,0.6678071,0.257094
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.863167,-39.679317,9.257571,212.94792,27.864689,0.26168555,0.45915672,0.26168555
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.873167,-39.618877,9.514446,212.94183,27.976076,0.2639606,0.22750229,0.2639606
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.883167,-39.557198,9.7719,212.93332,27.725409,0.26487494,0.09143342,0.26487494
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.893167,-39.493088,10.02708,212.9156,26.179562,0.2637059,-0.11690266,0.2637059
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.903167,-39.42913,10.277037,212.89777,25.845242,0.2586256,-0.5080283,0.2586256
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.913167,-39.368523,10.524095,212.89542,26.276262,0.25439417,-0.42314285,0.25439417
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.923167,-39.306953,10.769322,212.89511,26.87452,0.25283915,-0.15550329,0.25283915
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.933167,-39.242043,11.014316,212.88269,27.292124,0.25375122,0.09120697,0.25375122
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.943167,-39.175083,11.261415,212.86493,27.425623,0.2566252,0.2873988,0.2566252
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.953167,-39.106094,11.511723,212.8577,27.790962,0.2597423,0.3117096,0.2597423
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.963167,-39.036,11.764986,212.84935,27.624105,0.26291597,0.31736523,0.26291597
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.973167,-38.96698,12.020374,212.86,27.577778,0.26476532,0.18493803,0.26476532
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.983167,-38.897404,12.275678,212.87428,27.602224,0.26499885,0.023352267,0.26499885
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:26.993167,-38.82514,12.528566,212.87509,26.404036,0.26301238,-0.19864896,0.26301238
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:27.003168,-38.754753,12.782399,212.8967,26.797806,0.26426944,0.12569578,0.26429588
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:27.013168,-38.68157,13.03394,212.90726,26.930887,0.26218465,-0.20847899,0.26218465
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:27.023168,-38.604115,13.280097,212.89421,27.423096,0.2583839,-0.3800775,0.2583839
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:27.033168,-38.534153,13.523814,212.91724,27.572128,0.25460288,-0.37809944,0.25460288
01FXK8DMJFB9RY0H008R31VPT5,2022-03-07 22:36:27.043168,-38.462162,13.762571,212.93768,27.44062,0.25021067,-0.439221,0.25021067
