id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.134213,2.5179338,-48.08742,266.528,31.622175,0.048688333,0.5930558,0.048688333
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.144213,2.5202456,-48.072422,266.4925,32.221977,0.038622722,-1.0065614,0.038622722
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.154213,2.522083,-48.058426,266.46405,32.87871,0.03175666,-0.68660593,0.03175666
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.164213,2.5236244,-48.054047,266.46783,34.014904,0.0059891655,-2.5767496,0.0059891655
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.174213,2.524808,-48.04927,266.50034,35.523605,0.0328837,2.6894534,0.0328837
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.184213,2.5256853,-48.04914,266.55026,36.212677,0.049919378,1.703568,0.049919378
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.194214,2.5257733,-48.04322,266.58682,37.12524,0.037032723,-1.2885368,0.037036426
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.204214,2.5253203,-48.037895,266.62222,38.647266,0.035816196,-0.12165251,0.035816196
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.214214,2.525349,-48.030487,266.64676,39.67739,0.025627201,-1.0188997,0.025627201
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.224214,2.5250099,-48.020554,266.67664,40.73128,0.031490106,0.58629036,0.031490106
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.234214,2.5253708,-48.013424,266.70996,40.44759,0.034075435,0.25853285,0.034075435
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.244214,2.525984,-48.00466,266.744,39.967327,0.035138924,0.10634915,0.035138924
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.254214,2.5261002,-47.995808,266.78674,39.992737,0.043665476,0.8526552,0.043665476
01G2QNG2ARZ14EE22MH12YN8X3,2022-05-10 19:00:24.264214,2.5257573,-47.985878,266.83258,40.269558,0.046896607,0.32311314,0.046896607
