id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.191845,-16.87094,-38.425808,260.39447,15.954994,0.116854146,-1.9090343,0.116854146
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.201845,-16.885378,-38.43514,260.48444,17.423653,0.09159364,-2.526051,0.09159364
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.211845,-16.889374,-38.429333,260.49573,19.191809,0.013289143,-7.8304496,0.013289143
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.221846,-16.889317,-38.414833,260.45953,20.919672,0.03896169,2.566998,0.038965587
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.231846,-16.889917,-38.403812,260.45187,22.441807,0.013442594,-2.5519097,0.013442594
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.241846,-16.889847,-38.398304,260.4659,24.12246,0.0150776,0.16350068,0.0150776
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.251846,-16.888887,-38.391342,260.47266,25.729212,0.009741737,-0.5335864,0.009741737
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.261846,-16.888262,-38.383995,260.4966,27.631088,0.02508247,1.5340735,0.02508247
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.271846,-16.887875,-38.378845,260.5402,29.319658,0.043881096,1.8798623,0.043881096
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.281846,-16.888868,-38.373287,260.57617,28.613531,0.036405325,-0.74757683,0.036405325
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.291846,-16.891825,-38.368675,260.637,29.114105,0.06107987,2.4674544,0.06107987
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.301846,-16.894455,-38.36585,260.71387,30.683308,0.07697377,1.5893904,0.07697377
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.311846,-16.896967,-38.36539,260.7961,31.794083,0.08228752,0.5313742,0.08228752
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.321846,-16.899733,-38.3656,260.88504,32.536133,0.08897149,0.6683967,0.08897149
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.331846,-16.901215,-38.36125,260.955,32.781094,0.07009991,-1.8871571,0.07009991
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.341846,-16.901276,-38.35106,261.0016,34.049843,0.047690336,-2.2409577,0.047690336
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.351846,-16.901127,-38.34188,261.04196,35.382404,0.04139889,-0.6291445,0.04139889
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.361846,-16.900846,-38.3349,261.0795,36.235332,0.038184818,-0.32140714,0.038184818
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.371846,-16.901857,-38.325493,261.12494,36.897987,0.046411484,0.82266635,0.046411484
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.381846,-16.900723,-38.31257,261.15646,36.983196,0.03408459,-1.2326895,0.03408459
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.391846,-16.899227,-38.3013,261.19775,36.479412,0.042838037,0.87534493,0.042838037
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.401846,-16.897593,-38.291515,261.23965,36.90632,0.043062024,0.022398783,0.043062024
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.411846,-16.89626,-38.278984,261.28925,38.141132,0.051164947,0.81029236,0.051164947
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.421846,-16.89438,-38.263626,261.33655,38.41559,0.04975625,-0.1408696,0.04975625
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.431846,-16.892654,-38.25076,261.39438,39.484627,0.059279297,0.9523043,0.059279297
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.441846,-16.891827,-38.24015,261.46286,40.00438,0.069318205,1.0038905,0.069318205
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.451847,-16.891888,-38.22523,261.529,40.32648,0.06777188,-0.15461636,0.06777866
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.461847,-16.89168,-38.207397,261.5883,41.120987,0.061916966,-0.5854916,0.061916966
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.471847,-16.890064,-38.192455,261.65317,42.661343,0.06659241,0.46754417,0.06659241
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.481847,-16.888353,-38.180042,261.74503,42.46703,0.09271445,2.6122046,0.09271445
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.491847,-16.886395,-38.164062,261.82498,42.389988,0.08156674,-1.114771,0.08156674
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.501847,-16.884624,-38.14781,261.90265,42.432262,0.079381436,-0.21853079,0.079381436
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.511847,-16.883192,-38.12979,261.96463,42.314106,0.06455422,-1.4827216,0.06455422
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.521847,-16.88284,-38.11346,262.04388,42.63827,0.08091113,1.6356909,0.08091113
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.531847,-16.882614,-38.097713,262.11877,42.982925,0.076539986,-0.43711418,0.076539986
01G2ZXQJJ132RDVC04BYVDVT9Y,2022-05-13 23:58:14.541847,-16.882322,-38.080326,262.1969,43.52496,0.08002484,0.3484851,0.08002484
