id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.422603,30.098787,-87.97516,242.0308,37.598133,0.05988815,0.3496076,0.05988815
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.432603,30.138575,-87.928,242.02968,36.79202,0.061710984,0.18228324,0.061710984
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.442603,30.180614,-87.8829,242.03697,35.805367,0.062086575,0.037558947,0.062086575
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.452603,30.223259,-87.840614,242.0516,35.06739,0.061813295,-0.02732804,0.061813295
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.462603,30.26566,-87.80421,242.0783,35.334557,0.061932255,0.01189603,0.061932255
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.472603,30.306814,-87.76456,242.09709,34.64689,0.06016243,-0.17698248,0.06016243
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.482603,30.345005,-87.71713,242.0968,35.54555,0.0608839,0.07214706,0.0608839
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.492603,30.382507,-87.66449,242.08241,36.350986,0.06622073,0.5336829,0.06622073
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.502603,30.425282,-87.62097,242.09842,37.442238,0.0630821,-0.31386316,0.0630821
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.512603,30.465258,-87.567,242.08318,37.61706,0.06887344,0.57913435,0.06887344
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.522603,30.508581,-87.5166,242.08626,36.96705,0.06653004,-0.23433958,0.06653004
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.532603,30.552631,-87.46056,242.07823,35.377056,0.07173021,0.5200164,0.07173021
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.542603,30.598248,-87.404015,242.06908,34.36925,0.0732304,0.15001898,0.0732304
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.552604,30.645767,-87.348114,242.06184,34.71877,0.07371835,0.048790198,0.07372572
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.562604,30.694948,-87.28908,242.05319,34.838234,0.077324085,0.36057362,0.077324085
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.572604,30.745972,-87.23127,242.0523,36.25524,0.07710525,-0.021884162,0.07710525
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.582604,30.798126,-87.172806,242.056,37.275234,0.07843548,0.13302398,0.07843548
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.592604,30.853287,-87.117455,242.07617,38.93366,0.08070667,0.22711869,0.08070667
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.602604,30.905317,-87.053986,242.07002,39.79685,0.08229793,0.15912578,0.08229793
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.612604,30.960447,-86.99731,242.08731,40.856796,0.080936156,-0.13617696,0.080936156
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.622604,31.012156,-86.934,242.08795,37.86767,0.081747025,0.08108684,0.081747025
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.642604,31.070549,-86.871635,242.10892,36.161705,0.043983597,-1.8881714,0.087967195
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.652604,31.127146,-86.80323,242.11267,36.06649,0.088864096,4.4880495,0.088864096
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.662604,31.181503,-86.72868,242.0998,35.98771,0.093155526,0.42914337,0.093155526
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.672604,31.234825,-86.65198,242.07841,36.79813,0.09583378,0.2678249,0.09583378
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.682604,31.293495,-86.5831,242.0847,37.900307,0.09069384,-0.5139937,0.09069384
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.692604,31.351917,-86.51519,242.09459,38.48063,0.09012787,-0.05659661,0.09012787
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.702604,31.409641,-86.44208,242.09059,39.868225,0.09323873,0.31108633,0.09323873
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.712604,31.468662,-86.36808,242.0903,40.366146,0.09465429,0.14155583,0.09465429
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.722604,31.526966,-86.28455,242.07288,40.749172,0.10334061,0.8686314,0.10334061
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.732604,31.591658,-86.20288,242.06842,38.38595,0.10428539,0.094478205,0.10428539
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.742604,31.651474,-86.120865,242.0476,37.18529,0.10362619,-0.06592017,0.10362619
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.752604,31.714872,-86.04367,242.05316,36.079254,0.10004487,-0.35813236,0.10004487
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.762604,31.780998,-85.9725,242.0821,36.92247,0.10136735,0.13224787,0.10136735
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.772605,31.847094,-85.8916,242.09279,37.492706,0.10500809,0.36403763,0.105018586
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.782605,31.91274,-85.80621,242.08905,38.793484,0.1077708,0.27627176,0.1077708
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.792605,31.97686,-85.71156,242.06152,39.134842,0.11759115,0.9820346,0.11759115
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.802605,32.044674,-85.62291,242.0539,39.944756,0.1118775,-0.5713646,0.1118775
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.812605,32.11373,-85.53467,242.05367,40.52096,0.11204874,0.017123615,0.11204874
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.822605,32.184334,-85.4558,242.07399,41.15452,0.107784815,-0.4263923,0.107784815
01G2DX86BYC59X7W4BS52YEWE1,2022-05-07 00:03:30.832605,32.251797,-85.3699,242.0789,38.608555,0.10933584,0.1551024,0.10933584
