id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.259964,30.634514,-39.22737,315.20197,25.328667,0.024476772,-0.11024995,0.024476772
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.269964,30.646294,-39.213326,315.17847,26.433311,0.029799381,0.53226084,0.029799381
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.279964,30.658447,-39.19697,315.1369,27.593311,0.04627566,1.647628,0.04627566
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.289964,30.670511,-39.178513,315.07462,29.593834,0.06607572,1.9800062,0.06607572
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.299964,30.686508,-39.162895,315.04623,31.268429,0.036147535,-2.9928186,0.036147535
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.309964,30.70844,-39.154846,315.0733,33.209023,0.03576428,-0.038325395,0.03576428
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.319964,30.733332,-39.146843,315.1142,34.939327,0.048531517,1.2767236,0.048531517
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.329964,30.75936,-39.1351,315.13724,35.043434,0.03669151,-1.1840008,0.03669151
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.339964,30.787422,-39.121696,315.14432,34.928,0.031897433,-0.47940758,0.031897433
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.349964,30.81739,-39.109108,315.1585,34.932735,0.03546409,0.35666573,0.03546409
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.359964,30.846785,-39.09117,315.14716,35.1579,0.03624592,0.078182735,0.03624592
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.369964,30.878973,-39.07336,315.13828,36.672306,0.037846513,0.16005935,0.037846513
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.379964,30.91113,-39.05615,315.13403,37.941795,0.036722496,-0.11240142,0.036722496
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.389965,30.945543,-39.037476,315.12775,38.807606,0.039651047,0.29282582,0.039655015
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.399965,30.984533,-39.022057,315.14316,39.919605,0.044679966,0.50289166,0.044679966
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.409965,31.02395,-39.002766,315.1395,40.85299,0.044038277,-0.06416887,0.044038277
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.419965,31.064507,-38.98233,315.1217,42.119164,0.048773207,0.47349313,0.048773207
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.429965,31.103891,-38.960022,315.10037,41.21698,0.05003965,0.12664415,0.05003965
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.439965,31.145208,-38.93465,315.07092,40.64084,0.056718726,0.66790766,0.056718726
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.449965,31.193016,-38.914745,315.09354,40.039707,0.05650573,-0.021299902,0.05650573
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.459965,31.24173,-38.895733,315.11984,39.292328,0.05854055,0.20348217,0.05854055
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.469965,31.285858,-38.868294,315.0955,39.048744,0.057388056,-0.11524935,0.057388056
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.479965,31.33332,-38.8422,315.08636,40.523006,0.054929394,-0.245866,0.054929394
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.489965,31.383654,-38.820625,315.11087,41.668453,0.059997667,0.506827,0.059997667
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.499965,31.430748,-38.793297,315.10315,42.2957,0.054993633,-0.5004033,0.054993633
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.509965,31.478924,-38.767807,315.09717,42.180103,0.05483164,-0.016199475,0.05483164
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.519965,31.528164,-38.73959,315.09024,43.674255,0.057172652,0.23410134,0.057172652
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.529965,31.578957,-38.71244,315.09674,44.14023,0.05795975,0.0787101,0.05795975
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.539965,31.63315,-38.689377,315.12988,43.12377,0.067583114,0.9623361,0.067583114
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.549965,31.685167,-38.658577,315.12442,40.808037,0.060700063,-0.68830514,0.060700063
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.559965,31.73925,-38.625504,315.10437,40.93708,0.0664872,0.57871425,0.0664872
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.569965,31.797775,-38.598206,315.11932,41.11676,0.0662859,-0.020130536,0.0662859
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.579965,31.857262,-38.56821,315.13116,42.94378,0.06766888,0.13829789,0.06766888
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.589965,31.91679,-38.53346,315.11914,43.193504,0.06997356,0.23046783,0.06997356
01G141RV8NXPARSB3HCE2AXCGA,2022-04-20 17:54:24.599965,31.981085,-38.503933,315.1463,43.703506,0.07579328,0.58197224,0.07579328
