id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.507603,55.200348,-37.006973,219.42691,9.975604,0.034770362,-0.17749445,0.034770362
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.517603,55.236965,-36.996857,219.43983,9.915991,0.040129855,0.5359493,0.040129855
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.527603,55.276226,-36.985878,219.45605,10.022168,0.0438743,0.37444463,0.0438743
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.537603,55.314274,-36.97059,219.4511,9.655285,0.041306973,-0.25673318,0.041306973
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.547603,55.35706,-36.955486,219.45558,9.903736,0.045594558,0.4287586,0.045594558
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.557604,55.399754,-36.939175,219.45471,10.024035,0.045707576,0.0113008525,0.045712147
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.567604,55.447186,-36.9253,219.46417,10.635974,0.050314374,0.46067974,0.050314374
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.577604,55.493904,-36.908916,219.4664,10.467658,0.049561143,-0.07532299,0.049561143
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.587604,55.542225,-36.89081,219.4684,10.645307,0.05163922,0.20780768,0.05163922
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.597604,55.58864,-36.87237,219.46414,10.756278,0.050124526,-0.15146953,0.050124526
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.607604,55.64444,-36.85956,219.4928,10.950945,0.0640167,1.3892177,0.0640167
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.617604,55.695854,-36.84275,219.50102,11.003773,0.054715928,-0.9300775,0.054715928
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.627604,55.748367,-36.82509,219.50645,10.779386,0.055669323,0.09533936,0.055669323
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.637604,55.799934,-36.805084,219.50867,11.000103,0.055357493,-0.03118293,0.055357493
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.647604,55.853092,-36.785614,219.51086,11.141212,0.056651335,0.12938432,0.056651335
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.657604,55.904377,-36.763603,219.49768,11.116583,0.05734395,0.06926122,0.05734395
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.667604,55.962902,-36.744804,219.51495,11.267192,0.06385575,0.6511807,0.06385575
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.677604,56.0192,-36.721943,219.51367,11.303357,0.060776282,-0.3079473,0.060776282
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.687604,56.075253,-36.700886,219.50894,11.494044,0.060064703,-0.071157716,0.060064703
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.697604,56.132256,-36.675816,219.49873,11.604405,0.06310119,0.3036483,0.06310119
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.707604,56.191654,-36.648697,219.48405,11.580822,0.066928275,0.38270903,0.066928275
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.717604,56.251297,-36.620667,219.46848,11.415295,0.06771404,0.078576826,0.06771404
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.727604,56.314114,-36.593796,219.46239,11.225102,0.0685949,0.08808567,0.0685949
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.737604,56.382896,-36.569645,219.47438,11.505749,0.07387591,0.52810097,0.07387591
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.747604,56.44835,-36.54315,219.47247,11.570318,0.07063825,-0.3237664,0.07063825
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.757604,56.520817,-36.52027,219.4951,11.730005,0.07929382,0.8655566,0.07929382
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.767604,56.58477,-36.490093,219.48422,12.076368,0.07154703,-0.774678,0.07154703
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.777604,56.651558,-36.46319,219.48157,12.075041,0.07205431,0.050727706,0.07205431
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.787605,56.718704,-36.43571,219.48283,12.092527,0.07255469,0.05003291,0.07256195
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.797605,56.79007,-36.411736,219.50185,12.2013,0.07764631,0.5091619,0.07764631
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.807605,56.854553,-36.3852,219.50058,12.398167,0.0697419,-0.7904413,0.0697419
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.817605,56.923584,-36.36096,219.51306,12.011134,0.07422067,0.44787782,0.07422067
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.827605,56.98846,-36.333027,219.50899,11.697981,0.07075286,-0.34678188,0.07075286
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.837605,57.055153,-36.305973,219.5082,11.58447,0.071972266,0.12194097,0.071972266
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.847605,57.122673,-36.276627,219.50356,11.70874,0.07376862,0.17963594,0.07376862
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.857605,57.193974,-36.24682,219.505,11.667961,0.07729668,0.35280573,0.07729668
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.867605,57.268208,-36.218037,219.50638,11.938952,0.07962858,0.23318997,0.07962858
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.877605,57.345406,-36.187405,219.51578,11.997118,0.08358585,0.39572668,0.08358585
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.887605,57.424698,-36.155273,219.52074,11.982992,0.08569806,0.21122122,0.08569806
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.897605,57.505554,-36.12149,219.52267,12.097226,0.08765099,0.19529301,0.08765099
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.907605,57.58796,-36.086014,219.52078,11.9598875,0.08973754,0.2086551,0.08973754
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.917605,57.669827,-36.045815,219.5082,11.802824,0.092069685,0.23321408,0.092069685
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.927605,57.755936,-36.007927,219.503,11.7098,0.09421611,0.21464242,0.09421611
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.937605,57.841362,-35.96731,219.49228,11.833838,0.09519735,0.09812461,0.09519735
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.947605,57.93293,-35.930065,219.50192,11.875603,0.09932266,0.41253123,0.09932266
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.957605,58.015656,-35.887646,219.48164,12.312304,0.095156945,-0.41657233,0.095156945
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.967605,58.10706,-35.849197,219.49072,12.125781,0.09957593,0.44189867,0.09957593
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.977605,58.194244,-35.809597,219.48767,12.367662,0.09580626,-0.37696683,0.09580626
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.987605,58.285843,-35.76995,219.4941,12.299617,0.1000186,0.4212336,0.1000186
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:07.997605,58.380157,-35.728737,219.49973,12.603518,0.10307622,0.30576262,0.10307622
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:08.007606,58.480373,-35.68933,219.52173,12.444182,0.10990053,0.6823622,0.10991152
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:08.017606,58.581593,-35.648743,219.53902,12.104997,0.110416554,0.05160292,0.110416554
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:08.027606,58.685078,-35.60369,219.55365,12.23907,0.11381158,0.3395023,0.11381158
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:08.037606,58.790676,-35.558216,219.5651,12.282455,0.11554264,0.1731064,0.11554264
01G1KH5KK5WCA2NVV68WPDHVWC,2022-04-26 18:12:08.057606,58.901188,-35.506172,219.5659,12.303105,0.061077658,-2.7232494,0.122155316
