id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.679244,46.770176,-4.3235035,134.10101,17.941914,0.017521365,0.64021224,0.017521365
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.689244,46.75942,-4.309855,134.08891,19.37723,0.021169955,0.36485893,0.021169955
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.699244,46.748516,-4.293717,134.07687,20.903881,0.022893045,0.17230915,0.022893045
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.709244,46.737335,-4.2754126,134.06577,22.053305,0.024161465,0.1268419,0.024161465
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.719244,46.724617,-4.2539744,134.052,22.957169,0.028468447,0.4306981,0.028468447
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.729244,46.71023,-4.231856,134.0334,23.947374,0.032284644,0.3816196,0.032284644
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.739244,46.69455,-4.207675,134.00998,24.945156,0.03713942,0.4854779,0.03713942
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.749244,46.67915,-4.181975,133.9893,26.123747,0.03639892,-0.07405014,0.03639892
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.759244,46.661713,-4.154915,133.96414,27.353413,0.04085805,0.44591314,0.04085805
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.769244,46.63961,-4.1260757,133.92688,28.741419,0.052043837,1.1185786,0.052043837
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.779244,46.61931,-4.096028,133.89438,29.832653,0.048695646,-0.33481908,0.048695646
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.789244,46.599445,-4.065241,133.86322,30.837576,0.048103325,-0.05923186,0.048103325
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.799244,46.577187,-4.032858,133.83014,32.04301,0.051368468,0.32651398,0.051368468
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.809244,46.551773,-3.998195,133.79245,32.420647,0.05716652,0.57980543,0.05716652
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.819244,46.525665,-3.9618394,133.7548,33.075336,0.058479793,0.13132715,0.058479793
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.829244,46.50097,-3.923522,133.72078,33.43056,0.056881405,-0.15983853,0.056881405
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.839244,46.475346,-3.8831952,133.68912,33.96151,0.057318028,0.04366202,0.057318028
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.849244,46.448116,-3.842253,133.65678,34.578865,0.058852885,0.15348597,0.058852885
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.859244,46.42394,-3.799635,133.63171,35.150978,0.05503694,-0.38159457,0.05503694
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.869245,46.40095,-3.756618,133.61273,35.166748,0.05233368,-0.27029932,0.05233891
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.879245,46.377968,-3.7123406,133.59601,36.061485,0.052615613,0.02819336,0.052615613
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.889245,46.353676,-3.667539,133.57925,36.805424,0.05364438,0.10287716,0.05364438
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.899245,46.332092,-3.6222618,133.56764,37.6242,0.05148751,-0.21568747,0.05148751
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.909245,46.308624,-3.5763226,133.55324,37.654015,0.053560443,0.20729338,0.053560443
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.919245,46.28515,-3.5293047,133.54437,37.248867,0.053292092,-0.026835032,0.053292092
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.929245,46.261032,-3.4810216,133.53938,36.75039,0.05420331,0.09112192,0.05420331
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.939245,46.237,-3.4323583,133.53433,36.512993,0.05450644,0.03031306,0.05450644
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.949245,46.213715,-3.3810098,133.53217,36.4755,0.05642337,0.1916928,0.05642337
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.959245,46.18824,-3.3282077,133.53021,36.727787,0.058659624,0.22362548,0.058659624
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.969245,46.163036,-3.2737427,133.53087,37.234177,0.060016397,0.13567726,0.060016397
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.979245,46.134956,-3.2178788,133.52444,37.900417,0.06285384,0.28374457,0.06285384
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.989245,46.107685,-3.160822,133.52388,38.634724,0.06324184,0.038799673,0.06324184
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:43.999245,46.07827,-3.1024282,133.51978,39.89519,0.06551159,0.22697537,0.06551159
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.009245,46.049305,-3.0421088,133.51715,39.88603,0.06696578,0.14541905,0.06696578
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.019245,46.018284,-2.980176,133.5124,38.03347,0.06942928,0.2463493,0.06942928
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.029245,45.98776,-2.9174922,133.51033,37.59571,0.069751844,0.03225706,0.069751844
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.039245,45.9579,-2.8536515,133.51025,36.731094,0.07047762,0.07257716,0.07047762
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.049245,45.925556,-2.7901058,133.50668,36.82225,0.07139331,0.0915689,0.07139331
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.059245,45.893723,-2.7262073,133.50108,37.029095,0.07160982,0.021650668,0.07160982
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.069245,45.8626,-2.662942,133.49934,37.58075,0.0705274,-0.1082415,0.0705274
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.079245,45.833363,-2.6003351,133.50089,37.938614,0.06911399,-0.14134078,0.06911399
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.089245,45.80385,-2.5370467,133.49829,38.74777,0.06988037,0.0766374,0.06988037
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.099246,45.77318,-2.4744363,133.49747,39.586777,0.06971548,-0.016487122,0.06972245
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.109246,45.741196,-2.4117296,133.49477,39.349594,0.07044393,0.07284518,0.07044393
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.119246,45.711178,-2.3485184,133.49638,38.333015,0.0699949,-0.044903476,0.0699949
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.129246,45.67914,-2.2841675,133.49426,37.56217,0.07191713,0.19222374,0.07191713
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.139246,45.646233,-2.219051,133.49606,37.17243,0.07298197,0.1064833,0.07298197
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.149246,45.61405,-2.1520607,133.4969,37.54837,0.074322805,0.13408428,0.074322805
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.159246,45.580593,-2.08357,133.49843,38.01574,0.076241806,0.19190001,0.076241806
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.169246,45.5443,-2.0122368,133.49661,38.97702,0.08005581,0.38140005,0.08005581
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.179246,45.505325,-1.9387468,133.49754,39.99498,0.08319001,0.31342033,0.08319001
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.189246,45.463596,-1.8632463,133.49385,40.480133,0.08634434,0.31543273,0.08634434
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.199246,45.421993,-1.7844164,133.49156,40.960747,0.08916465,0.28203094,0.08916465
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.209246,45.379013,-1.7032187,133.48807,40.190594,0.09193849,0.2773836,0.09193849
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.219246,45.33317,-1.6205053,133.48068,38.67312,0.09485344,0.29149508,0.09485344
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.229246,45.288616,-1.537039,133.47733,37.722862,0.09467425,-0.017918427,0.09467425
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.239246,45.243156,-1.4526175,133.47179,37.71041,0.096042216,0.13679668,0.096042216
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.249246,45.198967,-1.3678684,133.47269,37.997765,0.09558249,-0.045972925,0.09558249
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.259246,45.15358,-1.2834615,133.47351,38.231075,0.09584006,0.025756668,0.09584006
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.269246,45.108025,-1.1993369,133.47282,38.659817,0.0956686,-0.017145691,0.0956686
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.279246,45.06172,-1.114221,133.46846,39.331528,0.09699355,0.13249525,0.09699355
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.289246,45.015285,-1.0277056,133.46729,40.052387,0.09819693,0.120338105,0.09819693
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.299246,44.967186,-0.93974763,133.46753,40.822487,0.100250974,0.2054043,0.100250974
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.309246,44.915825,-0.8493604,133.46704,39.888454,0.10396209,0.3711115,0.10396209
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.319246,44.865807,-0.7562801,133.47458,38.436016,0.10593537,0.19732851,0.10593537
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.329247,44.813686,-0.6606521,133.47867,37.919044,0.10897588,0.3040199,0.10898677
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.339247,44.76053,-0.5633454,133.48306,37.853966,0.11096741,0.19915363,0.11096741
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.349247,44.70658,-0.4660246,133.48613,38.295834,0.11131509,0.034767356,0.11131509
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.359247,44.652058,-0.36873224,133.48451,38.998943,0.11153915,0.022406215,0.11153915
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.369247,44.599518,-0.2725188,133.48842,39.35935,0.10969369,-0.18454587,0.10969369
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.379247,44.5476,-0.17783639,133.48953,40.253613,0.107989594,-0.1704099,0.107989594
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.389247,44.49561,-0.08492962,133.48795,40.362495,0.10647587,-0.1513726,0.10647587
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.399247,44.441326,0.006521006,133.4785,40.787506,0.106766306,0.029043658,0.106766306
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.409247,44.38814,0.09694995,133.47263,39.758358,0.105072826,-0.16934747,0.105072826
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.419247,44.334183,0.1879658,133.46811,38.756596,0.10590554,0.083271004,0.10590554
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.429247,44.276672,0.28091398,133.46165,38.468,0.10949174,0.35862023,0.10949174
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.439247,44.217125,0.37644562,133.45409,38.669315,0.11282415,0.33324108,0.11282415
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.449247,44.155403,0.47548518,133.44888,39.589542,0.11681343,0.3989278,0.11681343
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.459247,44.092133,0.57821625,133.44792,40.48137,0.12065659,0.3843157,0.12065659
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.469247,44.025307,0.68399096,133.43936,40.907192,0.12540846,0.47518733,0.12540846
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.479247,43.956684,0.7917981,133.4323,41.141502,0.12798986,0.25813964,0.12798986
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.489247,43.890312,0.9000447,133.43558,41.109566,0.12701544,-0.09744181,0.12701544
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.499247,43.82508,1.0077467,133.43736,41.276077,0.12592928,-0.108616084,0.12592928
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.509247,43.75995,1.1143997,133.43684,39.991272,0.124968685,-0.09605935,0.124968685
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.519247,43.696507,1.2194948,133.4413,38.203194,0.12284054,-0.21281473,0.12284054
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.529247,43.633896,1.3234627,133.44821,37.876495,0.12156272,-0.12778188,0.12156272
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.539247,43.570034,1.427219,133.45293,37.76148,0.12192577,0.03630521,0.12192577
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.549247,43.502796,1.5319912,133.4502,38.51224,0.124520086,0.25943133,0.124520086
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.559248,43.43319,1.6382097,133.448,39.75966,0.12700033,0.24799973,0.12701303
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.569248,43.36129,1.7466285,133.44366,40.48128,0.13016507,0.31647423,0.13016507
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.579248,43.288662,1.8566234,133.44237,40.856274,0.13181672,0.16516422,0.13181672
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.589248,43.213997,1.9681967,133.43686,41.276962,0.13436443,0.254771,0.13436443
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.599248,43.139584,2.080557,133.4352,41.472527,0.1347773,0.04128704,0.1347773
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.609248,43.065437,2.1922505,133.43451,40.52452,0.13406532,-0.07119739,0.13406532
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.619248,42.9905,2.3035116,133.42914,38.415424,0.13424943,0.018411575,0.13424943
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.629248,42.914627,2.4139998,133.41994,37.84546,0.13434878,0.009934024,0.13434878
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.639248,42.838467,2.5243871,133.4143,38.255146,0.13422886,-0.011992027,0.13422886
01G1P9E6FHNGX516ZDEQVJ1QAG,2022-04-27 19:54:44.649248,42.76118,2.6349566,133.41017,39.185303,0.13496694,0.07380899,0.13496694
