id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.337217,47.743057,-41.675735,134.32721,17.424189,0.012224451,0.0980253,0.012224451
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.347217,47.735413,-41.657314,134.31512,19.127829,0.023315337,1.1090885,0.023315337
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.357217,47.7231,-41.63484,134.29518,21.101046,0.032478243,0.91629064,0.032478243
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.367217,47.71033,-41.610077,134.27303,23.033953,0.03559128,0.31130368,0.03559128
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.377217,47.699898,-41.587414,134.26071,24.776997,0.027827948,-0.776333,0.027827948
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.387217,47.68787,-41.56156,134.24358,26.532475,0.03326295,0.5435,0.03326295
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.397217,47.672684,-41.532276,134.2199,28.186422,0.040611885,0.7348937,0.040611885
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.407217,47.65747,-41.501965,134.19576,29.869894,0.041621555,0.1009668,0.041621555
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.417217,47.64213,-41.469627,134.17172,31.122812,0.04311702,0.14954656,0.04311702
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.427217,47.620667,-41.431725,134.13503,32.32997,0.056954157,1.3837138,0.056954157
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.437217,47.597713,-41.39009,134.09732,33.596573,0.060680524,0.3726366,0.060680524
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.447217,47.57795,-41.35163,134.07372,34.790615,0.049262967,-1.1417557,0.049262967
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.457217,47.55721,-41.30976,134.0479,36.227543,0.053380452,0.41174868,0.053380452
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.467217,47.533665,-41.2658,134.01993,36.935184,0.057180084,0.37996316,0.057180084
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.477217,47.50972,-41.21908,133.99182,37.765987,0.059543416,0.236333,0.059543416
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.487217,47.48525,-41.172268,133.96637,38.78725,0.05863599,-0.090742484,0.05863599
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.497217,47.466553,-41.128498,133.95761,39.47515,0.048398007,-1.0237983,0.048398007
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.507217,47.44537,-41.08175,133.9413,40.005547,0.053852256,0.5454251,0.053852256
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.517218,47.42399,-41.03441,133.92783,39.657143,0.053657513,-0.019472452,0.053662878
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.527218,47.403934,-40.988,133.9226,39.215935,0.050825384,-0.28321314,0.050825384
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.537218,47.381393,-40.940937,133.9135,38.760674,0.052971594,0.21462135,0.052971594
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.547218,47.359333,-40.89311,133.9045,39.278282,0.05343513,0.04635317,0.05343513
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.557218,47.33847,-40.846672,133.90208,39.57933,0.050961986,-0.24731414,0.050961986
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.567218,47.317566,-40.7983,133.8993,39.989326,0.0527694,0.18074128,0.0527694
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.577218,47.295326,-40.74867,133.89453,40.450066,0.054596543,0.18271443,0.054596543
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.587218,47.273087,-40.698246,133.89091,40.71555,0.055227056,0.063051276,0.055227056
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.597218,47.248272,-40.644535,133.8809,41.615322,0.06000965,0.4782594,0.06000965
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.607218,47.225006,-40.59226,133.88054,42.313854,0.057218593,-0.2791059,0.057218593
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.617218,47.20047,-40.536938,133.8787,41.252285,0.060547773,0.33291802,0.060547773
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.627218,47.17699,-40.482384,133.8825,40.436893,0.059513252,-0.10345188,0.059513252
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.637218,47.150845,-40.424595,133.88347,40.08707,0.06343422,0.39209652,0.06343422
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.647218,47.122948,-40.364075,133.88298,40.47258,0.06664273,0.32085124,0.06664273
01G1PA8SPVR0D4PPTT4ZV8EW90,2022-04-27 20:09:15.657218,47.09605,-40.30319,133.88426,40.222717,0.06657513,-0.006759396,0.06657513
