id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.750123,-1.5480984,-31.648327,175.46857,19.189394,0.019180616,0.21374007,0.019180616
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.760124,-1.5328288,-31.636358,175.46092,20.287565,0.020851385,0.16706015,0.02085347
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.770124,-1.5155798,-31.623331,175.45758,21.634,0.02187045,0.101906426,0.02187045
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.780124,-1.4965037,-31.608528,175.45882,23.05198,0.02417707,0.23066217,0.02417707
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.790124,-1.4760892,-31.594381,175.4602,23.86494,0.024876181,0.0699111,0.024876181
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.800124,-1.453891,-31.577364,175.45569,24.90875,0.028333763,0.34575814,0.028333763
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.810124,-1.4296768,-31.55867,175.44672,26.118237,0.031879775,0.35460138,0.031879775
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.820124,-1.404929,-31.540585,175.44153,26.820482,0.031086117,-0.079365924,0.031086117
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.830124,-1.3775079,-31.520082,175.43257,26.811052,0.035391223,0.43051073,0.035391223
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.840124,-1.3478775,-31.498314,175.42813,26.18289,0.037035253,0.16440283,0.037035253
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.850124,-1.3164275,-31.476164,175.43086,26.045977,0.038564045,0.15287907,0.038564045
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.860124,-1.2826569,-31.45075,175.42624,26.539434,0.042516273,0.39522305,0.042516273
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.870124,-1.2474518,-31.425411,175.42372,27.139942,0.043449398,0.09331228,0.043449398
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.880124,-1.2106438,-31.398476,175.4219,27.827961,0.045647696,0.21982972,0.045647696
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.890124,-1.1725756,-31.370836,175.4256,28.103159,0.047188066,0.15403712,0.047188066
01G19PKVB0JWWZC91TR3ND7Y6V,2022-04-22 22:34:52.900124,-1.1336169,-31.344183,175.42715,28.572922,0.047229227,0.0041160583,0.047229227
