id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.339477,1.1238177,-93.345436,235.35573,21.234417,0.01969032,0.3435836,0.01969032
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.349477,1.1071024,-93.334694,235.36223,23.026249,0.020901004,0.12106836,0.020901004
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.359477,1.088071,-93.32123,235.3675,24.619934,0.023899643,0.29986382,0.023899643
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.369477,1.0670236,-93.30585,235.37381,26.216953,0.026823945,0.29243028,0.026823945
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.379477,1.0453863,-93.293945,235.37933,27.94277,0.025308348,-0.15155971,0.025308348
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.389477,1.0232407,-93.27287,235.37387,27.648382,0.031055547,0.5747199,0.031055547
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.399477,1.0000604,-93.255775,235.38106,28.198517,0.029682854,-0.13726935,0.029682854
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.409477,0.97560316,-93.23578,235.38293,29.118626,0.031650566,0.19677131,0.031650566
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.419477,0.94929594,-93.21625,235.38765,29.887377,0.03309775,0.1447184,0.03309775
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.429477,0.9211719,-93.193565,235.38759,31.408035,0.03613479,0.30370393,0.03613479
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.439477,0.89155436,-93.170654,235.38715,31.85486,0.03744561,0.13108201,0.03744561
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.449477,0.8598005,-93.148026,235.39291,32.01361,0.0394149,0.1969293,0.0394149
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.459477,0.8261633,-93.12667,235.40273,33.03699,0.041035436,0.16205329,0.041035436
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.469477,0.7904512,-93.106224,235.41379,33.800007,0.04260963,0.15741909,0.04260963
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.479477,0.75311023,-93.08138,235.41344,35.022987,0.04485254,0.22429143,0.04485254
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.489477,0.7148018,-93.059395,235.42921,33.849598,0.04690589,0.20533507,0.04690589
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.499477,0.67559785,-93.031166,235.43187,33.306644,0.048381127,0.14752363,0.048381127
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.509477,0.6347544,-93.00305,235.4389,33.22181,0.050081164,0.17000341,0.050081164
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.519477,0.5923446,-92.97333,235.44197,33.48538,0.05188079,0.1799629,0.05188079
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.529477,0.54917896,-92.94558,235.44748,33.169395,0.05160845,-0.027234225,0.05160845
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.539477,0.5053886,-92.919914,235.45944,34.046955,0.052148312,0.053986456,0.052148312
01G11KQQ4NKH29FXJYCK3M43M5,2022-04-19 19:10:38.549478,0.46117476,-92.888374,235.45703,34.435665,0.05435769,0.22091547,0.054363124
