id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.104829,-7.4602413,-93.25857,235.09152,16.328901,0.026693258,1.1492479,0.026693258
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.114829,-7.4790115,-93.24173,235.0865,18.145811,0.025710838,-0.09824205,0.025710838
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.124829,-7.5005603,-93.22431,235.08508,19.851398,0.027744776,0.20339371,0.027744776
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.134829,-7.523274,-93.20794,235.0891,21.355577,0.02828422,0.053944565,0.02828422
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.144829,-7.5475764,-93.19157,235.0941,23.041971,0.029725468,0.14412476,0.029725468
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.154829,-7.5741205,-93.17686,235.10767,22.958368,0.033243753,0.3518284,0.033243753
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.164829,-7.603137,-93.15979,235.11723,22.155188,0.034996856,0.17531048,0.034996856
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.174830,-7.634326,-93.13757,235.12076,22.100595,0.03845164,0.345444,0.038455486
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.184830,-7.6670356,-93.111435,235.11684,22.375319,0.04205114,0.3599499,0.04205114
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.194830,-7.700176,-93.084595,235.10912,23.32387,0.043341182,0.1290039,0.043341182
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.204830,-7.7349997,-93.057755,235.10687,23.95603,0.044022825,0.068164416,0.044022825
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.214830,-7.7708454,-93.031296,235.10791,24.675173,0.04456964,0.054681852,0.04456964
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.224830,-7.807669,-93.00577,235.11275,24.854118,0.045065857,0.049621303,0.045065857
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.234830,-7.8455987,-92.97685,235.10924,25.728052,0.047821168,0.27553132,0.047821168
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.244830,-7.885069,-92.94431,235.09842,26.818281,0.05228558,0.4464411,0.05228558
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.254830,-7.925312,-92.906555,235.07779,25.832376,0.058916382,0.6630803,0.058916382
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.264830,-7.966517,-92.87148,235.06242,23.446047,0.056248695,-0.26676893,0.056248695
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.274830,-8.0092125,-92.8382,235.0515,23.595495,0.055226512,-0.102218255,0.055226512
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.284830,-8.052938,-92.8064,235.04564,23.459854,0.054384083,-0.084242724,0.054384083
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.294830,-8.096935,-92.773575,235.03851,23.902697,0.055353925,0.09698395,0.055353925
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.304830,-8.141352,-92.73839,235.0262,24.605366,0.057987258,0.2633333,0.057987258
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.314830,-8.186851,-92.70259,235.01608,25.122952,0.05876825,0.07809946,0.05876825
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.324830,-8.233383,-92.66996,235.01485,26.250349,0.056846723,-0.1921527,0.056846723
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.334830,-8.280454,-92.63684,235.01573,27.418404,0.05756475,0.07180262,0.05756475
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.344830,-8.327893,-92.60828,235.03244,28.643232,0.057838835,0.027408307,0.057838835
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.354830,-8.377596,-92.57384,235.04002,27.629574,0.060941476,0.31026423,0.060941476
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.364830,-8.429342,-92.53377,235.04558,26.166271,0.06567885,0.47373718,0.06567885
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.374830,-8.48263,-92.49423,235.0513,25.845503,0.06660212,0.09232694,0.06660212
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.384830,-8.536538,-92.452095,235.05188,26.249023,0.06842601,0.18238983,0.06842601
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.404831,-8.594664,-92.41102,235.06633,26.951794,0.03631172,-1.6056346,0.07262707
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.414831,-8.654725,-92.36999,235.07874,27.726032,0.07378627,3.7474554,0.07378627
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.424831,-8.715483,-92.32782,235.08897,28.801722,0.07466288,0.08766074,0.07466288
01G11HFN7RT9WJJQQH0S54XMTV,2022-04-19 18:31:17.434831,-8.77681,-92.27838,235.07858,29.696701,0.07945657,0.47936872,0.07945657
