id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.037676,30.766207,-76.22441,186.62865,18.01308,0.024904205,0.4539727,0.024904205
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.047676,30.79028,-76.21369,186.63469,19.367697,0.02703753,0.21333243,0.02703753
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.057676,30.817057,-76.20413,186.6452,20.781593,0.030311154,0.32736257,0.030311154
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.067676,30.845697,-76.19064,186.64873,21.869608,0.0318564,0.15452425,0.0318564
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.077676,30.877853,-76.17725,186.65588,20.39557,0.03555964,0.37032408,0.03555964
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.087676,30.913675,-76.16511,186.66986,20.718782,0.040325925,0.4766288,0.040325925
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.097676,30.951674,-76.151306,186.68176,20.723446,0.042142067,0.18161392,0.042142067
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.107676,30.988476,-76.127365,186.67477,21.193205,0.04445353,0.23114663,0.04445353
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.117676,31.027939,-76.1052,186.67119,21.356386,0.04540557,0.09520385,0.04540557
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.127676,31.067955,-76.07807,186.65967,21.889023,0.049697496,0.42919275,0.049697496
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.137676,31.109903,-76.051796,186.65231,22.193457,0.050043322,0.034582518,0.050043322
01G11N2RRZ015PNRF0K85R5VM1,2022-04-19 19:34:09.147676,31.153992,-76.02758,186.6506,22.044031,0.05033093,0.028760517,0.05033093
