id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.610403,15.83506,-14.081722,203.2211,31.293842,0.24755073,3.8454046,0.24755073
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.620403,16.035473,-13.982166,202.94873,30.614576,0.35250056,10.494984,0.35250056
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.630403,16.230513,-13.898652,202.81343,30.845377,0.25163928,-10.086128,0.25163928
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.640403,16.427805,-13.795077,202.4892,29.854477,0.39341778,14.17785,0.39341778
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.650403,16.63152,-13.673498,202.00499,29.603941,0.53920096,14.578321,0.53920096
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.660403,16.845146,-13.5679245,201.78908,29.985643,0.32156143,-21.763954,0.32156143
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.670403,17.066565,-13.4674835,201.68922,31.228418,0.26283792,-5.87235,0.26283792
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.680403,17.298012,-13.365283,201.6376,31.052246,0.25822255,-0.4615375,0.25822255
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.690403,17.540623,-13.260253,201.62115,30.831831,0.26487893,0.66563797,0.26487893
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.700403,17.783524,-13.153765,201.60698,30.784447,0.26559713,0.071818806,0.26559713
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.710403,18.019495,-13.049661,201.58492,30.756832,0.25885713,-0.6739987,0.25885713
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.720403,18.250313,-12.946676,201.56944,31.295559,0.25322348,-0.56336683,0.25322348
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.730403,18.474089,-12.846097,201.56389,31.141043,0.24540329,-0.7820174,0.24540329
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.740404,18.687126,-12.747755,201.5564,29.371056,0.23473574,-1.0666491,0.23475921
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.750404,18.891773,-12.652168,201.54602,29.5824,0.22610866,-0.86270756,0.22610866
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.760404,19.095774,-12.556027,201.54149,30.4294,0.22556509,-0.054356575,0.22556509
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.780404,19.316813,-12.4481,201.53873,30.715479,0.12299809,-5.1283503,0.24599618
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.790404,19.545586,-12.332546,201.52502,30.588493,0.25666663,13.366856,0.25666663
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.800404,19.782103,-12.211556,201.5101,30.493488,0.26608518,0.9418521,0.26608518
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.810404,20.024235,-12.087737,201.50308,30.581806,0.2720441,0.5958918,0.2720441
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.820404,20.266132,-11.961047,201.49533,31.171406,0.27317545,0.11313685,0.27317545
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.830404,20.50578,-11.834466,201.48775,31.350872,0.2711298,-0.20456548,0.2711298
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.840404,20.74278,-11.708449,201.47514,31.461044,0.26871687,-0.24129213,0.26871687
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.850404,20.974476,-11.585146,201.4666,29.149414,0.26260206,-0.61148286,0.26260206
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.860404,21.19919,-11.463826,201.46208,28.255993,0.2554122,-0.7189849,0.2554122
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.870404,21.417969,-11.344234,201.45615,29.369724,0.24940197,-0.6010225,0.24940197
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.880404,21.618017,-11.232325,201.43806,30.592186,0.22993417,-1.9467798,0.22993417
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.890404,21.813211,-11.123174,201.44142,31.038235,0.22366613,-0.6268041,0.22366613
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.910404,22.02735,-11.000225,201.44972,31.606565,0.123531364,-5.0067387,0.24706273
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.920404,22.2534,-10.866286,201.45421,32.08057,0.26279077,13.92594,0.26279077
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.930404,22.489025,-10.726143,201.46684,32.37175,0.274443,1.1652248,0.274443
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.940404,22.729553,-10.581385,201.47531,31.526058,0.28085518,0.6412159,0.28085518
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.950404,22.971085,-10.433012,201.47958,31.77919,0.28349712,0.2641957,0.28349712
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.960404,23.21027,-10.2839365,201.47722,29.788475,0.28184775,-0.16493851,0.28184775
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.970405,23.44737,-10.136745,201.48825,28.647688,0.2792649,-0.2582586,0.27929282
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.980405,23.676655,-9.990767,201.488,29.918762,0.27181017,-0.74547297,0.27181017
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:57.990405,23.899532,-9.847171,201.4931,30.790363,0.26517895,-0.6631203,0.26517895
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.000405,24.114864,-9.706352,201.49124,30.811289,0.257297,-0.78819466,0.257297
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.010405,24.305216,-9.578344,201.47736,31.810472,0.22981036,-2.748666,0.22981036
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.030405,24.507984,-9.441218,201.46931,31.696808,0.12245701,-5.367667,0.24491403
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.040405,24.71652,-9.297108,201.46187,32.06598,0.25359496,13.113795,0.25359496
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.050405,24.927593,-9.148287,201.44559,31.980907,0.2587757,0.5180745,0.2587757
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.060405,25.143608,-8.994482,201.44292,32.519726,0.2651894,0.6413692,0.2651894
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.070405,25.364328,-8.836784,201.44743,30.041433,0.27130446,0.61150664,0.27130446
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.080405,25.582628,-8.677078,201.43893,29.426817,0.270617,-0.06874535,0.270617
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.090405,25.796307,-8.517256,201.41808,29.596334,0.26765043,-0.2966599,0.26765043
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.100405,26.007748,-8.360401,201.4075,30.556952,0.26348042,-0.41700068,0.26348042
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.110405,26.216175,-8.204866,201.40497,31.009863,0.26007584,-0.34045684,0.26007584
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.120405,26.418112,-8.050792,201.39867,30.783882,0.2540805,-0.59953386,0.2540805
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.140405,26.619867,-7.8948665,201.39818,31.019222,0.12749368,-6.3293414,0.25498736
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.150405,26.821781,-7.7351317,201.38211,31.731472,0.25795788,13.04642,0.25795788
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.160405,27.027279,-7.570125,201.38101,31.658127,0.26354805,0.5590181,0.26354805
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.170405,27.238443,-7.401015,201.38556,30.971113,0.27057236,0.7024311,0.27057236
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.180405,27.451908,-7.2257605,201.38142,29.167782,0.2762226,0.5650206,0.2762226
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.190406,27.666203,-7.046972,201.376,28.508417,0.27910754,0.28846928,0.27913547
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.200406,27.880709,-6.8681645,201.3791,29.224337,0.27927494,0.016739678,0.27927494
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.210406,28.092049,-6.688933,201.3802,30.112795,0.27710953,-0.21654096,0.27710953
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.220406,28.297218,-6.511866,201.37494,30.95429,0.2710635,-0.6046024,0.2710635
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.230406,28.49741,-6.33884,201.37929,31.985807,0.26463875,-0.64247626,0.26463875
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.240406,28.668274,-6.1838384,201.37018,32.142513,0.23087405,-3.3764708,0.23087405
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.250406,28.83306,-6.035243,201.37929,32.26733,0.22207585,-0.8798199,0.22207585
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.260406,28.994322,-5.889299,201.3839,31.905212,0.21754739,-0.45284635,0.21754739
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.280406,29.16703,-5.7295027,201.36751,31.890856,0.117932335,-4.9807525,0.23586467
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.290406,29.351757,-5.5600615,201.37067,30.195353,0.25068727,13.275496,0.25068727
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.300406,29.540821,-5.3830256,201.36201,31.181091,0.2591555,0.84682226,0.2591555
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.310406,29.730886,-5.2009425,201.35435,31.460476,0.26332062,0.4165118,0.26332062
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.320406,29.92463,-5.0137234,201.35063,32.207268,0.26944584,0.61252016,0.26944584
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.330406,30.121862,-4.8219256,201.34966,32.146305,0.27511454,0.5668701,0.27511454
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.340406,30.31741,-4.629523,201.34947,32.332684,0.2743315,-0.07830167,0.2743315
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.350406,30.509274,-4.438165,201.352,32.751423,0.2709907,-0.3340805,0.2709907
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.360406,30.69738,-4.2494965,201.3551,32.912155,0.26643848,-0.45522094,0.26643848
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.370406,30.880974,-4.062253,201.36351,33.220856,0.26236945,-0.40690574,0.26236945
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.380406,31.044212,-3.8899696,201.37793,33.213596,0.23777387,-2.4595568,0.23777387
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.400406,31.211899,-3.7099242,201.37292,33.04199,0.12304439,-5.7364745,0.24608877
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.410406,31.386726,-3.5234773,201.38106,33.556183,0.25572106,13.267667,0.25572106
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.420407,31.56673,-3.3307173,201.39047,33.90798,0.2638806,0.81587416,0.263907
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.430407,31.74973,-3.13231,201.40112,34.055515,0.27012455,0.6243961,0.27012455
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.440407,31.933065,-2.9310946,201.4059,33.620518,0.27225435,0.21297707,0.27225435
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.450407,32.11463,-2.728288,201.40997,33.957607,0.2722387,-0.0015629084,0.2722387
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.460407,32.29388,-2.5249176,201.41762,33.825886,0.27119642,-0.10422865,0.27119642
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.470407,32.466225,-2.323675,201.41197,34.06461,0.26501697,-0.6179448,0.26501697
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.480407,32.63308,-2.1262379,201.40894,34.290527,0.25851536,-0.6501616,0.25851536
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.490407,32.794132,-1.9329697,201.40083,34.020634,0.25170803,-0.680733,0.25170803
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.500407,32.938725,-1.7544706,201.40562,32.436863,0.22976357,-2.1944466,0.22976357
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.510407,33.08057,-1.5799419,201.4158,32.34107,0.22513288,-0.46306783,0.22513288
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.520407,33.226135,-1.4040126,201.43382,32.53192,0.22905287,0.39199796,0.22905287
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.530407,33.36849,-1.2261573,201.42833,33.343075,0.2278738,-0.117906705,0.2278738
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.540407,33.51435,-1.0408036,201.42227,33.784187,0.23594394,0.80701524,0.23594394
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.550407,33.670166,-0.8436446,201.41971,34.367004,0.25130898,1.5365024,0.25130898
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.560407,33.830112,-0.639819,201.4233,33.543247,0.25911528,0.780631,0.25911528
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.570407,33.98715,-0.43459782,201.42838,34.150738,0.2584602,-0.06550763,0.2584602
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.580407,34.14124,-0.22767872,201.41733,34.12621,0.25822705,-0.023316484,0.25822705
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.590407,34.295017,-0.020507745,201.41953,33.778263,0.2580164,-0.02106489,0.2580164
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.600407,34.439137,0.17988165,201.41396,31.834572,0.24689513,-1.1121261,0.24689513
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.610407,34.57374,0.37305227,201.404,31.27429,0.23565267,-1.1242464,0.23565267
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.620407,34.70266,0.5621949,201.39159,32.250122,0.2292367,-0.64159584,0.2292367
01G1VW6TYWAT4T2CBDAPVF2KYD,2022-04-29 23:58:58.640407,34.84354,0.7618583,201.3965,33.35309,0.12220577,-5.3515472,0.24441154
