id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.621231,-10.3461275,-93.4532,235.06827,18.910276,0.02754932,1.2080283,0.02754932
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.631231,-10.366196,-93.43332,235.05525,20.699724,0.031101461,0.355214,0.031101461
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.641231,-10.388458,-93.41026,235.03827,22.580734,0.036270946,0.51694834,0.036270946
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.651231,-10.412146,-93.39816,235.05269,24.921963,0.030258052,-0.60128933,0.030258052
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.661232,-10.435491,-93.38005,235.05159,26.811789,0.029566428,-0.069155425,0.029569386
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.671232,-10.461229,-93.362946,235.05473,28.569836,0.03106388,0.14974533,0.03106388
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.681232,-10.488865,-93.350204,235.06943,29.949263,0.033796333,0.27324495,0.033796333
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.691232,-10.516234,-93.32155,235.0568,29.453802,0.04159582,0.7799491,0.04159582
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.701232,-10.545822,-93.29724,235.05011,29.004585,0.038869202,-0.2726619,0.038869202
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.711232,-10.576091,-93.27363,235.04811,28.644045,0.03844072,-0.042848483,0.03844072
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.721232,-10.607885,-93.24261,235.03215,29.189203,0.047200486,0.87597686,0.047200486
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.731232,-10.642015,-93.213936,235.02078,29.762947,0.046001796,-0.11986898,0.046001796
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.741232,-10.678694,-93.190315,235.02637,29.930162,0.043985184,-0.20166135,0.043985184
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.751232,-10.716824,-93.166664,235.0338,30.41866,0.045476813,0.14916301,0.045476813
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.761232,-10.756702,-93.14218,235.04439,31.748573,0.047977917,0.25011018,0.047977917
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.771232,-10.796047,-93.11056,235.0398,32.85599,0.05068621,0.27082935,0.05068621
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.781232,-10.8358755,-93.07392,235.01912,33.81722,0.057932414,0.72462046,0.057932414
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.791232,-10.877383,-93.049065,235.02957,32.572304,0.049496807,-0.84356076,0.049496807
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.801232,-10.920965,-93.025185,235.04445,31.682508,0.05187685,0.23800436,0.05187685
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.811232,-10.965503,-92.998245,235.05336,30.895523,0.05280768,0.093083076,0.05280768
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.821232,-11.010656,-92.97088,235.0647,31.281828,0.054001488,0.11938074,0.054001488
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.831232,-11.05554,-92.94162,235.07628,31.158367,0.054814704,0.081321664,0.054814704
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.841232,-11.099646,-92.90483,235.06998,31.147339,0.057779193,0.2964489,0.057779193
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.851232,-11.145309,-92.867165,235.05818,31.676218,0.060360365,0.258117,0.060360365
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.861232,-11.192439,-92.83186,235.04959,32.85516,0.059505977,-0.08543857,0.059505977
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.871232,-11.2415,-92.79593,235.04758,33.83357,0.060848527,0.13425511,0.060848527
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.881232,-11.291196,-92.76029,235.05118,35.016155,0.06125706,0.040853158,0.06125706
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.891233,-11.343482,-92.72038,235.04536,33.137527,0.06602829,0.47707525,0.06603489
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.901233,-11.396838,-92.676216,235.03488,31.860327,0.07005376,0.40254715,0.07005376
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.911233,-11.451854,-92.63399,235.02957,31.463367,0.069558136,-0.04956282,0.069558136
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.921233,-11.507854,-92.59075,235.02365,31.649435,0.07099678,0.14386506,0.07099678
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.931233,-11.564682,-92.5443,235.01242,31.96012,0.0742496,0.32528192,0.0742496
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.941233,-11.622394,-92.50077,235.00943,32.73414,0.072348095,-0.19015037,0.072348095
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.951233,-11.679063,-92.4551,235.00166,33.39909,0.07319689,0.08487856,0.07319689
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.961233,-11.736176,-92.40837,234.99081,34.109165,0.07458331,0.13864236,0.07458331
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.971233,-11.793076,-92.365654,234.98474,35.06475,0.07141137,-0.3171935,0.07141137
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.981233,-11.850172,-92.32287,234.98103,36.001755,0.07144534,0.0033962529,0.07144534
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:18.991233,-11.906454,-92.280136,234.97794,33.361187,0.07073066,-0.071467906,0.07073066
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.001233,-11.962705,-92.23759,234.9777,32.02779,0.0705322,-0.019845055,0.0705322
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.011233,-12.019147,-92.19722,234.98148,31.49929,0.069492035,-0.10401746,0.069492035
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.021233,-12.0763235,-92.15511,234.98203,31.824905,0.07101227,0.15202431,0.07101227
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.031233,-12.134953,-92.11222,234.98196,32.49184,0.07264484,0.16325603,0.07264484
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.041233,-12.19435,-92.06756,234.982,33.636433,0.07431326,0.16684262,0.07431326
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.051233,-12.255306,-92.020386,234.98401,34.804356,0.077103645,0.2790386,0.077103645
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.061233,-12.3171,-91.9722,234.99109,35.78143,0.07867996,0.15763108,0.07867996
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.071233,-12.381494,-91.92142,234.99408,36.603268,0.08206065,0.3380695,0.08206065
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.081233,-12.447981,-91.86407,234.98193,37.183064,0.08864292,0.6582265,0.08864292
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.091233,-12.517098,-91.8063,234.97911,35.45635,0.09012478,0.14818636,0.09012478
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.101233,-12.587599,-91.74736,234.97446,33.457554,0.09200799,0.18832092,0.09200799
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.111234,-12.659689,-91.68373,234.96619,33.335384,0.09649905,0.4490609,0.0965087
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.121234,-12.732865,-91.62484,234.96693,33.403408,0.09393366,-0.25653884,0.09393366
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.131234,-12.805584,-91.56438,234.96295,34.57928,0.09465626,0.07226021,0.09465626
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.141234,-12.879474,-91.50083,234.95255,35.567303,0.098007776,0.33515108,0.098007776
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.151234,-12.954154,-91.4399,234.94656,36.658478,0.09657057,-0.1437209,0.09657057
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.161234,-13.030576,-91.38135,234.95134,37.85753,0.09639239,-0.017817114,0.09639239
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.171234,-13.107034,-91.31636,234.94775,38.372837,0.100411706,0.40193102,0.100411706
01G11GP2D5W3KXH3TNKR8R7GZH,2022-04-19 18:17:19.181234,-13.1851845,-91.258385,234.96268,39.12391,0.09844252,-0.19691868,0.09844252
