id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.045989,-6.9110923,-93.59205,235.01608,14.630147,0.008224395,-0.08573787,0.008224395
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.055989,-6.9099464,-93.5949,235.02007,15.689575,0.0050342935,-0.3190102,0.0050342935
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.065989,-6.908522,-93.59238,235.01622,17.06959,0.004825423,-0.02088703,0.004825423
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.075989,-6.9078283,-93.59155,235.01753,17.814173,0.0016990651,-0.3126358,0.0016990651
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.085990,-6.90778,-93.58772,235.01535,12.947836,0.0044110506,0.27117142,0.0044114916
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.095990,-6.909277,-93.59539,235.03535,9.21627,0.02147981,1.706876,0.02147981
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.105990,-6.9101367,-93.59938,235.04623,7.781471,0.0116202915,-0.9859519,0.0116202915
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.115990,-6.912175,-93.60638,235.0542,6.7129707,0.010796619,-0.08236733,0.010796619
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.125990,-6.913331,-93.612144,235.06259,5.5455933,0.010248739,-0.054787915,0.010248739
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.135990,-6.9138737,-93.60777,235.0479,6.0519905,0.015345522,0.5096783,0.015345522
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.145990,-6.9146733,-93.6109,235.05255,6.6150727,0.0056666974,-0.96788245,0.0056666974
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.155990,-6.915244,-93.61428,235.05708,7.7667,0.005674369,0.0007671808,0.005674369
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.165990,-6.915683,-93.61754,235.05783,9.34794,0.0033735838,-0.23007853,0.0033735838
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.175990,-6.9154515,-93.620346,235.06291,10.17295,0.0058114445,0.24378605,0.0058114445
01G11HM9M76E8RH3S6AC7P8MZ5,2022-04-19 18:33:49.185990,-6.9153996,-93.626816,235.06645,5.61645,0.0073751532,0.15637088,0.0073751532
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.906002,-7.345213,-93.31593,235.03775,22.571016,0.026188627,-2.4344828,0.026188627
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.916002,-7.3550367,-93.30788,235.04706,24.203451,0.015750984,-1.0437642,0.015750984
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.926002,-7.3671446,-93.29886,235.05476,25.611181,0.016949395,0.119841136,0.016949395
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.936002,-7.381402,-93.29089,235.06473,26.775469,0.019134786,0.21853912,0.019134786
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.946002,-7.3971677,-93.27717,235.06322,28.782986,0.020956568,0.18217833,0.020956568
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.956002,-7.414569,-93.263466,235.06104,29.755482,0.02225591,0.12993424,0.02225591
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.966002,-7.4338083,-93.25126,235.06543,31.266504,0.023204206,0.094829366,0.023204206
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.976002,-7.4524546,-93.23427,235.05583,32.87,0.02698763,0.37834266,0.02698763
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.986002,-7.474722,-93.22067,235.06355,32.993607,0.027208118,0.022048634,0.027208118
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:51.996002,-7.4988914,-93.20362,235.06006,33.426266,0.029788181,0.25800627,0.029788181
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.006002,-7.5246015,-93.19151,235.06906,34.060627,0.029810365,0.0022185105,0.029810365
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.016002,-7.551111,-93.17633,235.08165,34.503235,0.033046935,0.32365677,0.033046935
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.026002,-7.5785933,-93.15589,235.0807,35.40481,0.034263488,0.12165556,0.034263488
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.036003,-7.6083136,-93.1306,235.06693,35.58766,0.0413808,0.71166,0.04138494
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.046003,-7.6392064,-93.10207,235.05217,36.939228,0.04455908,0.31782803,0.04455908
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.056003,-7.6721516,-93.07608,235.05067,39.00214,0.041991837,-0.25672448,0.041991837
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.066003,-7.706537,-93.054436,235.05707,38.752796,0.041130617,-0.086121865,0.041130617
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.076003,-7.7433853,-93.038284,235.07904,39.407757,0.045840032,0.4709416,0.045840032
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.086003,-7.7798004,-93.01197,235.08315,38.700512,0.045117166,-0.07228669,0.045117166
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.096003,-7.8157935,-92.982124,235.07808,37.742462,0.047029756,0.19125889,0.047029756
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.106003,-7.853532,-92.946014,235.0634,37.072502,0.054256473,0.72267175,0.054256473
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.116003,-7.8923907,-92.90694,235.03545,36.777138,0.061795417,0.7538944,0.061795417
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.126003,-7.933799,-92.876915,235.03018,36.887917,0.051414475,-1.0380943,0.051414475
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.136003,-7.976038,-92.851295,235.0398,37.176258,0.050330523,-0.10839502,0.050330523
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.146003,-8.018834,-92.826324,235.0534,38.383312,0.051383458,0.10529327,0.051383458
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.156003,-8.061312,-92.79559,235.05627,39.32012,0.05250791,0.1124454,0.05250791
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.166003,-8.104175,-92.763115,235.05733,39.888947,0.053786095,0.12781852,0.053786095
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.176003,-8.147278,-92.720276,235.0318,41.00694,0.06591895,1.2132854,0.06591895
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.186003,-8.192341,-92.68607,235.02136,40.212646,0.057526033,-0.8392918,0.057526033
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.196003,-8.239927,-92.656006,235.029,39.27887,0.056804482,-0.07215518,0.056804482
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.206003,-8.288463,-92.6272,235.04506,38.835773,0.058683928,0.18794474,0.058683928
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.216003,-8.338426,-92.60288,235.0744,38.383266,0.06283596,0.41520357,0.06283596
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.226003,-8.387755,-92.56366,235.07182,38.526913,0.063074164,0.02381993,0.063074164
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.236003,-8.439094,-92.526985,235.07306,39.60618,0.06310652,0.0032360014,0.06310652
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.246003,-8.491624,-92.48529,235.0628,40.33295,0.06784571,0.47391856,0.06784571
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.256003,-8.545876,-92.44255,235.05414,41.628914,0.06960264,0.17569266,0.06960264
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.266004,-8.601793,-92.3995,235.04984,42.24265,0.07069791,0.109516576,0.07070498
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.276004,-8.657721,-92.36002,235.05872,43.06964,0.069025286,-0.16726239,0.069025286
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.286004,-8.714893,-92.318695,235.06468,41.68333,0.070797965,0.17726819,0.070797965
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.296004,-8.772923,-92.27417,235.05946,39.99129,0.07333212,0.25341523,0.07333212
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.306004,-8.831458,-92.226105,235.0451,39.795967,0.077091224,0.37591058,0.077091224
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.316004,-8.889039,-92.17441,235.02275,39.111706,0.08054323,0.34519994,0.08054323
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.326004,-8.946361,-92.125786,235.00726,39.422012,0.07674398,-0.3799244,0.07674398
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.336004,-9.002312,-92.07562,234.99664,40.313866,0.075894915,-0.08490674,0.075894915
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.346004,-9.058066,-92.032875,234.99907,40.599342,0.070296146,-0.5598771,0.070296146
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.356004,-9.114618,-91.99538,235.01099,42.456306,0.06889505,-0.14010976,0.06889505
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.366004,-9.171422,-91.95549,235.01424,42.60453,0.06948295,0.058790818,0.06948295
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.376004,-9.230146,-91.91127,235.01537,43.904633,0.0735223,0.40393463,0.0735223
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.386004,-9.288993,-91.8587,235.00261,42.01368,0.07992729,0.6404985,0.07992729
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.396004,-9.350697,-91.80966,235.00517,40.324863,0.078860514,-0.10667692,0.078860514
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.406004,-9.414912,-91.76194,235.01024,39.568943,0.08016744,0.13069268,0.08016744
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.416004,-9.481138,-91.71442,235.01735,39.426865,0.08182115,0.1653711,0.08182115
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.426004,-9.548072,-91.66142,235.0157,40.590668,0.08539132,0.35701692,0.08539132
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.436004,-9.61745,-91.609505,235.01862,41.45409,0.086703524,0.13122034,0.086703524
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.446004,-9.689407,-91.56365,235.04213,42.628475,0.08850573,0.18022045,0.08850573
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.456004,-9.760942,-91.50989,235.05003,43.785515,0.08983461,0.13288802,0.08983461
01G11HMCDM33DP6DPAKM2ME47V,2022-04-19 18:33:52.466004,-9.834037,-91.45123,235.05075,44.111313,0.09371775,0.38831374,0.09371775
