id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.529934,-3.1593785,-89.9255,235.54712,12.179466,0.0367761,0.6653668,0.0367761
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.539934,-3.1899028,-89.89707,235.54953,12.541933,0.041777518,0.500142,0.041777518
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.549934,-3.2236154,-89.867004,235.5534,12.835799,0.0453385,0.3560982,0.0453385
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.559934,-3.26051,-89.829994,235.54921,12.885812,0.052427717,0.70892185,0.052427717
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.569934,-3.2972815,-89.798096,235.5479,13.158558,0.04869784,-0.37298772,0.04869784
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.579934,-3.3347871,-89.76641,235.54776,12.736975,0.049099002,0.040116254,0.049099002
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.589934,-3.3717804,-89.73429,235.54697,12.415497,0.04899885,-0.010015338,0.04899885
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.599934,-3.4094799,-89.70427,235.54808,12.81083,0.04820151,-0.079734184,0.04820151
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.619934,-3.450293,-89.664474,235.54256,13.118472,0.028636206,-0.97826517,0.057272412
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.629934,-3.4925475,-89.621544,235.53534,12.804845,0.06066993,3.2033725,0.06066993
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.639934,-3.5355139,-89.57988,235.53,12.861685,0.060087148,-0.05827834,0.060087148
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.649934,-3.577537,-89.53575,235.5184,13.210343,0.0620305,0.1943355,0.0620305
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.659934,-3.621197,-89.48963,235.50917,13.371583,0.06417618,0.21456757,0.06417618
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.669934,-3.6661592,-89.44982,235.51555,13.576984,0.06039271,-0.37834656,0.06039271
01G11JF8D33JED52EVEDAVKCD0,2022-04-19 18:48:32.679934,-3.7119136,-89.40729,235.51826,13.455736,0.062525846,0.21331356,0.062525846
