id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.044541,30.649454,-76.20087,186.45833,21.476036,0.016530123,0.62851655,0.016530123
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.054541,30.664267,-76.19181,186.45566,23.033215,0.017563071,0.10329485,0.017563071
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.064541,30.6821,-76.18379,186.4572,24.632896,0.01961542,0.20523486,0.01961542
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.074541,30.700094,-76.17081,186.45338,26.17131,0.02251816,0.29027402,0.02251816
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.084541,30.719255,-76.15942,186.45049,27.45277,0.022475766,-0.00423938,0.022475766
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.094541,30.7419,-76.14991,186.45409,28.581448,0.024822477,0.23467125,0.024822477
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.104541,30.766117,-76.13826,186.45496,30.194668,0.026887383,0.20649059,0.026887383
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.114541,30.79113,-76.12252,186.44708,31.633394,0.030581806,0.3694422,0.030581806
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.124541,30.818039,-76.10829,186.44658,31.98853,0.03044647,-0.013533648,0.03044647
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.134541,30.849083,-76.09601,186.45647,32.100746,0.03481951,0.43730402,0.03481951
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.144541,30.88226,-76.08181,186.4647,31.881855,0.037012983,0.21934736,0.037012983
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.154541,30.91479,-76.06283,186.46219,32.183468,0.037744347,0.073136434,0.037744347
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.174541,30.952883,-76.03967,186.45761,33.068974,0.022408219,-0.7668064,0.044816438
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.184541,30.994583,-76.01718,186.4551,34.13324,0.047443468,2.5035248,0.047443468
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.194541,31.040483,-75.99469,186.45683,34.262604,0.051146194,0.3702726,0.051146194
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.204542,31.087543,-75.97186,186.46072,34.87307,0.05244194,0.1295618,0.052447185
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.214542,31.13393,-75.94543,186.45697,35.8937,0.05352338,0.10814391,0.05352338
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.224542,31.183693,-75.923325,186.46309,36.691418,0.05479138,0.12679991,0.05479138
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.234542,31.235697,-75.903336,186.47719,36.726818,0.057469573,0.26781934,0.057469573
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.244542,31.287067,-75.87509,186.47574,35.436253,0.058639836,0.11702645,0.058639836
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.254542,31.339758,-75.84894,186.47493,34.90126,0.058827393,0.018755749,0.058827393
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.264542,31.394266,-75.82213,186.47736,34.64839,0.060793273,0.19658798,0.060793273
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.274542,31.445255,-75.795555,186.47974,34.65918,0.057549935,-0.3243337,0.057549935
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.284542,31.497162,-75.77198,186.48682,34.760548,0.05744379,-0.010614729,0.05744379
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.294542,31.548054,-75.74602,186.49078,34.987556,0.057272226,-0.017156312,0.057272226
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.304542,31.598383,-75.71599,186.48618,35.27876,0.05878712,0.15148933,0.05878712
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.314542,31.653358,-75.69372,186.49911,36.322433,0.06071088,0.19237608,0.06071088
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.324542,31.706852,-75.66273,186.49722,37.669975,0.061852634,0.114175454,0.061852634
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.334542,31.76168,-75.62568,186.48161,36.66865,0.067985475,0.61328405,0.067985475
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.344542,31.818726,-75.59194,186.47562,35.280163,0.066546984,-0.14384928,0.066546984
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.354542,31.878014,-75.55867,186.47333,34.64013,0.06802335,0.14763671,0.06802335
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.364542,31.938536,-75.52593,186.47382,34.41874,0.06881147,0.07881228,0.06881147
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.374542,31.999514,-75.49292,186.4711,34.920296,0.06939065,0.057917383,0.06939065
01G11N1AWE9M6BJ4543HETT7G9,2022-04-19 19:33:22.384542,32.06296,-75.462715,186.47812,35.489693,0.07062291,0.123226754,0.07062291
