id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.085400,-17.759567,-0.990331,233.05447,20.150585,0.052437253,0.0042972784,0.052437253
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.095400,-17.752398,-0.9729153,233.0048,22.362152,0.05312838,0.06911271,0.05312838
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.105400,-17.745232,-0.9532587,232.9552,23.684097,0.053836327,0.07079453,0.053836327
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.115400,-17.73807,-0.9313301,232.90565,25.019701,0.054648377,0.0812049,0.054648377
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.125400,-17.730904,-0.90693104,232.8561,26.639769,0.05569983,0.105145454,0.05569983
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.135400,-17.73259,-0.8830341,232.86812,27.599522,0.026803212,-2.8896618,0.026803212
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.145401,-17.734394,-0.85778695,232.87308,28.906713,0.025790218,-0.10128915,0.025792798
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.155401,-17.735104,-0.831671,232.88419,28.934072,0.028386733,0.25965133,0.028386733
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.175401,-17.734194,-0.8024134,232.88243,29.4921,0.01466191,-0.6862411,0.02932382
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.185401,-17.73383,-0.7693357,232.88185,30.06054,0.033084933,1.8423021,0.033084933
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.195401,-17.73373,-0.7331816,232.89009,30.982155,0.03708058,0.39956468,0.03708058
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.205401,-17.73373,-0.69486576,232.90155,32.170837,0.039994497,0.29139203,0.039994497
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.215401,-17.733782,-0.65439534,232.91629,32.57475,0.04307377,0.30792713,0.04307377
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.225401,-17.732782,-0.61186254,232.92282,33.566025,0.04304082,-0.0032949725,0.04304082
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.235401,-17.73245,-0.5678217,232.93367,34.45821,0.04535975,0.23189308,0.04535975
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.245401,-17.73133,-0.5212569,232.94092,35.020096,0.047138557,0.17788066,0.047138557
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.255401,-17.72903,-0.47364092,232.94656,35.836384,0.048005562,0.086700305,0.048005562
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.265401,-17.726974,-0.42503887,232.938,34.762,0.04939451,0.13889484,0.04939451
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.275401,-17.725317,-0.37712923,232.94757,34.222965,0.04888372,-0.05107884,0.04888372
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.285401,-17.723703,-0.32865185,232.96515,33.19373,0.051591672,0.27079502,0.051591672
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.295401,-17.720936,-0.27964866,232.96265,32.333893,0.04914466,-0.24470131,0.04914466
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.305401,-17.71781,-0.22898713,232.96022,32.18312,0.05081577,0.16711126,0.05081577
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.315401,-17.716099,-0.1773002,232.9666,32.930847,0.052106474,0.12907016,0.052106474
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.325401,-17.713463,-0.12493294,232.96811,33.12163,0.052455317,0.034884714,0.052455317
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.335401,-17.708248,-0.070842326,232.95226,34.23556,0.05660682,0.41515034,0.05660682
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.345401,-17.703127,-0.015483975,232.9353,35.03782,0.0581196,0.15127751,0.0581196
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.355401,-17.700258,0.04157392,232.94229,35.215836,0.05755563,-0.05639679,0.05755563
01G0QQH4YFAC9ZNAXCBTPA6YDD,2022-04-15 23:04:33.365401,-17.696383,0.10106242,232.94006,33.976025,0.0596564,0.21007705,0.0596564
