id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.670365,-3.9530652,-32.71849,232.97914,29.694456,0.040614247,0.71689874,0.040618308
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.680365,-3.9736378,-32.69521,232.95404,31.12702,0.03994848,-0.06657678,0.03994848
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.690365,-3.9955592,-32.675365,232.93524,31.776201,0.03503926,-0.49092183,0.03503926
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.700365,-4.018578,-32.654984,232.91603,33.657196,0.036254052,0.12147896,0.036254052
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.710365,-4.043831,-32.633068,232.90865,33.001057,0.034240793,-0.2013259,0.034240793
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.720365,-4.0702953,-32.607265,232.88988,32.899857,0.04145125,0.72104585,0.04145125
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.730365,-4.099749,-32.581722,232.8807,33.502335,0.04005131,-0.13999407,0.04005131
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.740365,-4.1298413,-32.55633,232.87122,32.768105,0.04049906,0.044775017,0.04049906
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.750365,-4.1622105,-32.529697,232.8757,33.83849,0.04216003,0.16609709,0.04216003
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.760365,-4.19627,-32.49993,232.87677,34.152515,0.04524573,0.30856988,0.04524573
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.770365,-4.230905,-32.471775,232.88402,35.173714,0.045222253,-0.0023478344,0.045222253
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.780365,-4.2668858,-32.44169,232.8954,36.577896,0.048261773,0.30395198,0.048261773
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.790365,-4.302291,-32.40893,232.90187,36.533356,0.048664775,0.04030019,0.048664775
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.800365,-4.3377714,-32.376774,232.91135,37.21772,0.04881655,0.01517782,0.04881655
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.810365,-4.3733773,-32.342308,232.92021,36.48873,0.050339233,0.1522681,0.050339233
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.820365,-4.410794,-32.30768,232.93568,35.743774,0.053277586,0.2938355,0.053277586
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.830365,-4.4481597,-32.27214,232.94585,35.56051,0.052557953,-0.07196335,0.052557953
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.840365,-4.487057,-32.234253,232.95056,34.87576,0.054505665,0.19477129,0.054505665
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.850365,-4.5258546,-32.195805,232.94568,34.73225,0.054837722,0.033205688,0.054837722
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.860365,-4.5656304,-32.156044,232.93732,35.537945,0.05686106,0.20233393,0.05686106
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.870365,-4.6057143,-32.115295,232.92804,35.472355,0.057905,0.104393825,0.057905
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.880365,-4.6466722,-32.073612,232.924,36.9801,0.05857876,0.06737593,0.05857876
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.890366,-4.689664,-32.02883,232.91846,37.901722,0.06231673,0.37375957,0.062322963
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.900366,-4.7336125,-31.982182,232.91142,38.64012,0.064477906,0.21611726,0.064477906
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.910366,-4.7782373,-31.936409,232.90527,37.520405,0.064220384,-0.025751771,0.064220384
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.920366,-4.8237576,-31.889357,232.90112,36.24618,0.065599024,0.13786416,0.065599024
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.930366,-4.8717036,-31.841812,232.8986,35.582817,0.06756905,0.19700216,0.06756905
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.940366,-4.9203053,-31.795145,232.9053,34.831367,0.06771318,0.014413249,0.06771318
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.950366,-4.970506,-31.74718,232.91779,35.22885,0.07054336,0.2830186,0.07054336
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.960366,-5.0207877,-31.70161,232.9329,35.358208,0.06952312,-0.1020247,0.06952312
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.970366,-5.071532,-31.65293,232.94191,37.30047,0.07089362,0.13705033,0.07089362
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.980366,-5.122248,-31.60598,232.94714,36.995678,0.069309995,-0.15836255,0.069309995
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:45.990366,-5.172787,-31.558607,232.95142,38.77297,0.06940117,0.009116846,0.06940117
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.000366,-5.22406,-31.513554,232.97008,38.604763,0.070760824,0.13596585,0.070760824
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.010366,-5.276747,-31.467667,232.99146,37.72363,0.073066846,0.23060247,0.073066846
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.020366,-5.329645,-31.420677,233.00969,36.028175,0.073065005,-0.00018436284,0.073065005
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.030366,-5.381464,-31.37452,233.02336,35.541218,0.07073023,-0.2334776,0.07073023
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.040366,-5.434453,-31.323936,233.02393,35.88201,0.073257945,0.2527715,0.073257945
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.050366,-5.4868445,-31.273212,233.02135,36.058468,0.07296824,-0.028970867,0.07296824
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.060366,-5.540668,-31.221039,233.01883,36.744194,0.075003296,0.2035064,0.075003296
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.070366,-5.5958376,-31.168379,233.0221,38.782494,0.07633802,0.13347273,0.07633802
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.080366,-5.6525955,-31.112202,233.02264,40.03845,0.07986022,0.3522195,0.07986022
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.090366,-5.7109194,-31.055027,233.02667,39.98414,0.08177291,0.19126903,0.08177291
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.100366,-5.770602,-30.99378,233.02464,40.366516,0.08554108,0.3768162,0.08554108
01G0QS14NREE469TPRGT2M3FPS,2022-04-15 23:30:46.110366,-5.8322177,-30.929436,233.02182,38.703823,0.08913306,0.35919857,0.08913306
