id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.863688,2.487273,-38.603577,263.136,23.15427,0.022476014,-0.46879292,0.022476014
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.873688,2.4861088,-38.59122,263.14667,24.747812,0.016378859,-0.6097154,0.016378859
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.883688,2.4855008,-38.576794,263.14746,26.738024,0.01445991,-0.19189496,0.01445991
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.893688,2.4842374,-38.562283,263.13034,28.085747,0.02247136,0.80114514,0.02247136
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.903688,2.4832478,-38.548996,263.1071,28.085745,0.026814364,0.4343002,0.026814364
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.913688,2.4815614,-38.53701,263.0974,28.085745,0.015493817,-1.1320546,0.015493817
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.923688,2.480272,-38.522827,263.07986,28.085745,0.02258723,0.7093414,0.02258723
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.933688,2.479357,-38.50982,263.06747,28.558756,0.017985225,-0.46020067,0.017985225
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.943688,2.4797544,-38.500313,263.07068,30.232147,0.010040857,-0.79443675,0.010040857
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.953688,2.4798713,-38.487995,263.061,31.308119,0.015672915,0.5632057,0.015672915
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.963688,2.4812136,-38.481094,263.06763,33.83815,0.009666129,-0.60067856,0.009666129
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.973688,2.4835703,-38.478252,263.09158,35.457,0.024236307,1.4570178,0.024236307
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.983688,2.485118,-38.474777,263.12363,37.18936,0.032259315,0.80230075,0.032259315
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:50.993688,2.487049,-38.47186,263.17178,38.825603,0.04827151,1.6012195,0.04827151
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.003688,2.4892216,-38.469456,263.22284,40.433147,0.051176913,0.2905404,0.051176913
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.013688,2.4907236,-38.467,263.2911,41.677402,0.06831632,1.7139401,0.06831632
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.023688,2.4915068,-38.4657,263.36237,43.27754,0.07128079,0.29644784,0.07128079
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.033688,2.4918153,-38.462482,263.42453,44.470284,0.06224821,-0.903258,0.06224821
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.043688,2.4925306,-38.45398,263.46915,42.542908,0.04541328,-1.6834931,0.04541328
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.053689,2.4935684,-38.44795,263.51645,42.084408,0.04771288,0.22993699,0.047717653
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.063689,2.4929852,-38.440533,263.55914,42.90593,0.043322567,-0.43903145,0.043322567
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.073689,2.4922013,-38.427307,263.6109,43.16407,0.05342364,1.0101072,0.05342364
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.083689,2.4927938,-38.417854,263.66464,44.27434,0.0545723,0.11486591,0.0545723
01G2QM4Y61SP6YEMP7RJFYAS0J,2022-05-10 18:36:51.093689,2.4931154,-38.408165,263.72662,45.26273,0.06274397,0.8171672,0.06274397
