id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.333934,29.869709,-80.12913,242.12227,31.575329,0.034116767,0.4891843,0.034116767
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.343934,29.891685,-80.10164,242.11465,32.819393,0.036002677,0.18859111,0.036002677
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.353934,29.914227,-80.07228,242.10051,33.999706,0.039630562,0.36278853,0.039630562
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.363934,29.940975,-80.04164,242.09401,34.589294,0.04118363,0.15530673,0.04118363
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.373934,29.968872,-80.01259,242.0874,33.334248,0.040816814,-0.036681402,0.040816814
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.383935,29.99707,-79.97809,242.08005,32.551804,0.04516156,0.4344309,0.045166075
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.393935,30.027857,-79.94138,242.07204,33.062023,0.048568908,0.3407349,0.048568908
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.403935,30.058617,-79.90204,242.0564,32.96713,0.052330878,0.37619713,0.052330878
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.413935,30.091352,-79.86619,242.05229,33.47658,0.048722364,-0.36085153,0.048722364
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.423935,30.125202,-79.82784,242.04816,33.71177,0.051314026,0.2591662,0.051314026
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.433935,30.15728,-79.78397,242.02919,34.77547,0.05756139,0.6247365,0.05756139
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.443935,30.19252,-79.74327,242.02016,36.36456,0.054595884,-0.29655057,0.054595884
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.453935,30.228527,-79.69792,242.00972,37.048107,0.058837995,0.42421094,0.058837995
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.463935,30.26439,-79.65337,242.00035,36.742134,0.057949364,-0.08886312,0.057949364
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.473935,30.302803,-79.60798,241.99643,35.87837,0.0595953,0.16459371,0.0595953
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.483935,30.342861,-79.55686,241.98178,35.001244,0.06657366,0.69783527,0.06657366
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.493935,30.383276,-79.50933,241.9773,34.45539,0.062550254,-0.4023396,0.062550254
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.503935,30.424776,-79.46674,241.99184,33.860836,0.061217014,-0.13332425,0.061217014
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.513935,30.469234,-79.4267,242.01935,34.575035,0.06585596,0.46389455,0.06585596
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.523935,30.510311,-79.384346,242.03394,35.34351,0.06077592,-0.50800407,0.06077592
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.533935,30.555376,-79.34361,242.05942,36.425602,0.065873116,0.50971997,0.065873116
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.543935,30.59912,-79.29992,242.08086,37.361935,0.06544357,-0.04295541,0.06544357
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.553935,30.643988,-79.25256,242.0928,38.86965,0.066322245,0.08786813,0.066322245
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.563935,30.687393,-79.19658,242.08963,36.551655,0.070905365,0.45831215,0.070905365
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.573935,30.735668,-79.14313,242.10017,34.91558,0.072795644,0.18902773,0.072795644
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.583935,30.78541,-79.086464,242.10728,34.95547,0.07573206,0.29364145,0.07573206
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.593935,30.833282,-79.02456,242.09563,34.77034,0.079122126,0.33900666,0.079122126
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.603935,30.883375,-78.959694,242.08029,35.46356,0.08337771,0.42555872,0.08337771
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.613936,30.932291,-78.89262,242.05989,37.029537,0.08548132,0.2103402,0.08548988
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.623936,30.985506,-78.826126,242.04697,37.652905,0.08613988,0.065855205,0.08613988
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.633936,31.036057,-78.75971,242.03712,38.492485,0.08404089,-0.2098989,0.08404089
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.643936,31.086035,-78.690445,242.019,38.604206,0.0873176,0.3276714,0.0873176
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.653936,31.136068,-78.62984,242.01657,39.499016,0.07862733,-0.86902666,0.07862733
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.663936,31.190283,-78.570915,242.02774,38.433296,0.08084384,0.221651,0.08084384
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.673936,31.243147,-78.50925,242.02995,35.96756,0.08125327,0.040942334,0.08125327
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.683936,31.292267,-78.4464,242.02454,35.31708,0.0799468,-0.13064682,0.0799468
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.693936,31.345913,-78.387886,242.0395,35.630203,0.08078189,0.08350927,0.08078189
01G2DXHZRQ5VH29GCBSQKHH3DQ,2022-05-07 00:08:51.703936,31.397638,-78.32299,242.03738,36.478317,0.083015874,0.22339779,0.083015874
