id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.606577,21.045502,2.034614,202.14949,4.8534355,0.03663827,0.112557925,0.03663827
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.616577,21.081253,2.0512395,202.15717,4.296553,0.04016682,0.35285515,0.04016682
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.626577,21.119444,2.0696564,202.16386,4.5151014,0.04292555,0.27587277,0.04292555
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.636577,21.158419,2.0903049,202.16153,4.565478,0.04416817,0.12426196,0.04416817
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.646577,21.201744,2.111848,202.1775,4.457378,0.05095463,0.678646,0.05095463
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.656577,21.24777,2.1340265,202.18796,4.8116407,0.05214852,0.11938893,0.05214852
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.666577,21.294443,2.1569486,202.20193,4.97522,0.053841893,0.16933726,0.053841893
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.676577,21.339806,2.1799126,202.2015,5.066382,0.050846223,-0.29956692,0.050846223
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.686577,21.386074,2.2042994,202.20544,5.127181,0.052449822,0.16035995,0.052449822
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.696577,21.43394,2.228725,202.2059,5.272282,0.053741213,0.1291391,0.053741213
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.706577,21.482855,2.2538328,202.21175,5.4501534,0.055290565,0.1549353,0.055290565
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.716577,21.529907,2.2789304,202.21042,5.2456174,0.053343486,-0.19470808,0.053343486
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.726577,21.577244,2.3035557,202.2066,5.3494234,0.053494617,0.015113255,0.053494617
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.736577,21.625309,2.3284616,202.2025,5.1968064,0.05429009,0.079547346,0.05429009
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.746577,21.672579,2.3539176,202.19229,5.3693275,0.054651804,0.036171366,0.054651804
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.756577,21.719847,2.379989,202.1789,5.615721,0.055617716,0.0965912,0.055617716
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.766577,21.769705,2.4065742,202.17345,5.727998,0.056765825,0.11481059,0.056765825
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.776577,21.822313,2.4341085,202.16833,6.090732,0.059597824,0.28319997,0.059597824
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.786577,21.876842,2.4631915,202.16887,6.2103267,0.061802372,0.22045496,0.061802372
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.796577,21.93374,2.4933558,202.17177,6.291389,0.06446454,0.26621687,0.06446454
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.806577,21.991615,2.524643,202.16699,6.5796556,0.065964244,0.1499701,0.065964244
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.816577,22.051409,2.557514,202.15814,6.418471,0.06880398,0.28397357,0.06880398
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.826578,22.113834,2.5915477,202.16438,6.5768375,0.07136716,0.2562928,0.0713743
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.836578,22.176926,2.6258762,202.16891,6.4630604,0.071968734,0.060156886,0.071968734
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.846578,22.239872,2.6607342,202.16695,6.7471623,0.07197989,0.0011159856,0.07197989
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.856578,22.303234,2.6961112,202.1661,6.5085044,0.07257542,0.059552617,0.07257542
01G1KXKNZ89YB6CHB4XM7Q4EQW,2022-04-26 21:49:31.866578,22.366241,2.731029,202.16286,6.682747,0.07210865,-0.046676766,0.07210865
