id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.180568,54.811268,-37.038597,219.31671,12.119492,0.028136501,0.108586326,0.028136501
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.190568,54.84283,-37.03019,219.32797,13.039049,0.03455227,0.641577,0.03455227
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.200568,54.87328,-37.015476,219.3142,13.3808775,0.036516935,0.1964666,0.036516935
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.210568,54.908108,-37.00213,219.31627,13.686429,0.037353028,0.08360923,0.037353028
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.220568,54.945805,-36.98784,219.31747,13.617447,0.040333897,0.2980869,0.040333897
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.230568,54.98416,-36.974213,219.31694,13.635246,0.040710043,0.037614677,0.040710043
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.240568,55.025032,-36.958786,219.31502,13.9069395,0.04372717,0.3017125,0.04372717
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.250569,55.069687,-36.94499,219.32387,14.925156,0.047562845,0.38352904,0.0475676
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.260569,55.11467,-36.929947,219.3258,14.575633,0.04747115,-0.009169251,0.04747115
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.270569,55.15579,-36.910683,219.31087,14.66,0.047801834,0.03306844,0.047801834
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.280569,55.205097,-36.893997,219.31683,14.524279,0.052394886,0.45930502,0.052394886
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.290569,55.25322,-36.876343,219.31328,14.772464,0.051380727,-0.10141594,0.051380727
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.300569,55.303215,-36.85921,219.32364,14.523162,0.053858466,0.24777405,0.053858466
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.310569,55.35412,-36.842068,219.32776,14.178174,0.053870447,0.0011979323,0.053870447
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.320569,55.401955,-36.821968,219.31367,13.86066,0.05376609,-0.010435732,0.05376609
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.330569,55.45005,-36.800198,219.3011,14.111048,0.054271363,0.05052723,0.054271363
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.340569,55.504898,-36.784386,219.31578,14.333073,0.058939856,0.4668495,0.058939856
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.350569,55.55576,-36.763756,219.3073,14.191899,0.055541046,-0.339881,0.055541046
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.360569,55.613407,-36.745544,219.32523,14.365753,0.06305486,0.75138134,0.06305486
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.370569,55.67466,-36.728428,219.3515,14.555154,0.068817295,0.5762433,0.068817295
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.380569,55.730637,-36.70855,219.3541,14.673852,0.059459046,-0.9358248,0.059459046
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.390569,55.790607,-36.6881,219.3663,14.493496,0.06452611,0.50670683,0.06452611
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.400569,55.850113,-36.6657,219.36618,14.550199,0.063580886,-0.09452261,0.063580886
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.410569,55.91172,-36.642063,219.36682,14.7983265,0.06598782,0.24069333,0.06598782
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.420569,55.9771,-36.617653,219.372,13.909853,0.069980316,0.39924982,0.069980316
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.430569,56.045017,-36.592995,219.38214,14.199237,0.07296496,0.29846385,0.07296496
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.440569,56.112713,-36.566566,219.38641,14.890777,0.07279727,-0.016769078,0.07279727
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.450569,56.181526,-36.539486,219.38945,14.64944,0.074013494,0.121622615,0.074013494
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.460569,56.24225,-36.508095,219.36548,14.496076,0.07243851,-0.1574986,0.07243851
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.470569,56.30475,-36.47783,219.34654,14.98477,0.07197947,-0.045903817,0.07197947
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.480570,56.3716,-36.451225,219.34633,15.09737,0.071944155,-0.0035305477,0.07195135
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.490570,56.435856,-36.423477,219.33818,14.821504,0.07046355,-0.1480609,0.07046355
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.500570,56.503662,-36.398315,219.34636,14.853532,0.07278094,0.23173846,0.07278094
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.510570,56.56742,-36.370483,219.34012,14.91948,0.069850005,-0.29309282,0.069850005
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.520570,56.635193,-36.345764,219.35242,14.677059,0.07318056,0.33305493,0.07318056
01G1KJ4FHMB0ZG1XDBRMTAPN40,2022-04-26 18:28:59.530570,56.698154,-36.318954,219.34729,14.867007,0.06862188,-0.45586717,0.06862188
