id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.309717,42.74019,13.126732,135.28667,30.032082,0.12402132,0.16036725,0.12402132
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.319717,42.68813,13.212634,135.2057,31.730577,0.12901549,0.49941716,0.12901549
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.329717,42.63673,13.301635,135.13222,33.33294,0.1263456,-0.2669886,0.1263456
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.339717,42.584747,13.393921,135.06091,33.12968,0.12768246,0.13368605,0.12768246
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.349717,42.5331,13.489358,134.99445,33.05919,0.12725765,-0.04248166,0.12725765
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.359717,42.48102,13.586542,134.92973,33.34355,0.1278415,0.058385484,0.1278415
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.369717,42.42713,13.684974,134.86514,34.477108,0.12948346,0.16419625,0.12948346
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.379717,42.374893,13.783762,134.807,35.788773,0.12596552,-0.35179538,0.12596552
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.389717,42.321285,13.880739,134.74585,37.241913,0.12656137,0.059585605,0.12656137
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.399717,42.269707,13.976826,134.68935,38.512592,0.12282439,-0.37369806,0.12282439
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.409717,42.21732,14.070278,134.63283,39.525265,0.12112931,-0.16950758,0.12112931
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.419717,42.168938,14.1638975,134.59125,40.070732,0.113287255,-0.7842058,0.113287255
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.429717,42.123127,14.257087,134.558,40.768867,0.109035656,-0.4251599,0.109035656
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.439718,42.07688,14.350546,134.52968,38.99818,0.10804262,-0.099293545,0.10805342
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.449718,42.028828,14.446256,134.5035,37.966965,0.11024884,0.22062227,0.11024884
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.459718,41.98074,14.54521,134.48546,38.121952,0.11148867,0.1239828,0.11148867
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.469718,41.931416,14.648224,134.46921,38.934723,0.11536359,0.3874918,0.11536359
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.479718,41.881027,14.75499,134.45523,39.822563,0.1188831,0.3519514,0.1188831
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.489718,41.830498,14.867407,134.44913,40.95984,0.12340316,0.45200562,0.12340316
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.499718,41.7785,14.983431,134.44656,41.191753,0.12716946,0.3766294,0.12716946
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.509718,41.72735,15.101285,134.44682,41.76408,0.12847427,0.1304809,0.12847427
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.519718,41.674007,15.216999,134.43938,41.506535,0.12763472,-0.08395493,0.12763472
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.529718,41.620483,15.331851,134.4318,41.33617,0.12693734,-0.06973682,0.12693734
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.539718,41.568653,15.445036,134.42928,39.316685,0.124514066,-0.24232776,0.124514066
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.549718,41.51791,15.556295,134.42787,38.101974,0.12229374,-0.22203298,0.12229374
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.559718,41.468777,15.667642,134.43134,37.844402,0.12175243,-0.054130588,0.12175243
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.569718,41.418056,15.779076,134.43207,38.652954,0.12243657,0.06841376,0.12243657
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.579718,41.364586,15.892121,134.42982,39.967438,0.12507388,0.2637305,0.12507388
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.589718,41.30873,16.007326,134.42603,40.212498,0.12808906,0.30151758,0.12808906
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.599718,41.25199,16.125086,134.42213,40.876972,0.13077232,0.26832676,0.13077232
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.609718,41.19433,16.245853,134.42319,41.34629,0.1338323,0.30599844,0.1338323
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.619718,41.136032,16.367973,134.42477,41.132072,0.13532911,0.14968118,0.13532911
01G1P76TXFDM3245YW246DWSY2,2022-04-27 19:15:45.629718,41.077988,16.489645,134.42645,41.455986,0.13481857,-0.051054798,0.13481857
