id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.302980,47.723736,-41.63633,134.29108,19.205961,0.014197167,-3.6512108,0.014197167
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.312980,47.71642,-41.615738,134.28003,21.36078,0.024493152,1.0295985,0.024493152
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.322980,47.705975,-41.593178,134.26392,23.374681,0.02962138,0.5128227,0.02962138
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.332980,47.694134,-41.566525,134.243,24.99565,0.03589693,0.6275551,0.03589693
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.342980,47.675903,-41.533966,134.20729,26.468824,0.051641855,1.5744925,0.051641855
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.352980,47.65743,-41.501396,134.17471,27.896597,0.04963009,-0.20117624,0.04963009
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.362980,47.642868,-41.470985,134.15218,29.422771,0.04055487,-0.9075224,0.04055487
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.372980,47.628773,-41.44115,134.13312,31.011997,0.038104914,-0.2449956,0.038104914
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.382980,47.607597,-41.40438,134.09785,32.518303,0.05517284,1.7067925,0.05517284
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.392980,47.58519,-41.365494,134.06302,33.847916,0.05681087,0.16380341,0.05681087
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.402980,47.561264,-41.32275,134.02563,35.194416,0.061629068,0.48181945,0.061629068
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.412980,47.538063,-41.28031,133.99384,36.7555,0.057879955,-0.3749113,0.057879955
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.422980,47.515007,-41.23491,133.96196,37.551163,0.06007696,0.21970056,0.06007696
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.432980,47.491974,-41.188824,133.93332,38.125626,0.05894329,-0.1133668,0.05894329
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.442981,47.47115,-41.1442,133.91467,38.2007,0.052654553,-0.62881076,0.05265982
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.452981,47.451405,-41.09926,133.90154,38.25085,0.050810087,-0.18444687,0.050810087
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.462981,47.427338,-41.050232,133.88043,38.510708,0.058552515,0.77424276,0.058552515
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.472981,47.40261,-40.999027,133.8593,39.17165,0.060662024,0.21095084,0.060662024
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.482981,47.379723,-40.95,133.84744,39.430016,0.05538795,-0.527407,0.05538795
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.492981,47.360413,-40.90369,133.84277,39.48935,0.050394256,-0.49936962,0.050394256
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.502981,47.339752,-40.858067,133.837,39.934673,0.05041628,0.0022022598,0.05041628
01G1PA67MR8XJYQPG5YZ23KFT9,2022-04-27 20:07:51.512981,47.318638,-40.80932,133.82947,40.476868,0.053651378,0.32350993,0.053651378
