id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.322060,1.0761259,-93.181656,235.39774,11.616457,0.025775453,0.43411076,0.025775453
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.332060,1.0529281,-93.15628,235.38313,13.208567,0.03735757,1.1582116,0.03735757
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.342060,1.0266112,-93.12471,235.36118,15.193625,0.04659934,0.9241769,0.04659934
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.352060,0.996748,-93.0891,235.33415,16.819227,0.053754058,0.715472,0.053754058
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.362060,0.96356547,-93.04908,235.3019,17.854143,0.061187595,0.74335384,0.061187595
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.372060,0.9296418,-93.0114,235.26303,18.678162,0.06388139,0.26937956,0.06388139
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.382060,0.89477175,-92.97606,235.23251,17.737782,0.05827478,-0.56066144,0.05827478
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.392060,0.85849905,-92.941216,235.21045,17.75476,0.054925326,-0.33494514,0.054925326
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.402060,0.8202958,-92.90761,235.19301,18.614101,0.05378789,-0.11374371,0.05378789
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.412060,0.7801282,-92.877754,235.19016,20.170326,0.050127145,-0.36607444,0.050127145
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.422060,0.738689,-92.848694,235.18846,21.694689,0.050640397,0.05132528,0.050640397
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.432060,0.6963038,-92.829735,235.21432,22.924526,0.053153284,0.25128847,0.053153284
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.442060,0.6529449,-92.81135,235.24333,23.902012,0.055309895,0.21566132,0.055309895
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.452060,0.6096977,-92.79235,235.27417,25.01329,0.056413498,0.110360034,0.056413498
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.462060,0.5653681,-92.77652,235.3158,26.175312,0.06283305,0.64195555,0.06283305
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.472060,0.52069396,-92.76348,235.36331,26.846699,0.06651003,0.3676974,0.06651003
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.482060,0.4758998,-92.74618,235.40253,22.390366,0.06199662,-0.45134035,0.06199662
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.492061,0.4309647,-92.72173,235.42465,21.732037,0.055725724,-0.627027,0.055731297
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.502061,0.3861323,-92.69461,235.44147,22.102142,0.05503154,-0.06941839,0.05503154
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.512061,0.34088337,-92.66288,235.44566,22.764465,0.05542437,0.03928308,0.05542437
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.522061,0.29502356,-92.630165,235.45122,23.693651,0.056608018,0.11836456,0.056608018
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.532061,0.24883817,-92.594765,235.45567,24.642187,0.05836078,0.17527628,0.05836078
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.542061,0.20162202,-92.55998,235.46233,25.610987,0.05901827,0.06574902,0.05901827
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.552061,0.15186135,-92.52494,235.47008,26.949947,0.061353628,0.23353584,0.061353628
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.562061,0.10044154,-92.48598,235.4707,28.355385,0.06451731,0.31636825,0.06451731
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.572061,0.047091328,-92.44263,235.46208,29.629416,0.069284394,0.47670826,0.069284394
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.592061,-0.011921055,-92.389435,235.44693,27.290277,0.040438496,-1.4422948,0.08087699
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.602061,-0.073501535,-92.33863,235.43948,25.925716,0.08017963,3.9741132,0.08017963
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.612061,-0.13670796,-92.29018,235.43805,25.507193,0.07965243,-0.05272002,0.07965243
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.622061,-0.20039842,-92.242645,235.43839,25.540144,0.07947477,-0.017766144,0.07947477
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.632061,-0.2642092,-92.19407,235.43376,26.02825,0.08032939,0.08546228,0.08032939
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.642061,-0.32767263,-92.14155,235.42047,27.127415,0.083441675,0.31122813,0.083441675
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.652061,-0.39052472,-92.09294,235.41727,27.875177,0.07952338,-0.39182937,0.07952338
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.662061,-0.4523156,-92.04603,235.41727,28.894838,0.07757824,-0.19451411,0.07757824
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.672061,-0.51304847,-91.99922,235.4182,29.992792,0.07668176,-0.08964704,0.07668176
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.682061,-0.5737429,-91.953026,235.42415,30.89193,0.07650802,-0.01737454,0.07650802
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.692061,-0.63198584,-91.90721,235.42572,25.923307,0.07412125,-0.23867664,0.07412125
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.702061,-0.690935,-91.85667,235.41602,25.811993,0.07825442,0.41331616,0.07825442
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.712061,-0.7505863,-91.804665,235.40717,25.63483,0.07963065,0.13762368,0.07963065
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.722062,-0.81186,-91.75075,235.40382,25.70006,0.08167739,0.20465326,0.08168556
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.732062,-0.87454736,-91.70064,235.41125,26.461182,0.08059787,-0.10795186,0.08059787
01G11K029CGHGSQSCPDKQZ4BH8,2022-04-19 18:57:43.742062,-0.9391703,-91.65222,235.4223,27.378769,0.08150179,0.09039158,0.08150179
