id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.687542,-10.391821,-93.4539,235.16504,10.643038,0.026341505,0.5745143,0.026341505
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.697542,-10.413163,-93.43276,235.15257,11.696713,0.03252658,0.6185074,0.03252658
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.707542,-10.437724,-93.404785,235.1312,12.564727,0.042932715,1.0406135,0.042932715
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.717542,-10.465137,-93.37427,235.10753,13.000632,0.047355685,0.44229707,0.047355685
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.727542,-10.491068,-93.342766,235.07643,13.507562,0.05129681,0.39411265,0.05129681
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.737542,-10.519462,-93.31313,235.05368,13.949362,0.046930093,-0.43667194,0.046930093
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.747543,-10.550167,-93.28595,235.0366,14.31296,0.044416953,-0.25128892,0.044421393
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.757543,-10.582917,-93.262726,235.03325,14.579513,0.04028488,-0.41320702,0.04028488
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.767543,-10.617622,-93.233826,235.02151,15.401197,0.04666224,0.63773596,0.04666224
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.777543,-10.653606,-93.199135,235.00627,15.172134,0.052260395,0.5598153,0.052260395
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.787543,-10.691465,-93.16955,234.99814,14.891867,0.048727904,-0.35324886,0.048727904
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.797543,-10.731064,-93.14056,234.99582,14.86576,0.04913286,0.040495656,0.04913286
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.807543,-10.772113,-93.11708,235.0066,14.940134,0.048505962,-0.062689885,0.048505962
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.817543,-10.81455,-93.08814,235.00797,14.971298,0.051379424,0.28734604,0.051379424
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.827543,-10.857365,-93.06302,235.01765,14.925503,0.050581574,-0.079784796,0.050581574
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.837543,-10.89966,-93.03026,235.01035,15.196872,0.053994823,0.3413248,0.053994823
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.847543,-10.942775,-92.99826,235.00989,14.980354,0.05369329,-0.03015331,0.05369329
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.857543,-10.986142,-92.966515,235.008,15.2536,0.05377699,0.008370057,0.05377699
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.867543,-11.031549,-92.93854,235.01917,15.491412,0.054490723,0.07137317,0.054490723
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.877543,-11.077292,-92.90996,235.02553,15.3399725,0.054312065,-0.017865606,0.054312065
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.887543,-11.123543,-92.87666,235.02855,15.340122,0.057067838,0.27557704,0.057067838
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.897543,-11.170934,-92.83678,235.01604,15.057227,0.06319492,0.6127087,0.06319492
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.907543,-11.219709,-92.795784,235.00374,15.205931,0.06489247,0.16975456,0.06489247
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.917543,-11.27133,-92.76269,235.01282,15.319132,0.0619892,-0.29032692,0.0619892
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.927543,-11.323861,-92.72296,235.01039,15.394206,0.06590587,0.39166653,0.06590587
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.937543,-11.3783655,-92.68465,235.01505,15.824113,0.06678514,0.087927476,0.06678514
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.947543,-11.434221,-92.64615,235.02147,15.644663,0.06814043,0.1355295,0.06814043
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.957543,-11.491047,-92.60009,235.01236,15.68486,0.07371568,0.5575244,0.07371568
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.967543,-11.548872,-92.55528,235.00403,15.732711,0.07362452,-0.009116077,0.07362452
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.977544,-11.607798,-92.51159,235.00084,16.216337,0.073420055,-0.020444268,0.073427394
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.987544,-11.6669035,-92.4674,234.99854,16.247793,0.07383564,0.041558664,0.07383564
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:55.997544,-11.725738,-92.42562,235.00334,16.410202,0.0723169,-0.15187402,0.0723169
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.007544,-11.783474,-92.37359,234.98238,16.314405,0.080501564,0.81846637,0.080501564
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.017544,-11.840318,-92.316666,234.951,17.15031,0.08634814,0.5846572,0.08634814
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.027544,-11.897495,-92.260735,234.9219,17.62308,0.08511231,-0.12358257,0.08511231
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.037544,-11.955089,-92.21077,234.90198,18.58196,0.07880992,-0.63023937,0.07880992
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.047544,-12.012573,-92.15874,234.87964,19.315378,0.08068725,0.18773316,0.08068725
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.057544,-12.069025,-92.10668,234.86002,19.913376,0.07925463,-0.1432619,0.07925463
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.067544,-12.125527,-92.0509,234.83842,20.105383,0.082281604,0.3026975,0.082281604
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.077544,-12.185276,-92.005875,234.84218,20.828669,0.0749096,-0.73720074,0.0749096
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.087544,-12.247827,-91.960754,234.84843,21.699013,0.07737922,0.24696226,0.07737922
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.097544,-12.313919,-91.9152,234.85898,20.992762,0.08096189,0.35826704,0.08096189
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.107544,-12.383226,-91.86992,234.87706,21.639952,0.084739015,0.37771207,0.084739015
01G11GQ6KS7YDDGJR4X0THBGP8,2022-04-19 18:17:56.117544,-12.45444,-91.823364,234.89691,22.75812,0.08736691,0.26278937,0.08736691
