id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.756934,17.859058,-76.1443,201.45628,17.890764,0.031849425,1.109781,0.031849425
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.766934,17.881792,-76.138115,201.46687,18.632126,0.025831398,-0.60180265,0.025831398
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.776934,17.906637,-76.12907,201.47949,19.671085,0.029298956,0.34675586,0.029298956
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.786934,17.934742,-76.12178,201.49812,20.627262,0.034500543,0.5201588,0.034500543
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.796934,17.964249,-76.1097,201.50931,21.43219,0.03378895,-0.071159594,0.03378895
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.806934,17.996113,-76.09507,201.51433,22.062439,0.035422172,0.16332248,0.035422172
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.816934,18.031284,-76.082436,201.53006,22.705164,0.04054923,0.5127056,0.04054923
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.826934,18.068243,-76.06859,201.54594,23.032213,0.042542692,0.19934629,0.042542692
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.836934,18.104427,-76.045746,201.53957,23.12155,0.043263648,0.07209543,0.043263648
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.846934,18.143457,-76.023026,201.53357,22.608677,0.045560066,0.2296419,0.045560066
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.856935,18.184053,-75.99634,201.52252,21.97569,0.049814258,0.4253767,0.04981924
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.866935,18.226923,-75.974014,201.52722,22.398607,0.04856299,-0.12512685,0.04856299
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.876935,18.271885,-75.9541,201.53612,22.592823,0.0499723,0.1409308,0.0499723
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.896935,18.319073,-75.92903,201.5368,22.7235,0.026720395,-1.1625952,0.05344079
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.906935,18.368223,-75.90322,201.53448,22.76761,0.055562463,2.8842068,0.055562463
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.916935,18.418785,-75.878174,201.53746,23.090763,0.056503024,0.09405593,0.056503024
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.926935,18.469099,-75.847115,201.5275,23.436876,0.05996671,0.34636876,0.05996671
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.936935,18.520842,-75.81552,201.51572,23.699623,0.06175802,0.179131,0.06175802
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.946935,18.576221,-75.78827,201.51904,22.80763,0.061808176,0.0050155735,0.061808176
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.956935,18.632696,-75.76271,201.5259,22.67614,0.0623696,0.056142237,0.0623696
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.966935,18.69008,-75.73504,201.53226,22.379963,0.064022936,0.16533402,0.064022936
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.976935,18.749283,-75.70566,201.53738,22.283192,0.0662884,0.22654566,0.0662884
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.986935,18.80862,-75.67093,201.53085,22.164255,0.06906524,0.27768457,0.06906524
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:56.996935,18.867832,-75.63946,201.53061,22.61138,0.067054614,-0.20106232,0.067054614
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.006935,18.92663,-75.60589,201.52252,22.97029,0.06818641,0.113179475,0.06818641
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.016935,18.986223,-75.5723,201.52023,23.85178,0.068446055,0.025964519,0.068446055
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.026935,19.047327,-75.53933,201.52031,24.155748,0.06943239,0.09863328,0.06943239
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.036935,19.108568,-75.503105,201.5164,24.530758,0.07126082,0.18284272,0.07126082
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.046935,19.171207,-75.46302,201.5067,24.115557,0.07499405,0.37332332,0.07499405
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.056935,19.234198,-75.41973,201.48863,24.816477,0.07854112,0.3547073,0.07854112
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.066935,19.296543,-75.37345,201.45985,25.218225,0.08280589,0.42647603,0.08280589
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.076936,19.358053,-75.325356,201.4255,25.77201,0.08529666,0.24905258,0.08530519
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.086936,19.420958,-75.28142,201.40485,26.737062,0.0794617,-0.58349556,0.0794617
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.106936,19.486322,-75.23559,201.38304,28.010033,0.04137772,-1.9041991,0.08275544
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.116936,19.552769,-75.19228,201.37155,29.580603,0.080138244,3.8760526,0.080138244
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.126936,19.61955,-75.14691,201.35759,31.098457,0.081935056,0.17968109,0.081935056
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.136936,19.688732,-75.10716,201.35803,32.380028,0.07978969,-0.21453708,0.07978969
01G1VQD086XEYSVR83M23748Z4,2022-04-29 22:34:57.146936,19.759077,-75.0668,201.35742,32.972565,0.08110015,0.13104652,0.08110015
