,name,ground_truth,notes
z_up_1.csv,z_up_1,2.510425,
z_up_2.csv,z_up_2,2.510425,
z_up_3.csv,z_up_3,2.510425,
z_up_4.csv,z_up_4,2.510425,
z_up_5.csv,z_up_5,2.510425,
z_up_6.csv,z_up_6,2.510425,
z_up_7.csv,z_up_7,2.510425,
z_up_8.csv,z_up_8,2.519425,
z_up_9.csv,z_up_9,2.519425,
z_up_10.csv,z_up_10,2.519425,
2022-04-19_20-20-02.csv,z_up_11,2.519425,
2022-04-19_20-20-08.csv,z_up_12,2.519425,
2022-04-19_20-25-30.csv,z_up_13,2.519425,
2022-04-19_20-25-31.csv,z_up_14,2.519425,
2022-04-19_20-25-24.csv,z_up_15,2.514425,
2022-04-19_20-27-17.csv,z_up_16,2.514425,
2022-04-19_20-27-38.csv,z_up_17,2.514425,
2022-04-19_20-28-04.csv,z_up_18,2.514425,
2022-04-19_20-29-41.csv,z_up_19,2.514425,
2022-04-19_20-29-52.csv,z_up_20,2.514425,
2022-04-19_20-30-05.csv,z_up_21,2.514425,
2022-04-19_20-30-45.csv,z_up_22,2.514425,
2022-04-19_20-31-50.csv,z_up_23,2.514425,
2022-04-19_20-33-39.csv,z_up_24,2.514425,
2022-04-19_20-34-48.csv,z_up_25,2.514425,
2022-04-19_20-36-31.csv,z_up_26,2.514425,
2022-04-19_20-37-53.csv,z_up_27,2.514425,
2022-04-19_20-41-12.csv,z_up_28,2.514425,
2022-04-19_20-42-13.csv,z_up_29,2.514425,
2022-04-19_20-42-00.csv,z_up_30,2.514425,
2022-04-22_22-28-48.csv,z_far_1,3.21,
2022-04-22_22-24-27.csv,z_far_2,3.21,
2022-04-22_22-24-34.csv,z_far_3,3.21,
2022-04-22_22-25-47.csv,z_far_4,3.21,
2022-04-22_22-22-51.csv,z_far_5,3.21,
2022-04-22_22-44-29.csv,z_far_6,3.21,
2022-04-22_22-55-21.csv,z_far_7,3.21,
2022-04-22_22-20-17.csv,z_far_8,3.21,
2022-04-22_22-19-49.csv,z_far_9,3.21,
2022-04-22_22-19-17.csv,z_far_10,3.21,
2022-04-22_22-18-05.csv,z_far_11,3.21,
2022-04-22_22-16-58.csv,z_far_12,3.21,
2022-04-22_22-53-45.csv,z_far_13,3.21,
2022-04-22_22-45-07.csv,z_far_14,3.21,
2022-04-22_22-15-05.csv,z_far_15,3.21,
2022-04-22_22-16-01.csv,z_far_16,3.21,
2022-04-22_22-11-43.csv,z_far_17,3.21,
2022-04-22_22-12-34.csv,z_far_18,3.21,
2022-04-22_22-12-35.csv,z_far_19,3.21,
2022-04-22_22-08-00.csv,z_far_20,3.21,
2022-04-22_22-07-38.csv,z_far_21,3.21,
2022-04-22_22-08-23.csv,z_far_22,3.21,
2022-04-22_22-04-31.csv,z_far_23,3.21,
2022-04-22_22-04-21.csv,z_far_24,3.21,
2022-04-22_22-03-55.csv,z_far_25,3.21,
2022-04-22_23-19-45.csv,z_up_flipped_1,2.002775,
2022-04-22_23-33-49.csv,z_up_flipped_2,2.002775,
2022-04-22_23-35-24.csv,z_up_flipped_3,2.002775,
2022-04-22_23-45-06.csv,z_up_flipped_4,2.002775,
2022-04-22_23-35-53.csv,z_up_flipped_5,2.002775,
2022-04-22_23-51-26.csv,z_up_flipped_6,2.002775,
2022-04-22_23-45-28.csv,z_up_flipped_7,2.002775,
2022-04-23_00-02-44.csv,z_up_flipped_8,2.002775,
2022-04-23_00-00-43.csv,z_up_flipped_9,2.002775,
2022-04-22_23-19-29.csv,z_up_flipped_10,2.002775,
2022-04-22_23-19-23.csv,z_up_flipped_11,2.002775,
2022-04-22_23-21-58.csv,z_up_flipped_12,2.002775,
2022-04-23_00-25-37.csv,z_up_flipped_13,2.002775,
2022-04-22_23-22-47.csv,z_up_flipped_14,2.002775,
2022-04-22_23-32-29.csv,z_up_flipped_15,2.002775,
2022-04-22_23-33-02.csv,z_up_flipped_16,2.002775,
2022-04-22_23-28-16.csv,z_right_1,1.801555,
2022-04-22_23-28-27.csv,z_right_2,1.801555,
2022-04-22_23-29-22.csv,z_right_3,1.801555,
2022-04-22_23-47-47.csv,z_right_4,1.801555,
2022-04-22_23-40-41.csv,z_right_5,1.801555,
2022-04-22_23-40-51.csv,z_right_6,1.801555,
2022-04-22_23-48-13.csv,z_right_7,1.801555,
2022-04-22_23-48-23.csv,z_right_8,1.801555,
2022-04-22_23-58-45.csv,z_right_9,1.801555,
2022-05-17_20-53-39.csv,z_right_10,1.801555,"Issue fixed, the orignial file (2022-04-22_23-58-52.csv) is incorrect"
2022-04-22_23-35-17.csv,z_right_11,1.801555,
2022-04-22_23-36-15.csv,z_right_12,1.801555,
2022-04-22_23-35-48.csv,z_right_13,2.192475,
2022-04-22_23-46-05.csv,z_right_14,2.192475,
2022-04-22_23-46-04.csv,z_right_15,2.192475,
2022-04-23_00-07-58.csv,z_right_16,2.192475,
2022-04-22_23-48-39.csv,z_right_17,2.192475,
2022-04-22_23-48-40.csv,z_right_18,2.192475,
2022-04-22_23-47-54.csv,z_right_19,2.192475,
2022-04-22_23-49-59.csv,z_right_20,2.192475,
2022-04-23_00-12-33.csv,z_right_21,2.192475,
2022-04-23_00-13-14.csv,z_right_22,2.192475,
2022-04-23_00-12-41.csv,z_right_23,2.196475,"double check, sheet not clear, Quanchen: manually added the value from previous z measurement by 0.4 cm"
2022-04-23_00-24-53.csv,z_right_24,2.196475,
2022-04-23_00-25-17.csv,z_right_25,2.196475,
2022-04-23_00-25-13.csv,z_right_26,2.196475,
2022-04-23_00-27-15.csv,z_right_27,2.196475,
2022-04-23_00-27-21.csv,z_right_28,2.196475,
2022-04-23_00-26-40.csv,z_right_29,2.196475,
2022-04-23_00-21-55.csv,z_right_30,2.196475,
2022-04-23_00-21-21.csv,z_right_31,2.196475,
2022-04-23_00-21-22.csv,z_right_32,2.196475,
2022-04-23_00-28-01.csv,z_right_33,2.196475,
