id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.383671,-40.951332,-0.9385467,212.85287,6.463076,0.08522209,,0.08522209
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.393671,-40.951324,-0.8514871,212.86613,6.5217752,0.08806197,0.28398827,0.08806197
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.403671,-40.948387,-0.7615842,212.86841,6.4595222,0.08997966,0.19176881,0.08997966
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.413671,-40.944965,-0.670273,212.86884,6.4145756,0.09137645,0.13967887,0.09137645
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.423671,-40.941204,-0.57570714,212.86688,6.106763,0.09466097,0.32845166,0.09466097
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.433671,-40.935486,-0.47830886,212.86198,5.880166,0.09768881,0.30278432,0.09768881
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.443672,-40.935543,-0.37924138,212.88298,6.041507,0.10126041,0.35712442,0.101270534
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.453672,-40.933685,-0.2770614,212.89754,6.1208515,0.10322793,0.19675131,0.10322793
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.463672,-40.924294,-0.1710458,212.88837,6.0545335,0.106825635,0.3597713,0.106825635
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.473672,-40.90954,-0.06085268,212.84943,6.3797646,0.11780048,1.0974847,0.11780048
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.483672,-40.89685,0.053511363,212.82254,6.902478,0.118163064,0.03625799,0.118163064
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.493672,-40.882904,0.17120242,212.79628,7.5310316,0.121389166,0.32260972,0.121389166
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.503672,-40.873642,0.29220393,212.78392,8.5147085,0.1219829,0.059374224,0.1219829
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.513672,-40.865173,0.41563615,212.7739,8.770101,0.124128304,0.21454006,0.124128304
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.523672,-40.858322,0.5386975,212.77673,8.971874,0.12328487,-0.08434361,0.12328487
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.533672,-40.857006,0.6603825,212.80154,9.066063,0.12419377,0.09089007,0.12419377
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.543672,-40.84704,0.782066,212.78473,9.299552,0.12324254,-0.09512258,0.12324254
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.553672,-40.839054,0.90253717,212.77956,9.29895,0.120846204,-0.23963383,0.120846204
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.563672,-40.836,1.0232601,212.78667,8.017517,0.12097065,0.0124442,0.12097065
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.573672,-40.83908,1.1442571,212.82965,7.990815,0.12843971,0.74690545,0.12843971
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.583672,-40.842415,1.2671267,212.8758,8.3940325,0.13129045,0.28507555,0.13129045
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.593672,-40.84199,1.3949819,212.9035,9.408542,0.13082585,-0.046461493,0.13082585
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.603672,-40.840717,1.52916,212.94235,9.470435,0.13969353,0.8867679,0.13969353
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.613672,-40.832542,1.6702611,212.95766,9.392969,0.1421643,0.24707858,0.1421643
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.623672,-40.81908,1.8183637,212.95001,9.359421,0.14890961,0.6745301,0.14890961
01FXK9CZQ3TKZSQSSWQ1W1Z2CR,2022-03-07 22:53:33.633672,-40.800873,1.9733949,212.92975,9.594019,0.157407,0.849739,0.157407
