id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.585608,49.28737,24.172844,213.77347,25.465063,0.37832546,,0.37832546
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.595608,49.105778,24.440979,213.65404,26.227129,0.34515932,-3.316615,0.34515932
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.605608,48.936604,24.707531,213.60281,26.59775,0.3198348,-2.5324502,0.3198348
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.615608,48.775105,24.977058,213.60406,26.447222,0.3142119,-0.56229126,0.3142119
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.625608,48.612328,25.250227,213.62073,26.239876,0.3184246,0.42127275,0.3184246
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.635608,48.43997,25.52846,213.62514,26.465792,0.32732463,0.8900004,0.32732463
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.645608,48.260063,25.815136,213.63544,24.550228,0.33860755,1.1282928,0.33860755
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.655608,48.074814,26.106476,213.64188,24.440187,0.34530795,0.6700395,0.34530795
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.665608,47.88729,26.40228,213.65388,24.687618,0.35044286,0.5134907,0.35044286
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.675608,47.693592,26.694088,213.63739,24.818516,0.35063207,0.018920042,0.35063207
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.685608,47.505455,26.982304,213.6431,25.112934,0.3442342,-0.63978565,0.3442342
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.695608,47.32517,27.262348,213.66293,25.295792,0.33364552,-1.0588676,0.33364552
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.705609,47.154724,27.534935,213.70549,25.946426,0.3242629,-0.93816864,0.3242953
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.715609,46.976955,27.79618,213.70674,26.153975,0.31599376,-0.8269134,0.31599376
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.725609,46.794975,28.053574,213.69609,25.98029,0.3154062,-0.058757454,0.3154062
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.735609,46.605904,28.311882,213.67732,26.34883,0.32066417,0.52579874,0.32066417
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.745609,46.40693,28.575348,213.6475,25.58946,0.33150223,1.0838063,0.33150223
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.755609,46.19997,28.853075,213.63585,26.087183,0.3465544,1.5052146,0.3465544
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.765609,45.983204,29.142056,213.62715,26.419353,0.36134854,1.4794158,0.36134854
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.775609,45.758656,29.43587,213.61594,26.655552,0.3699649,0.8616349,0.3699649
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.785609,45.533955,29.731161,213.60684,26.999971,0.3711744,0.12094945,0.3711744
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.795609,45.31301,30.01923,213.60118,26.923706,0.3630858,-0.8088583,0.3630858
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.805609,45.09192,30.290354,213.56297,26.719845,0.35192385,-1.116196,0.35192385
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.815609,44.88513,30.550365,213.56088,27.178194,0.33222172,-1.9702135,0.33222172
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.825609,44.689323,30.798115,213.56635,27.913609,0.31583375,-1.6387962,0.31583375
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.835609,44.498093,31.036911,213.57214,28.810455,0.305984,-0.9849769,0.305984
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.845609,44.305344,31.271404,213.57019,28.261065,0.3035531,-0.24308677,0.3035531
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.865609,44.081116,31.535831,213.56451,28.570341,0.17337112,-6.5090995,0.34674224
01FY579MVN8TXQ2KZM9ZMTKT7F,2022-03-14 22:03:06.875609,43.84365,31.809155,213.55298,29.150719,0.36225393,18.88828,0.36225393
