id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.484363,0.0295746,-38.43765,232.65268,6.5859675,0.024568968,-0.80376196,0.049137935
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.494363,-0.016176341,-38.410614,232.65419,6.71539,0.053164247,2.8595278,0.053164247
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.504363,-0.064882025,-38.383255,232.65076,6.7250276,0.0559685,0.28042537,0.0559685
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.514363,-0.114586495,-38.353783,232.64305,7.041998,0.058295302,0.2326804,0.058295302
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.524363,-0.16674997,-38.32324,232.63594,7.090996,0.060864184,0.2568881,0.060864184
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.534363,-0.22103941,-38.29355,232.63252,7.192046,0.06197294,0.110875465,0.06197294
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.544364,-0.27600986,-38.263237,232.62242,7.3196077,0.0635774,0.16042987,0.063583754
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.554364,-0.33223683,-38.230473,232.61868,7.6013894,0.065183304,0.16059072,0.065183304
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.564364,-0.3872854,-38.20184,232.61205,7.2749624,0.062402267,-0.2781038,0.062402267
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.574364,-0.442311,-38.173275,232.60562,7.098225,0.0623315,-0.007076567,0.0623315
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.584364,-0.49362332,-38.144215,232.5982,6.9398646,0.059434246,-0.28972554,0.059434246
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.594364,-0.54534847,-38.1154,232.59119,6.8618593,0.059623454,0.018920667,0.059623454
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.604364,-0.5986727,-38.085854,232.58551,7.0617127,0.061226558,0.16031039,0.061226558
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.614364,-0.6532031,-38.054737,232.58177,7.090758,0.06289534,0.16687872,0.06289534
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.624364,-0.7088398,-38.023735,232.58118,7.2599554,0.0636942,0.07988542,0.0636942
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.634364,-0.76677877,-37.990227,232.57175,7.859229,0.067592084,0.38978875,0.067592084
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.644364,-0.8256837,-37.955982,232.57262,8.007532,0.06814052,0.054843884,0.06814052
01G0QTG1EJ6B6PNGQRD9Y0YA62,2022-04-15 23:56:22.654364,-0.8864052,-37.924927,232.58415,7.710821,0.06917173,0.10312038,0.06917173
