id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.286331,-48.908855,-1.1609759,211.6705,6.156904,0.07645952,,0.07645952
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.296332,-48.910706,-1.078595,211.68729,6.378022,0.08408778,0.76274997,0.08409619
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.306332,-48.91141,-0.9926534,211.70122,6.522445,0.08706434,0.29765522,0.08706434
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.316332,-48.911972,-0.9046684,211.71477,6.850643,0.08902452,0.19601811,0.08902452
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.326332,-48.912514,-0.8150653,211.72826,7.1560335,0.09061518,0.15906678,0.09061518
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.336332,-48.91305,-0.72465014,211.74174,7.3427725,0.0914165,0.08013148,0.0914165
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.346332,-48.910637,-0.63279265,211.74554,7.137936,0.09196768,0.05511814,0.09196768
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.356332,-48.90783,-0.5395325,211.74806,7.215332,0.093336366,0.13686876,0.093336366
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.366332,-48.904907,-0.44411245,211.75337,6.8625116,0.09561278,0.22764105,0.09561278
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.376332,-48.90452,-0.34547755,211.77382,6.7473326,0.100731395,0.51186115,0.100731395
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.386332,-48.90007,-0.24322581,211.76822,6.9114537,0.10250132,0.1769926,0.10250132
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.396332,-48.893856,-0.13789935,211.75922,6.792746,0.10589337,0.3392052,0.10589337
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.406332,-48.889816,-0.028627018,211.7481,7.1820765,0.109911755,0.40183833,0.109911755
01FY55KK2JX8Q0MF8VFJYQD517,2022-03-14 21:33:35.416332,-48.88364,0.08433584,211.73825,7.051909,0.11355828,0.3646523,0.11355828
