id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.829419,-3.5971348,-36.313686,232.72096,5.979781,0.00092035776,-0.12329844,0.00092035776
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.839419,-3.5970423,-36.313805,232.73279,6.2519355,0.011815857,1.0895499,0.011815857
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.849419,-3.5974221,-36.318863,232.75569,6.026725,0.02347019,1.1654332,0.02347019
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.859419,-3.5976882,-36.318535,232.75748,5.391539,0.0018230425,-2.1647146,0.0018230425
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.869419,-3.598177,-36.31847,232.76402,5.2923665,0.0065736715,0.47506288,0.0065736715
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.879419,-3.5970979,-36.315033,232.7667,5.292366,0.004478469,-0.20952022,0.004478469
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.889419,-3.5955637,-36.311584,232.778,5.2923656,0.011930566,0.7452097,0.011930566
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.899419,-3.5933485,-36.309036,232.7619,4.066456,0.016460298,0.45297322,0.016460298
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.909419,-3.5924613,-36.306526,232.74016,4.0354156,0.021896845,0.5436547,0.021896845
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.919419,-3.5912678,-36.303524,232.71793,3.2856443,0.022465821,0.05689757,0.022465821
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.929419,-3.5902398,-36.297516,232.68956,3.285644,0.029009063,0.65432423,0.029009063
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.939419,-3.5883126,-36.29158,232.6481,2.657156,0.041931078,1.2922016,0.041931078
01G0QTDXEF6Z5VGJ94EFV3XXXV,2022-04-15 23:55:12.949419,-3.587535,-36.286434,232.5853,2.3022666,0.063014545,2.108347,0.063014545
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.869423,-4.1819363,-35.923798,232.69876,30.803232,0.025202183,0.11768534,0.025202183
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.879423,-4.2022886,-35.90679,232.69772,32.03996,0.02654195,0.1339766,0.02654195
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.889423,-4.224399,-35.89138,232.69893,33.014,0.02697927,0.043731954,0.02697927
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.909423,-4.2506895,-35.869896,232.70116,32.940372,0.017012136,-0.49835667,0.034024272
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.919424,-4.2787967,-35.85006,232.70564,33.28567,0.034690533,1.7676628,0.034694
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.929424,-4.3095493,-35.82705,232.71027,33.373203,0.038684182,0.39936507,0.038684182
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.939424,-4.343227,-35.804844,232.72136,34.120167,0.04183651,0.3152329,0.04183651
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.949424,-4.3785257,-35.77813,232.71623,34.874084,0.044563416,0.27269056,0.044563416
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.959424,-4.415343,-35.74868,232.70052,35.82705,0.04969621,0.51327944,0.04969621
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.969424,-4.452922,-35.719234,232.69058,36.349064,0.048764408,-0.09318028,0.048764408
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.979424,-4.4916544,-35.688835,232.67734,36.902153,0.050990123,0.2225714,0.050990123
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.989424,-4.5326176,-35.659286,232.67778,38.079582,0.05050934,-0.048078045,0.05050934
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:13.999424,-4.575269,-35.62572,232.6675,36.93275,0.055241223,0.47318822,0.055241223
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.009424,-4.6168756,-35.597347,232.666,36.281715,0.050382424,-0.48588005,0.050382424
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.019424,-4.658956,-35.563892,232.64703,35.600166,0.057003576,0.6621153,0.057003576
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.029424,-4.701791,-35.530647,232.62772,35.031734,0.057559837,0.055625863,0.057559837
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.039424,-4.744559,-35.494995,232.60284,34.783993,0.06098507,0.3425233,0.06098507
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.049424,-4.7880425,-35.46218,232.5965,35.81569,0.0548448,-0.6140268,0.0548448
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.059424,-4.8326516,-35.430214,232.59946,35.912342,0.054959584,0.011478371,0.054959584
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.069424,-4.878897,-35.398148,232.61295,36.55276,0.05786888,0.29092968,0.05786888
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.079424,-4.926133,-35.364674,232.61746,38.03011,0.058069628,0.020074697,0.058069628
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.089424,-4.973644,-35.32792,232.6,38.380455,0.06255537,0.4485744,0.06255537
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.099424,-5.022652,-35.293507,232.604,37.76378,0.06001668,-0.25386918,0.06001668
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.109424,-5.0738583,-35.256607,232.60529,35.895123,0.06312997,0.3113286,0.06312997
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.119424,-5.126468,-35.21878,232.61334,35.377506,0.06529523,0.21652587,0.06529523
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.129424,-5.180288,-35.18204,232.62433,35.1202,0.0660806,0.07853771,0.0660806
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.139424,-5.2348156,-35.142826,232.62863,36.036415,0.06730346,0.12228579,0.06730346
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.149425,-5.290009,-35.099407,232.61098,36.42204,0.072402,0.50980306,0.07240924
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.159425,-5.3464327,-35.055233,232.59712,38.274593,0.07298595,0.058394454,0.07298595
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.169425,-5.4030952,-35.01137,232.57628,38.330177,0.074628934,0.16429892,0.074628934
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.179425,-5.460347,-34.968887,232.57896,39.815754,0.071343035,-0.32858995,0.071343035
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.189425,-5.5171247,-34.927296,232.58977,40.515533,0.07120673,-0.013630086,0.07120673
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.199425,-5.572648,-34.88399,232.58075,38.595467,0.07099072,-0.021601262,0.07099072
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.209425,-5.6279535,-34.83916,232.57193,37.289627,0.071736775,0.0746056,0.071736775
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.219425,-5.684098,-34.79618,232.56276,36.11541,0.07129958,-0.043719184,0.07129958
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.229425,-5.7407703,-34.750786,232.55803,35.617012,0.07276522,0.14656405,0.07276522
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.249425,-5.800714,-34.703716,232.55545,36.41049,0.038129874,-1.7317675,0.07625975
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.259425,-5.8630977,-34.657265,232.57323,37.71896,0.07978657,4.1656694,0.07978657
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.269425,-5.9261637,-34.60909,232.57646,38.339245,0.079427056,-0.035951395,0.079427056
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.279425,-5.991796,-34.55725,232.57587,39.81082,0.0836359,0.42088354,0.0836359
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.289425,-6.059858,-34.5059,232.58096,40.93073,0.0854126,0.17767036,0.0854126
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.299425,-6.130434,-34.45011,232.57814,41.179565,0.09000633,0.45937306,0.09000633
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.309425,-6.204301,-34.38954,232.57886,39.356533,0.095528,0.5521674,0.095528
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.319425,-6.28003,-34.32834,232.57767,36.536587,0.09737676,0.18487567,0.09737676
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.329425,-6.35779,-34.266743,232.5851,35.901077,0.099478684,0.21019295,0.099478684
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.339425,-6.4369106,-34.204372,232.5824,36.760155,0.10078294,0.13042532,0.10078294
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.349425,-6.513462,-34.14626,232.58133,36.48367,0.09611651,-0.46664268,0.09611651
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.359425,-6.589505,-34.086723,232.57758,37.882664,0.09664949,0.053297386,0.09664949
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.369425,-6.664858,-34.027466,232.58557,38.528065,0.09619394,-0.045554947,0.09619394
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.379426,-6.739561,-33.96664,232.58994,39.36398,0.096425444,0.023148373,0.096435085
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.389426,-6.8146696,-33.903873,232.57483,40.992714,0.09904124,0.26157907,0.09904124
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.399426,-6.8910303,-33.839874,232.56145,41.9811,0.10052931,0.14880788,0.10052931
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.409426,-6.969731,-33.776585,232.56314,39.828144,0.10100485,0.047553226,0.10100485
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.419426,-7.0504994,-33.711487,232.56778,38.396397,0.103840195,0.28353512,0.103840195
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.429426,-7.131283,-33.64362,232.57045,38.193745,0.10554257,0.17023712,0.10554257
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.439426,-7.21301,-33.573006,232.57037,38.167076,0.10800809,0.24655184,0.10800809
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.449426,-7.297757,-33.501842,232.57642,39.049015,0.110827215,0.28191295,0.110827215
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.459426,-7.384233,-33.43138,232.58197,40.009174,0.11168594,0.085872166,0.11168594
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.469426,-7.4718947,-33.36066,232.59094,40.407753,0.112987615,0.13016726,0.112987615
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.479426,-7.5596557,-33.28984,232.59686,40.677547,0.11292729,-0.0060325675,0.11292729
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.489426,-7.645094,-33.217587,232.59987,41.409,0.11193469,-0.09925912,0.11193469
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.499426,-7.7287073,-33.149837,232.61615,41.866776,0.108841166,-0.3093526,0.108841166
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.509426,-7.809441,-33.08125,232.61467,39.48786,0.10594695,-0.28942177,0.10594695
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.519426,-7.8889546,-33.01027,232.60497,37.841843,0.107026234,0.107928544,0.107026234
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.529426,-7.968566,-32.93811,232.58943,37.222206,0.10856488,0.1538644,0.10856488
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.539426,-8.049073,-32.86711,232.57942,38.28938,0.10780818,-0.07567037,0.10780818
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.549426,-8.130983,-32.793816,232.5737,38.66333,0.11006404,0.22558571,0.11006404
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.559426,-8.215399,-32.71538,232.56409,39.62935,0.11563031,0.5566273,0.11563031
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.569426,-8.302951,-32.632664,232.54797,40.30578,0.12151969,0.5889383,0.12151969
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.579426,-8.393196,-32.547333,232.53854,41.16518,0.12455729,0.30375966,0.12455729
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.589426,-8.487096,-32.459255,232.53387,41.328117,0.1288289,0.42716125,0.1288289
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.599427,-8.58248,-32.369396,232.5235,40.446262,0.13144042,0.26112527,0.13145356
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.609427,-8.678603,-32.28016,232.52188,38.89154,0.13117173,-0.026867742,0.13117173
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.619427,-8.773195,-32.194904,232.52434,36.773224,0.12736371,-0.38080186,0.12736371
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.629427,-8.866449,-32.10967,232.52281,35.777756,0.12634815,-0.101556145,0.12634815
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.639427,-8.958027,-32.02395,232.51741,35.8325,0.12555355,-0.07946,0.12555355
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.649427,-9.04818,-31.93862,232.51855,36.663048,0.124136634,-0.14169177,0.124136634
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.659427,-9.136986,-31.854622,232.52492,37.86719,0.12240383,-0.17328104,0.12240383
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.669427,-9.226721,-31.769983,232.54042,39.341805,0.12432365,0.19198246,0.12432365
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.679427,-9.317981,-31.682941,232.54707,39.912926,0.12628873,0.19650786,0.12628873
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.689427,-9.411229,-31.594444,232.56155,39.922153,0.12936991,0.30811796,0.12936991
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.699427,-9.506975,-31.502748,232.57892,39.92205,0.1337057,0.43357977,0.1337057
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.709427,-9.603885,-31.409437,232.58432,38.069046,0.13463886,0.09331541,0.13463886
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.719427,-9.702685,-31.31501,232.59552,36.630634,0.13712583,0.24869695,0.13712583
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.729427,-9.8019085,-31.222368,232.61916,36.655018,0.13779315,0.06673181,0.13779315
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.739427,-9.8999405,-31.131874,232.64432,36.775707,0.13576436,-0.20287906,0.13576436
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.749427,-9.996774,-31.039692,232.65732,37.820244,0.13432588,-0.14384884,0.13432588
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.759427,-10.092928,-30.946709,232.66994,39.47695,0.1343521,0.002623138,0.1343521
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.769427,-10.188203,-30.850714,232.66167,39.996178,0.13550179,0.11496855,0.13550179
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.779427,-10.283749,-30.750977,232.6502,41.075737,0.13859226,0.30904737,0.13859226
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.789427,-10.380744,-30.647196,232.62624,41.279522,0.14406087,0.54686093,0.14406087
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.799427,-10.480822,-30.537867,232.59572,42.10797,0.15132777,0.72668976,0.15132777
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.819427,-10.591108,-30.413488,232.569,39.637875,0.08418183,-3.3572967,0.16836366
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.829428,-10.705956,-30.285278,232.54333,39.70333,0.17401454,8.982372,0.17403194
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.839428,-10.823135,-30.154655,232.5183,40.439487,0.17725737,0.32428375,0.17725737
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.849428,-10.94299,-30.022352,232.50876,41.288177,0.17877425,0.15168703,0.17877425
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.859428,-11.062097,-29.890089,232.49562,41.80116,0.17847197,-0.030228246,0.17847197
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.869428,-11.1801605,-29.75902,232.47433,41.56697,0.17768309,-0.07888832,0.17768309
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.879428,-11.296757,-29.631624,232.46321,41.565506,0.17305644,-0.4626646,0.17305644
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.889428,-11.412561,-29.510687,232.47723,42.03394,0.16802745,-0.5028999,0.16802745
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.899428,-11.526259,-29.391052,232.48915,41.08255,0.16547304,-0.2554399,0.16547304
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.909428,-11.637374,-29.268396,232.49097,41.24033,0.16551246,0.0039423085,0.16551246
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.919428,-11.743786,-29.153517,232.51682,38.21978,0.1587098,-0.680267,0.1587098
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.929428,-11.850109,-29.036854,232.5365,38.119987,0.15906687,0.03570705,0.15906687
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.939428,-11.957943,-28.915167,232.54892,38.57227,0.16306469,0.39978313,0.16306469
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.949428,-12.067583,-28.786543,232.54482,40.09482,0.16906258,0.59978956,0.16906258
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.959428,-12.180425,-28.652958,232.54068,40.583546,0.1749158,0.5853221,0.1749158
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.969428,-12.294644,-28.517591,232.53651,40.752857,0.17716414,0.22483264,0.17716414
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.979428,-12.409456,-28.382076,232.53229,40.86582,0.17766255,0.04984183,0.17766255
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.989428,-12.522101,-28.244839,232.50789,40.694466,0.17921618,0.15536268,0.17921618
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:14.999428,-12.631826,-28.109978,232.50075,40.401695,0.17400673,-0.520945,0.17400673
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.009428,-12.739453,-27.98357,232.5109,40.200455,0.16632874,-0.7677987,0.16632874
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.019428,-12.843861,-27.858328,232.49513,37.955055,0.16381465,-0.2514097,0.16381465
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.029428,-12.944097,-27.731134,232.47968,37.240604,0.16267945,-0.11352055,0.16267945
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.039428,-13.044197,-27.603481,232.46404,37.905575,0.16297172,0.029227683,0.16297172
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.049428,-13.14509,-27.477884,232.45549,38.401268,0.16132931,-0.16424109,0.16132931
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.059429,-13.246925,-27.348883,232.45473,39.7987,0.16433743,0.30078158,0.16435386
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.069429,-13.353762,-27.213638,232.46497,39.561848,0.17265525,0.83178335,0.17265525
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.079429,-13.462616,-27.07187,232.48097,39.90805,0.17945266,0.6797391,0.17945266
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.089429,-13.573153,-26.92609,232.49066,40.67048,0.18320507,0.37524113,0.18320507
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.099429,-13.688082,-26.776287,232.49722,40.789482,0.18892628,0.5721211,0.18892628
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.109429,-13.804863,-26.619045,232.48915,41.003304,0.19603102,0.7104748,0.19603102
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.119429,-13.921372,-26.464077,232.50099,37.874325,0.19424123,-0.17897992,0.19424123
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.129429,-14.038538,-26.309097,232.50737,36.79744,0.1943895,0.014829324,0.1943895
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.139429,-14.154259,-26.155298,232.51982,37.264446,0.19287343,-0.15160841,0.19287343
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.149429,-14.266853,-25.997656,232.51398,38.579292,0.1938115,0.09380717,0.1938115
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.159429,-14.379892,-25.842577,232.51413,39.63947,0.19190422,-0.19072853,0.19190422
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.169429,-14.488713,-25.686699,232.4971,40.235996,0.19086783,-0.103639685,0.19086783
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.179429,-14.598519,-25.531837,232.49265,40.1061,0.1898925,-0.097532086,0.1898925
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.189429,-14.708611,-25.375002,232.48682,40.519623,0.19170605,0.18135533,0.19170605
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.199429,-14.81611,-25.214376,232.46759,40.818707,0.19423366,0.25276053,0.19423366
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.209429,-14.925259,-25.054556,232.46944,40.875225,0.19354375,-0.068991706,0.19354375
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.219429,-15.035186,-24.889439,232.45383,37.357372,0.19897719,0.5433449,0.19897719
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.229429,-15.14625,-24.724604,232.45065,36.554806,0.19878444,-0.01927553,0.19878444
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.239429,-15.256834,-24.556805,232.44589,37.26797,0.20101798,0.22335355,0.20101798
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.249429,-15.36712,-24.388865,232.43962,38.950516,0.2010123,-0.00056659064,0.2010123
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.259429,-15.475557,-24.218418,232.42697,40.21342,0.2024134,0.14010961,0.2024134
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.269429,-15.585062,-24.050682,232.439,40.686844,0.20067738,-0.17360228,0.20067738
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.279429,-15.692202,-23.879868,232.43205,40.344067,0.20175505,0.10776652,0.20175505
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.289430,-15.798291,-23.708235,232.42482,40.66312,0.20188329,0.012823517,0.20190348
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.299430,-15.906102,-23.539621,232.43312,41.232143,0.20030487,-0.1578426,0.20030487
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.309430,-16.01256,-23.370003,232.43987,41.341293,0.2003741,0.006923096,0.2003741
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.319430,-16.117643,-23.199226,232.45308,38.41856,0.20095074,0.05766529,0.20095074
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.329430,-16.22008,-23.02525,232.44725,38.43339,0.20197976,0.10290066,0.20197976
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.339430,-16.32233,-22.850567,232.43852,39.842106,0.20259537,0.061560825,0.20259537
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.349430,-16.426456,-22.671436,232.43025,40.199,0.20735957,0.47642094,0.20735957
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.359430,-16.532513,-22.489464,232.43092,39.19014,0.21062487,0.32653072,0.21062487
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.369430,-16.638134,-22.300846,232.42072,40.275852,0.21641792,0.57930386,0.21641792
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.379430,-16.746498,-22.10832,232.41965,40.6963,0.22093095,0.4513033,0.22093095
01G0QTDYEZGXDEXFZSM8S97YBP,2022-04-15 23:55:15.389430,-16.85585,-21.913795,232.42773,40.3259,0.22330023,0.23692857,0.22330023
