id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.888865,-4.0439067,-32.65019,232.96666,10.633093,0.03325624,-0.106849164,0.03325624
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.898865,-4.0680695,-32.625492,232.96158,10.969983,0.034921907,0.16656673,0.034921907
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.908865,-4.094611,-32.599117,232.96225,10.758828,0.037422672,0.25007647,0.037422672
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.918865,-4.1236215,-32.56736,232.95854,11.180544,0.043172263,0.5749588,0.043172263
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.928865,-4.154778,-32.535614,232.95573,11.046629,0.04457103,0.13987708,0.04457103
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.938865,-4.186466,-32.505013,232.9548,11.112004,0.044060227,-0.051080395,0.044060227
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.948865,-4.219949,-32.47133,232.95505,11.513917,0.04749602,0.3435791,0.04749602
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.958865,-4.255765,-32.43761,232.95378,11.3556185,0.049207643,0.17116228,0.049207643
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.968865,-4.2924213,-32.402653,232.94846,11.627924,0.05093153,0.17238875,0.05093153
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.978865,-4.3300757,-32.367252,232.94502,11.576785,0.051794574,0.08630445,0.051794574
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.988865,-4.36823,-32.332336,232.94376,10.87002,0.051735494,-0.005907987,0.051735494
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:05.998865,-4.40748,-32.297527,232.94081,10.706346,0.05254517,0.08096782,0.05254517
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.008865,-4.446841,-32.26101,232.93182,10.931999,0.054437984,0.18928133,0.054437984
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.028866,-4.489169,-32.221386,232.92259,11.09832,0.029353078,-1.2541827,0.058709092
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.038866,-4.5339813,-32.17912,232.91711,11.00901,0.061843503,3.2490425,0.061843503
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.048866,-4.581048,-32.13581,232.91498,11.233797,0.06399654,0.2153031,0.06399654
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.058866,-4.6297016,-32.09045,232.90643,11.363548,0.067065716,0.30691805,0.067065716
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.068866,-4.6796246,-32.042606,232.89577,11.541099,0.06996493,0.28992155,0.06996493
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.078866,-4.7313805,-31.992878,232.88841,11.667401,0.072150916,0.21859859,0.072150916
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.088866,-4.7836347,-31.942448,232.8806,11.607222,0.07303867,0.088775195,0.07303867
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.098866,-4.8379717,-31.890833,232.88257,11.786418,0.07496923,0.19305603,0.07496923
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.108866,-4.8928804,-31.836945,232.88435,11.259133,0.07695563,0.1986399,0.07695563
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.118866,-4.948553,-31.783325,232.89122,11.530718,0.07760017,0.06445485,0.07760017
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.128866,-5.002323,-31.7321,232.89207,11.840013,0.0742691,-0.33310747,0.0742691
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.138866,-5.0553026,-31.682184,232.89606,11.796611,0.07289903,-0.13700709,0.07289903
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.148866,-5.1077595,-31.630547,232.89589,12.018692,0.07360762,0.07085925,0.07360762
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.158866,-5.159305,-31.580832,232.89929,12.066485,0.07169579,-0.19118361,0.07169579
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.168866,-5.2100453,-31.531607,232.9049,12.205319,0.07091551,-0.07802759,0.07091551
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.178866,-5.2594867,-31.483633,232.91092,12.107163,0.06915323,-0.17622861,0.06915323
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.188866,-5.309933,-31.432999,232.90921,12.112387,0.0714951,0.23418748,0.0714951
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.198866,-5.359763,-31.381834,232.89977,11.096391,0.07204359,0.054848794,0.07204359
01G0QS3K082W3YMNRK5RWZE95S,2022-04-15 23:32:06.208866,-5.410638,-31.330862,232.9013,11.403656,0.07203298,-0.0010607193,0.07203298
