id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.044797,3.2035296,-100.031235,259.18243,22.976269,0.008506865,-0.88336456,0.008506865
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.054797,3.2037005,-100.020836,259.184,22.204813,0.010513819,0.20069538,0.010513819
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.064797,3.2033134,-100.014854,259.19556,22.48025,0.013015502,0.25016838,0.013015502
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.074797,3.2032564,-100.00791,259.20804,23.783009,0.014286922,0.12714197,0.014286922
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.084797,3.203104,-99.99673,259.2152,25.272943,0.013283467,-0.10034549,0.013283467
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.094797,3.2028668,-99.99062,259.23645,26.398537,0.022105256,0.8821788,0.022105256
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.104797,3.2031038,-99.989456,259.27237,27.839514,0.035926558,1.3821305,0.035926558
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.114797,3.2028651,-99.988464,259.31064,28.953527,0.038300943,0.23743817,0.038300943
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.124797,3.2020488,-99.98745,259.35095,30.314129,0.040322587,0.20216468,0.040322587
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.134797,3.2007532,-99.98529,259.38907,31.602684,0.038205795,-0.21167925,0.038205795
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.144797,3.1995609,-99.98453,259.42914,32.657063,0.040073153,0.18673569,0.040073153
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.154797,3.1998675,-99.981255,259.47073,30.686672,0.04175272,0.16795653,0.04175272
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.164797,3.2008383,-99.9803,259.51587,30.187048,0.04512849,0.33757737,0.04512849
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.174797,3.2015748,-99.975235,259.5548,31.255262,0.039282218,-0.5846274,0.039282218
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.184798,3.2024248,-99.96276,259.5757,31.709963,0.02436027,-1.4920456,0.024362706
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.194798,3.2032664,-99.95106,259.59973,32.446007,0.026722139,0.236187,0.026722139
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.204798,3.2028852,-99.9353,259.61703,33.426258,0.023403062,-0.33190775,0.023403062
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.214798,3.2029984,-99.921,259.64294,34.45457,0.029594105,0.6191044,0.029594105
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.224798,3.2038875,-99.913414,259.68243,34.74061,0.04024214,1.0648032,0.04024214
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.234798,3.2049005,-99.90453,259.72168,35.203793,0.040239517,-0.0002620876,0.040239517
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.244798,3.2053196,-99.898674,259.7696,35.939606,0.048280362,0.80408454,0.048280362
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.254798,3.2060971,-99.896286,259.8191,35.410645,0.049545042,0.12646797,0.049545042
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.264798,3.2066596,-99.88924,259.866,34.954163,0.04745318,-0.20918602,0.04745318
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.274798,3.208264,-99.88555,259.92313,35.732544,0.057263877,0.9810696,0.057263877
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.284798,3.2097843,-99.88612,259.99298,36.219433,0.069864415,1.2600535,0.069864415
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.294798,3.2109995,-99.888016,260.0693,36.659252,0.076379105,0.6514694,0.076379105
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.304798,3.2123647,-99.89102,260.14868,37.787834,0.079447754,0.3068648,0.079447754
01G2QR15YE1SPD4QCYWEYZVB7M,2022-05-10 19:44:42.314798,3.2137883,-99.895935,260.2357,38.474373,0.08713741,0.7689656,0.08713741
