id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.571896,19.1191,-38.81725,262.4551,20.979502,0.022646466,-2.8190427,0.022646466
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.581896,19.124258,-38.811447,262.4695,23.118313,0.016370956,-0.62755114,0.016370956
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.591896,19.126017,-38.807163,262.48355,25.411888,0.014770507,-0.16004483,0.014770507
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.601896,19.129375,-38.80637,262.51013,26.75026,0.026828097,1.205759,0.026828097
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.611896,19.130709,-38.801243,262.52286,28.298334,0.013772411,-1.3055686,0.013772411
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.621896,19.133413,-38.804962,262.56622,30.375137,0.04361759,2.984518,0.04361759
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.631896,19.135166,-38.80085,262.60364,31.139336,0.03766853,-0.5949062,0.03766853
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.641896,19.13531,-38.793774,262.636,29.498077,0.033125304,-0.4543227,0.033125304
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.651896,19.1383,-38.793236,262.6938,29.783083,0.057880074,2.4754772,0.057880074
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.661896,19.139706,-38.79019,262.72424,29.847244,0.030631486,-2.7248588,0.030631486
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.671896,19.138512,-38.783096,262.73215,30.121252,0.010694023,-1.9937464,0.010694023
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.681896,19.139315,-38.77761,262.7454,30.402365,0.014337768,0.3643745,0.014337768
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.691897,19.139488,-38.770805,262.7545,31.001163,0.011379515,-0.29579574,0.011380653
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.701897,19.139645,-38.764103,262.78308,31.526205,0.029352382,1.7972866,0.029352382
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.711897,19.140469,-38.76378,262.83,31.69961,0.046916924,1.7564543,0.046916924
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.721897,19.141321,-38.75904,262.86523,32.22173,0.035575077,-1.1341848,0.035575077
01G2T5E73N61K1W232F5DC3ARY,2022-05-11 18:17:29.731897,19.14255,-38.75514,262.90665,33.002254,0.041613813,0.60387367,0.041613813
