id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.236570,21.021416,-87.88847,242.03932,28.564085,0.0395068,0.3499873,0.0395068
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.246570,21.046598,-87.8654,242.03606,30.336157,0.034312353,-0.51944494,0.034312353
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.256570,21.076538,-87.85143,242.0578,32.363228,0.039552737,0.5240384,0.039552737
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.266570,21.110844,-87.83928,242.08157,33.96862,0.04346669,0.3913956,0.04346669
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.276570,21.147415,-87.823296,242.10497,34.330654,0.046264976,0.2798285,0.046264976
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.286570,21.189602,-87.822464,242.17195,35.821125,0.07917079,3.2905817,0.07917079
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.296570,21.223957,-87.79933,242.18373,34.39368,0.043061536,-3.6109257,0.043061536
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.306570,21.260849,-87.77223,242.18532,32.94034,0.04580152,0.27399826,0.04580152
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.316570,21.300488,-87.74616,242.19484,32.83934,0.04838768,0.2586162,0.04838768
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.326571,21.343168,-87.71436,242.18742,32.63443,0.053732824,0.53446054,0.053738195
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.336571,21.388197,-87.68247,242.18106,32.615723,0.055545554,0.1812733,0.055545554
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.346571,21.43489,-87.651,242.17696,33.767616,0.056460522,0.09149685,0.056460522
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.356571,21.482885,-87.61751,242.17383,35.197475,0.05860862,0.21480966,0.05860862
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.366571,21.531797,-87.58818,242.18816,35.907867,0.05880279,0.019417131,0.05880279
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.376571,21.582735,-87.56285,242.20992,37.127563,0.0609076,0.21048069,0.0609076
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.386571,21.631956,-87.52675,242.19965,37.880695,0.061898854,0.09912569,0.061898854
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.396571,21.681795,-87.49137,242.19135,36.91722,0.061681684,-0.02171707,0.061681684
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.406571,21.731876,-87.45338,242.18105,36.19205,0.0637009,0.20192121,0.0637009
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.416571,21.782637,-87.41631,242.17653,34.741714,0.06301325,-0.06876462,0.06301325
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.426571,21.832918,-87.37893,242.17761,34.61322,0.06266593,-0.03473211,0.06266593
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.436571,21.886051,-87.34812,242.19308,34.738792,0.06333326,0.066733226,0.06333326
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.446571,21.939331,-87.31359,242.1968,35.060326,0.06360094,0.026768483,0.06360094
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.456571,21.991533,-87.27055,242.18254,35.79296,0.06914068,0.55397326,0.06914068
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.466571,22.045938,-87.224,242.16376,36.959843,0.0740278,0.48871168,0.0740278
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.476571,22.104227,-87.18425,242.16672,37.727882,0.07061149,-0.34163052,0.07061149
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.486571,22.165936,-87.14517,242.18431,38.034615,0.07513081,0.45193198,0.07513081
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.496571,22.228819,-87.1005,242.18813,37.221977,0.07723097,0.21001588,0.07723097
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.506571,22.295267,-87.06139,242.20773,35.153786,0.07955918,0.23282088,0.07955918
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.516571,22.363008,-87.01873,242.21912,35.370388,0.08086075,0.13015683,0.08086075
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.526571,22.431513,-86.9784,242.23611,34.76162,0.08129193,0.043118637,0.08129193
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.536571,22.498535,-86.929695,242.23607,35.429825,0.08285015,0.15582155,0.08285015
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.546571,22.56617,-86.88295,242.24007,35.982307,0.082313344,-0.053680442,0.082313344
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.556572,22.634352,-86.83562,242.24457,37.524883,0.08311763,0.08042049,0.08312594
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.566572,22.70133,-86.78894,242.24516,38.185204,0.08163852,-0.14791025,0.08163852
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.576572,22.769156,-86.74199,242.25336,39.32619,0.08289888,0.12603508,0.08289888
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.586572,22.835388,-86.6939,242.25278,39.60971,0.08184604,-0.10528356,0.08184604
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.596572,22.902847,-86.64756,242.2604,37.930992,0.08220049,0.03544453,0.08220049
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.606572,22.970089,-86.59677,242.25798,36.30767,0.084301144,0.21006577,0.084301144
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.616572,23.035267,-86.53854,242.23486,35.51385,0.09040774,0.6106592,0.09040774
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.626572,23.102259,-86.482956,242.22003,35.221878,0.088302046,-0.21056865,0.088302046
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.636572,23.170145,-86.429596,242.21588,35.50309,0.08644907,-0.18529758,0.08644907
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.646572,23.237835,-86.3705,242.20021,36.05279,0.09120946,0.476038,0.09120946
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.656572,23.30893,-86.315735,242.19649,37.94914,0.08981827,-0.13911828,0.08981827
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.666572,23.384995,-86.264,242.21227,39.369522,0.09333433,0.35160607,0.09333433
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.676572,23.46128,-86.20157,242.20572,40.49987,0.098795705,0.546137,0.098795705
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.686572,23.541363,-86.136665,242.19398,40.482075,0.103742495,0.49467966,0.103742495
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.696572,23.626652,-86.07406,242.19775,37.62709,0.1058721,0.21296011,0.1058721
01G2DXZW0EZ19XKKWQZJR00RQ0,2022-05-07 00:16:26.706572,23.714054,-86.00889,242.2037,36.95393,0.109185904,0.33138058,0.109185904
