id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.126549,20.257536,2.0121439,202.5141,3.7231941,0.040153127,0.34210655,0.040153127
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.136549,20.296381,2.031567,202.51048,3.6760054,0.04357987,0.34267443,0.04357987
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.146549,20.337267,2.0517888,202.50777,3.437999,0.04569558,0.21157105,0.04569558
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.156549,20.378582,2.072127,202.51259,3.2980022,0.046301335,0.060575232,0.046301335
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.166549,20.42235,2.093644,202.51562,3.305608,0.048865393,0.256406,0.048865393
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.176549,20.464888,2.1159039,202.50607,3.3127859,0.048952587,0.008719338,0.048952587
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.186549,20.510597,2.1388865,202.50763,3.404476,0.05118582,0.22332345,0.05118582
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.196549,20.556904,2.1627483,202.51028,3.6572356,0.0521606,0.09747785,0.0521606
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.206549,20.602581,2.18626,202.50592,3.6324365,0.051557384,-0.06032157,0.051557384
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.216549,20.648754,2.2104867,202.4949,3.8260434,0.05329619,0.17388049,0.05329619
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.226549,20.697212,2.2363904,202.49814,4.044852,0.055042334,0.17461446,0.055042334
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.236549,20.745117,2.2618074,202.49335,3.9485328,0.054441478,-0.0600857,0.054441478
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.246549,20.796392,2.2879348,202.50458,3.8555586,0.058630828,0.41893524,0.058630828
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.256549,20.848064,2.3153865,202.51297,3.7217891,0.059109617,0.0478789,0.059109617
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.266550,20.898733,2.3424573,202.51447,3.6103697,0.05746122,-0.16482337,0.057466965
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.276550,20.951662,2.3703666,202.51305,3.865659,0.059853066,0.23918447,0.059853066
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.286550,21.0058,2.3987205,202.51703,4.0855002,0.061244484,0.13914208,0.061244484
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.296550,21.059845,2.4267426,202.51662,4.5191784,0.060877983,-0.03665007,0.060877983
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.306550,21.115501,2.4564393,202.518,4.379237,0.063098624,0.22206439,0.063098624
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.316550,21.174248,2.4878948,202.52895,4.717531,0.06752943,0.44308072,0.06752943
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.326550,21.233416,2.5198941,202.52689,4.2884936,0.06729886,-0.023057263,0.06729886
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.336550,21.295341,2.5533147,202.52779,4.5535564,0.07037447,0.30756003,0.07037447
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.346550,21.35782,2.588677,202.52922,4.3562117,0.071805805,0.14313424,0.071805805
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.356550,21.420853,2.623801,202.52243,4.540456,0.07247683,0.067102194,0.07247683
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.366550,21.483364,2.659627,202.51108,4.3194547,0.0729391,0.04622741,0.0729391
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.376550,21.546808,2.695075,202.51357,4.373993,0.07271971,-0.021939429,0.07271971
01G1KPJCGRP925XG7JWR9CSS3Q,2022-04-26 19:46:29.386550,21.608423,2.7298868,202.50615,4.57287,0.0711557,-0.15640092,0.0711557
