id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.909656,30.909733,-38.99336,315.20126,12.225037,0.07558338,1.2294006,0.07558338
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.919656,30.945957,-38.971077,315.19507,11.373811,0.042980626,-3.260276,0.042980626
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.929656,30.985,-38.947994,315.20358,11.424431,0.046150327,0.31697,0.046150327
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.939656,31.025452,-38.92458,315.19556,11.686481,0.047425434,0.12751088,0.047425434
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.949656,31.069317,-38.90497,315.21906,12.262987,0.053492412,0.60669774,0.053492412
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.959656,31.11058,-38.87969,315.19644,13.642129,0.05341129,-0.0081121065,0.05341129
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.969656,31.156658,-38.85768,315.2072,13.865902,0.05218634,-0.12249512,0.05218634
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.979656,31.207071,-38.8409,315.27057,14.012992,0.08268601,3.0499663,0.08268601
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.989656,31.253218,-38.81555,315.25763,13.735833,0.05421897,-2.8467033,0.05421897
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:16.999656,31.300362,-38.791817,315.26047,14.080452,0.052858215,-0.13607532,0.052858215
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.009656,31.351738,-38.768497,315.27103,14.429958,0.057401504,0.45432884,0.057401504
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.019656,31.402615,-38.740486,315.26187,14.4573765,0.058795214,0.13937092,0.058795214
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.029657,31.456581,-38.713398,315.26215,15.480065,0.060378097,0.15827255,0.060384136
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.039657,31.50984,-38.683697,315.25082,16.950691,0.06202159,0.1643495,0.06202159
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.049657,31.56051,-38.648796,315.20105,19.281996,0.07915007,1.712848,0.07915007
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.059657,31.613146,-38.612854,315.15286,20.804005,0.07988792,0.073785104,0.07988792
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.069657,31.666998,-38.578793,315.1049,22.789276,0.07976067,-0.012725362,0.07976067
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.079657,31.718348,-38.53955,315.02695,24.804274,0.10124921,2.1488543,0.10124921
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.089657,31.776066,-38.506817,315.0275,27.09716,0.06635832,-3.4890895,0.06635832
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.099657,31.834736,-38.4719,315.01514,27.859476,0.069384895,0.30265775,0.069384895
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.109657,31.89522,-38.438873,315.01334,23.592081,0.06893936,-0.044554185,0.06893936
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.119657,31.957573,-38.40458,315.0006,21.38555,0.07228644,0.33470893,0.07228644
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.129657,32.01821,-38.36451,314.95728,21.996845,0.08463251,1.2346065,0.08463251
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.139657,32.080143,-38.328224,314.9407,21.933641,0.073662564,-1.0969943,0.073662564
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.149657,32.14302,-38.292377,314.93536,23.128359,0.07257501,-0.1087557,0.07257501
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.159657,32.20706,-38.260067,314.9416,24.777704,0.07200082,-0.057419077,0.07200082
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.169657,32.269363,-38.223976,314.93958,25.993927,0.07202705,0.0026230067,0.07202705
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.179657,32.33144,-38.190544,314.95102,27.246986,0.07143057,-0.059647392,0.07143057
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.189657,32.391518,-38.153465,314.93906,29.215828,0.071607634,0.017706173,0.071607634
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.199657,32.454456,-38.120186,314.93835,29.890688,0.07119809,-0.040954314,0.07119809
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.209657,32.51743,-38.085247,314.9358,25.13814,0.072061054,0.08629577,0.072061054
01G143BWPZ2S2YKVG1ACZ82ZYW,2022-04-20 18:22:17.219657,32.582832,-38.049095,314.94858,23.528719,0.07581905,0.37580004,0.07581905
