id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.253104,42.781746,13.028263,135.33955,28.127144,0.12906556,0.031838536,0.12907846
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.263104,42.729023,13.112104,135.2567,28.650862,0.12912203,0.0056464067,0.12912203
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.273104,42.67672,13.199481,135.17734,29.589382,0.1291106,-0.0011428144,0.1291106
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.293104,42.622562,13.296661,135.10616,31.834608,0.06603577,-3.1537414,0.13207154
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.303104,42.565483,13.398831,135.03291,34.167133,0.1380623,7.2026525,0.1380623
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.313104,42.505333,13.503425,134.95494,35.453545,0.14365683,0.55945456,0.14365683
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.323104,42.446995,13.609565,134.88435,37.298534,0.1401873,-0.3469545,0.1401873
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.333104,42.387955,13.716416,134.81465,38.6016,0.1405728,0.0385505,0.1405728
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.343104,42.331375,13.822977,134.75357,39.55533,0.13522933,-0.5343463,0.13522933
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.353104,42.276234,13.928038,134.6977,40.100933,0.1311533,-0.40760303,0.1311533
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.363104,42.222656,14.033037,134.6509,38.56497,0.12683016,-0.4323144,0.12683016
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.373104,42.170067,14.137336,134.60667,37.501057,0.12489806,-0.19321051,0.12489806
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.383104,42.11833,14.24159,134.56981,37.582764,0.12208426,-0.28137982,0.12208426
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.393104,42.070198,14.340807,134.54204,38.08769,0.113717146,-0.8367117,0.113717146
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.403104,42.023716,14.439728,134.5196,39.033005,0.11157546,-0.21416788,0.11157546
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.413104,41.97652,14.541584,134.50368,40.367718,0.11338458,0.18091206,0.11338458
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.423104,41.926044,14.647953,134.48788,40.104214,0.11879062,0.54060364,0.11879062
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.433104,41.87406,14.7581215,134.47333,40.296352,0.12268302,0.3892396,0.12268302
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.443104,41.820618,14.87181,134.4615,40.620796,0.12618095,0.34979296,0.12618095
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.453104,41.768513,14.988425,134.457,41.202427,0.12780477,0.16238295,0.12780477
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.463104,41.715893,15.105272,134.45088,39.328465,0.12829475,0.04899745,0.12829475
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.473104,41.666336,15.22183,134.45505,37.83416,0.12672476,-0.15699896,0.12672476
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.483105,41.616524,15.336684,134.45906,37.292282,0.12524167,-0.14829426,0.1252542
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.493105,41.566177,15.449387,134.45741,37.308815,0.12344758,-0.17940919,0.12344758
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.503105,41.514923,15.561558,134.45592,38.13125,0.123336434,-0.011114611,0.123336434
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.513105,41.46434,15.673439,134.4565,39.675,0.12278523,-0.055119973,0.12278523
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.523105,41.41141,15.785276,134.45041,39.851574,0.12387905,0.109382205,0.12387905
01G1P7591ZKV52PSWETZ7Y03FQ,2022-04-27 19:14:54.533105,41.359364,15.900897,134.45595,40.621414,0.126917,0.3037952,0.126917
