id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.826182,47.709465,-41.62873,134.26581,17.75667,0.025483701,0.07068833,0.025483701
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.836182,47.700706,-41.60558,134.25165,19.966112,0.028512888,0.30291852,0.028512888
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.846182,47.688564,-41.579746,134.233,21.935455,0.034093738,0.5580851,0.034093738
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.856182,47.675755,-41.552814,134.21336,23.839241,0.03570856,0.16148248,0.03570856
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.866182,47.66311,-41.524456,134.19537,25.801832,0.035882488,0.017392654,0.035882488
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.876182,47.645813,-41.492165,134.16602,27.341288,0.046945132,1.1062641,0.046945132
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.886182,47.62995,-41.459812,134.1422,28.906374,0.043194696,-0.37504348,0.043194696
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.896182,47.61068,-41.42292,134.10878,30.446987,0.053382788,1.0188092,0.053382788
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.906182,47.590584,-41.38362,134.0753,31.691923,0.055390127,0.20073374,0.055390127
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.916182,47.574104,-41.347702,134.05649,33.022587,0.043773573,-1.1616553,0.043773573
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.926182,47.553253,-41.306625,134.02846,34.172188,0.05392204,1.0148468,0.05392204
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.936182,47.530197,-41.26324,133.99857,35.055992,0.057509236,0.3587194,0.057509236
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.946182,47.506817,-41.218124,133.96843,35.72337,0.05908005,0.15708151,0.05908005
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.956182,47.48426,-41.17219,133.94402,36.79781,0.0566963,-0.23837487,0.0566963
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.966182,47.461243,-41.12552,133.92004,37.60275,0.057293415,0.05971129,0.057293415
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.986182,47.441326,-41.07824,133.9124,38.03253,0.025934735,-1.5679339,0.05186947
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:27.996182,47.416157,-41.025272,133.89323,38.133278,0.06169717,3.5762434,0.06169717
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:28.006182,47.394257,-40.975037,133.88712,38.001587,0.0551421,-0.6555071,0.0551421
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:28.016182,47.370796,-40.923485,133.88008,38.28355,0.0570763,0.19342028,0.0570763
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:28.026183,47.34735,-40.871605,133.87505,38.478474,0.05714549,0.00691824,0.057151206
01G1PA3P444GFBYCNSGKT4QDJB,2022-04-27 20:06:28.036183,47.32466,-40.81939,133.87296,38.70347,0.056971952,-0.017354105,0.056971952
