id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.416416,-9.099516,-29.480461,213.25938,18.738043,0.027968368,-0.22296374,0.027968368
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.426416,-9.084047,-29.465288,213.25116,20.828714,0.023180358,-0.4788009,0.023180358
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.436416,-9.066479,-29.449583,213.25461,22.796759,0.023817707,0.06373478,0.023817707
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.446416,-9.047444,-29.431412,213.24292,23.842981,0.028797746,0.49800387,0.028797746
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.456416,-9.025357,-29.410236,213.2197,25.71736,0.038412027,0.9614283,0.038412027
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.466416,-9.0009775,-29.386215,213.18451,27.20399,0.049085468,1.0673441,0.049085468
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.476417,-8.977598,-29.364872,213.1787,26.268957,0.0321834,-1.6900378,0.03218662
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.486417,-8.952004,-29.341856,213.18257,26.612806,0.03463746,0.24540588,0.03463746
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.496417,-8.925346,-29.317436,213.18034,26.162615,0.03622001,0.15825522,0.03622001
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.506417,-8.897596,-29.290518,213.17572,26.957045,0.03893744,0.27174282,0.03893744
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.516417,-8.868263,-29.263992,213.1799,27.137936,0.039769255,0.08318131,0.039769255
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.526417,-8.835843,-29.235064,213.17545,27.549229,0.04367938,0.39101276,0.04367938
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.536417,-8.8025465,-29.203598,213.1567,28.459812,0.049498353,0.58189744,0.049498353
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.546417,-8.7681055,-29.170465,213.13652,29.170807,0.05187248,0.23741269,0.05187248
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.556417,-8.733122,-29.137993,213.12646,29.660086,0.04877985,-0.30926317,0.04877985
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.566417,-8.69806,-29.105804,213.12273,30.151731,0.04774355,-0.10362985,0.04774355
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.576417,-8.6622925,-29.074335,213.12834,29.246529,0.047971513,0.022796106,0.047971513
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.586417,-8.626441,-29.042236,213.1316,28.502695,0.04823211,0.026059516,0.04823211
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.596417,-8.589102,-29.009205,213.14148,27.90914,0.050820343,0.25882345,0.050820343
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.606417,-8.550743,-28.974472,213.14658,27.627258,0.051997084,0.117674015,0.051997084
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.616417,-8.5114,-28.939812,213.14987,27.99056,0.052536737,0.05396564,0.052536737
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.626417,-8.472981,-28.905043,213.15982,28.092756,0.052761022,0.022428138,0.052761022
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.636417,-8.433462,-28.870623,213.17786,29.095455,0.055424612,0.26635933,0.055424612
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.646417,-8.392903,-28.833885,213.19392,29.8972,0.057032462,0.16078478,0.057032462
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.656417,-8.3516865,-28.796389,213.2108,30.473583,0.058218922,0.1186461,0.058218922
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.666417,-8.307957,-28.755362,213.21884,31.809484,0.060501557,0.22826329,0.060501557
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.676417,-8.26239,-28.71202,213.21399,29.350117,0.063075,0.25734448,0.063075
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.686417,-8.214945,-28.668331,213.21638,28.845413,0.06454137,0.14663723,0.06454137
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.696418,-8.1664095,-28.62376,213.21721,28.613234,0.065895066,0.1353559,0.06590166
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.706418,-8.116956,-28.578325,213.21878,28.407915,0.06717399,0.12789196,0.06717399
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.716418,-8.0665045,-28.530321,213.21257,29.23516,0.069916435,0.2742448,0.069916435
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.726418,-8.014511,-28.480492,213.20407,29.87658,0.072515175,0.2598737,0.072515175
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.736418,-7.963069,-28.431034,213.19763,30.921381,0.07165042,-0.08647499,0.07165042
01G19RWS02B2AWN3XK0H72FP0J,2022-04-22 23:14:42.746418,-7.910763,-28.383436,213.19441,31.891436,0.07079473,-0.08556864,0.07079473
