id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.393922,1.0489354,-93.35728,235.49669,15.085702,0.025722647,0.27491367,0.025722647
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.403922,1.0275383,-93.345,235.50359,16.630064,0.025612885,-0.01097612,0.025612885
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.413922,1.0043243,-93.32911,235.50665,17.022118,0.028300572,0.2687687,0.028300572
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.423922,0.9794759,-93.3089,235.50473,17.191248,0.032089196,0.37886232,0.032089196
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.433922,0.9525409,-93.28379,235.49675,17.681036,0.03767549,0.55862933,0.03767549
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.443922,0.9232021,-93.25662,235.4885,18.032764,0.04082921,0.31537208,0.04082921
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.453922,0.89221215,-93.23044,235.4803,18.06552,0.041388746,0.0559537,0.041388746
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.463923,0.8586954,-93.20361,235.47276,18.218338,0.04358459,0.21956228,0.043588948
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.473923,0.8229129,-93.17891,235.47774,19.000166,0.043766063,0.018147452,0.043766063
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.483923,0.7854673,-93.150406,235.47437,19.07876,0.04717799,0.34119254,0.04717799
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.493923,0.747311,-93.12037,235.4709,19.305813,0.048682645,0.15046538,0.048682645
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.503923,0.7079246,-93.09085,235.47281,19.369375,0.0492582,0.057555694,0.0492582
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.513923,0.6675634,-93.060135,235.47346,19.163519,0.05072672,0.14685176,0.05072672
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.523923,0.6257541,-93.02954,235.47276,18.807531,0.051808912,0.10821927,0.051808912
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.533923,0.5825734,-92.99693,235.4688,18.846708,0.05425562,0.24467103,0.05425562
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.543923,0.53933066,-92.96589,235.46881,19.042732,0.053231325,-0.10242941,0.053231325
01G11KFHFB3SB0RT9R67BAAG48,2022-04-19 19:06:10.553923,0.49509314,-92.934746,235.47203,19.282549,0.054197617,0.09662899,0.054197617
