id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.057782,-10.24964,-93.508446,235.04643,23.101212,0.015030301,0.16286804,0.015030301
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.067782,-10.264166,-93.50036,235.04953,23.70088,0.016911693,0.18813926,0.016911693
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.077782,-10.280313,-93.489136,235.04886,25.207067,0.019673022,0.27613282,0.019673022
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.087782,-10.298923,-93.47535,235.04681,27.082344,0.023252014,0.3578993,0.023252014
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.097782,-10.319407,-93.45926,235.04391,28.748102,0.026210647,0.29586324,0.026210647
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.107782,-10.338773,-93.45046,235.05264,29.73369,0.022989599,-0.3221049,0.022989599
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.117783,-10.3587675,-93.43677,235.05136,31.138811,0.024269009,0.12792832,0.024271436
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.127783,-10.380802,-93.424034,235.05698,32.613598,0.026060918,0.17919098,0.026060918
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.137783,-10.4038515,-93.40908,235.0613,32.545197,0.027811516,0.17505969,0.027811516
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.147783,-10.428081,-93.39713,235.07396,33.52225,0.029834187,0.20226713,0.029834187
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.157783,-10.453029,-93.37988,235.073,33.706722,0.0303492,0.05150136,0.0303492
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.167783,-10.479223,-93.354866,235.05914,34.901203,0.03878046,0.84312576,0.03878046
01G11GAKN3AV0QRVM26V25VXZD,2022-04-19 18:11:03.177783,-10.508477,-93.33322,235.05779,35.74166,0.036415406,-0.23650523,0.036415406
