id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.767466,30.748884,-76.1651,186.71893,18.11318,0.023730157,0.28520972,0.023730157
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.777466,30.773165,-76.156296,186.72516,19.427317,0.026570387,0.28402302,0.026570387
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.787466,30.797918,-76.14023,186.72185,20.706884,0.02969551,0.3125125,0.02969551
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.797466,30.824476,-76.120636,186.70999,19.64845,0.035068788,0.53732765,0.035068788
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.807466,30.855446,-76.10554,186.71033,19.580818,0.034456458,-0.06123301,0.034456458
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.817466,30.889563,-76.08951,186.71275,20.0924,0.037771136,0.3314677,0.037771136
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.837466,30.929604,-76.07053,186.71985,19.979372,0.022438994,-0.76660705,0.044877987
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.847466,30.97062,-76.04565,186.71523,20.977104,0.04819842,2.5759425,0.04819842
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.857466,31.01339,-76.018196,186.70572,21.655848,0.051700607,0.35021883,0.051700607
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.867466,31.059566,-75.99777,186.71198,22.106943,0.05087956,-0.08210487,0.05087956
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.877466,31.106308,-75.97196,186.71031,22.805767,0.05342107,0.25415105,0.05342107
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.887466,31.152992,-75.94382,186.70209,23.151548,0.05512649,0.17054202,0.05512649
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.897466,31.20217,-75.91997,186.70259,23.25782,0.054657493,-0.046899717,0.054657493
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.907466,31.251701,-75.893265,186.7021,22.07515,0.056274287,0.1616795,0.056274287
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.917467,31.304407,-75.86835,186.70982,21.509983,0.05879963,0.25250888,0.058805507
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.927467,31.358969,-75.84613,186.72224,21.455221,0.0602054,0.14057706,0.0602054
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.937467,31.409355,-75.82203,186.72462,21.750303,0.055905245,-0.4300153,0.055905245
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.947467,31.45866,-75.79675,186.7235,21.654797,0.05541806,-0.04871854,0.05541806
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.957467,31.511366,-75.77617,186.73685,21.76666,0.058137495,0.27194363,0.058137495
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.967467,31.56239,-75.74577,186.73087,22.244606,0.05968832,0.15508233,0.05968832
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.977467,31.616398,-75.72034,186.73558,22.374155,0.059883658,0.019533692,0.059883658
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.987467,31.670795,-75.69267,186.73657,22.777557,0.061038822,0.11551647,0.061038822
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:48.997467,31.723976,-75.658875,186.72847,22.981703,0.0635277,0.24888831,0.0635277
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.007467,31.781254,-75.62511,186.72131,21.881887,0.06687772,0.335002,0.06687772
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.017467,31.840527,-75.59158,186.7168,21.312336,0.068242036,0.13643087,0.068242036
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.027467,31.899948,-75.55337,186.70538,21.693392,0.071566574,0.33245412,0.071566574
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.037467,31.961416,-75.51555,186.69748,21.883148,0.07260299,0.10364157,0.07260299
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.047467,32.026093,-75.48244,186.70236,22.169664,0.072824776,0.022178797,0.072824776
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.057467,32.08838,-75.44448,186.69418,22.70294,0.073398896,0.057411592,0.073398896
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.067467,32.150536,-75.40859,186.69052,23.0725,0.07186618,-0.153272,0.07186618
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.077467,32.2123,-75.373344,186.68895,23.550581,0.071128316,-0.07378602,0.071128316
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.087467,32.274105,-75.33884,186.68631,23.666136,0.07083768,-0.029063862,0.07083768
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.097467,32.33712,-75.30417,186.6862,24.178127,0.071921416,0.10837428,0.071921416
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.107467,32.401134,-75.275276,186.70013,23.130527,0.07160006,-0.032135777,0.07160006
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.117467,32.463444,-75.24252,186.70403,22.877878,0.0705016,-0.10984581,0.0705016
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.127467,32.52527,-75.20857,186.70638,22.963472,0.07057154,0.006994175,0.07057154
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.137467,32.58671,-75.171455,186.7023,22.900482,0.071901366,0.13298237,0.071901366
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.147468,32.650383,-75.13402,186.69814,23.278364,0.073971696,0.20701228,0.073979095
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.157468,32.715775,-75.09557,186.69743,23.782972,0.0758597,0.18880028,0.0758597
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.167468,32.783894,-75.05556,186.69409,24.46956,0.07907155,0.32118475,0.07907155
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.177468,32.853203,-75.00977,186.68448,24.783913,0.08362162,0.45500723,0.08362162
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.187468,32.925533,-74.961365,186.67406,25.018433,0.087656915,0.40352935,0.087656915
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.197468,33.002136,-74.918846,186.67743,25.142231,0.087676,0.0019091443,0.087676
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.207468,33.081146,-74.87502,186.68318,23.800953,0.09053315,0.28571492,0.09053315
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.217468,33.160675,-74.82836,186.68448,23.78071,0.09221702,0.16838638,0.09221702
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.227468,33.24094,-74.77892,186.6831,23.441685,0.094278835,0.20618172,0.094278835
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.237468,33.323357,-74.73384,186.68811,23.225548,0.09407271,-0.020612888,0.09407271
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.247468,33.40321,-74.68227,186.68427,23.604141,0.09514097,0.106826834,0.09514097
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.257468,33.483532,-74.63017,186.67505,24.589489,0.0961802,0.103922814,0.0961802
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.267468,33.564266,-74.57893,186.66919,25.211012,0.09579567,-0.03845317,0.09579567
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.277468,33.647617,-74.52919,186.67026,25.33943,0.09707518,0.12795065,0.09707518
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.287468,33.732662,-74.48026,186.67694,25.576593,0.09834156,0.12663859,0.09834156
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.297468,33.81939,-74.4277,186.6794,25.667446,0.10144375,0.31021878,0.10144375
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.307468,33.908134,-74.36951,186.67332,24.645206,0.10629267,0.48489246,0.10629267
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.317468,33.997875,-74.30725,186.65921,25.140545,0.11013437,0.38416973,0.11013437
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.327468,34.09072,-74.24308,186.64279,26.273382,0.114048705,0.3914334,0.114048705
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.337468,34.183403,-74.170555,186.6162,27.514364,0.12065076,0.6602051,0.12065076
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.347468,34.276764,-74.09768,186.58472,28.89616,0.122546054,0.18952954,0.122546054
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.357468,34.369774,-74.027115,186.55939,29.856487,0.119467236,-0.30788177,0.119467236
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.367469,34.463787,-73.96055,186.54753,30.89015,0.115791805,-0.36750606,0.11580339
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.377469,34.556458,-73.90021,186.54164,31.571772,0.110738784,-0.50530267,0.110738784
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.387469,34.64788,-73.84274,186.5431,32.700394,0.10799199,-0.27467903,0.10799199
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.397469,34.736725,-73.785194,186.54053,33.13367,0.10589089,-0.21010955,0.10589089
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.407469,34.82403,-73.72518,186.53224,30.66126,0.10626323,0.03723329,0.10626323
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.417469,34.914043,-73.669624,186.54034,30.010994,0.10609005,-0.01731795,0.10609005
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.427469,35.00371,-73.61136,186.545,30.441483,0.10703756,0.09475137,0.10703756
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.437469,35.097237,-73.55479,186.55667,31.348438,0.10992689,0.28893238,0.10992689
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.447469,35.19438,-73.495636,186.57196,32.136242,0.11475938,0.4832493,0.11475938
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.457469,35.299408,-73.43586,186.59724,32.8072,0.123459585,0.8700208,0.123459585
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.467469,35.40535,-73.367546,186.6055,33.108704,0.12632672,0.28671414,0.12632672
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.477469,35.51323,-73.293396,186.60768,34.038944,0.13092442,0.45976943,0.13092442
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.487469,35.622196,-73.21942,186.6094,34.27507,0.13171339,0.078896426,0.13171339
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.497469,35.72893,-73.14468,186.6054,34.25047,0.13036855,-0.13448392,0.13036855
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.507469,35.833824,-73.07368,186.60963,31.666563,0.12673168,-0.3636865,0.12673168
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.517469,35.935017,-73.000725,186.6053,30.689898,0.12482272,-0.19089615,0.12482272
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.527469,36.034657,-72.92937,186.60135,30.333355,0.12262007,-0.2202654,0.12262007
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.537469,36.134346,-72.86124,186.60593,30.687717,0.120837025,-0.17830461,0.120837025
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.547469,36.234226,-72.794395,186.61345,31.697048,0.12041703,-0.041999105,0.12041703
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.557469,36.331394,-72.71779,186.60236,32.454117,0.12423001,0.38129795,0.12423001
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.567469,36.434044,-72.64357,186.60023,32.830574,0.12668815,0.2458142,0.12668815
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.577469,36.53835,-72.56438,186.59479,33.567085,0.13107377,0.43856195,0.13107377
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.587469,36.64705,-72.484535,186.59505,34.222282,0.13487162,0.37978405,0.13487162
01G11NZEFHC09SNTK9VMVE1DSB,2022-04-19 19:49:49.597470,36.759277,-72.403496,186.5988,34.62903,0.13846542,0.35934412,0.13847926
