id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.767156,17.60402,-76.022255,201.24622,14.551283,0.028246544,0.41230342,0.028246544
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.787156,17.633318,-76.00465,201.24379,15.076369,0.0171343,-0.55561227,0.0342686
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.797156,17.666248,-75.98475,201.2356,15.410496,0.03933811,2.2203808,0.03933811
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.807156,17.702724,-75.961655,201.22198,15.790702,0.045268144,0.59300387,0.045268144
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.817156,17.741425,-75.938576,201.21964,15.833567,0.045119245,-0.014890061,0.045119245
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.827156,17.783287,-75.916985,201.22089,15.6974325,0.047117695,0.19984502,0.047117695
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.837157,17.827393,-75.89663,201.22948,15.66159,0.049328156,0.22102407,0.049333088
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.847157,17.87387,-75.87489,201.23502,15.853771,0.05160373,0.2275573,0.05160373
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.857157,17.922976,-75.8555,201.24554,15.929208,0.053836733,0.22330026,0.053836733
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.867157,17.972622,-75.830124,201.24643,16.037949,0.055761926,0.1925192,0.055761926
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.877157,18.023487,-75.805046,201.24854,16.486317,0.056750093,0.098816894,0.056750093
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.887157,18.073074,-75.78269,201.25183,17.002436,0.05449378,-0.22563107,0.05449378
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.897157,18.123734,-75.765076,201.27182,17.28704,0.057235125,0.27413443,0.057235125
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.907157,18.174843,-75.74881,201.2951,17.862759,0.058470532,0.1235406,0.058470532
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.917157,18.22599,-75.72977,201.30972,17.571344,0.05650174,-0.19687952,0.05650174
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.927157,18.277456,-75.706116,201.31825,17.37659,0.057279408,0.07776721,0.057279408
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.937157,18.33167,-75.68544,201.33421,17.993773,0.060178034,0.28986228,0.060178034
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.947157,18.387102,-75.66471,201.35413,18.616661,0.062440325,0.22622907,0.062440325
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.957157,18.442528,-75.6394,201.36746,18.955338,0.06237736,-0.0062963893,0.06237736
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.967157,18.499985,-75.61481,201.38455,19.443205,0.06478982,0.24124603,0.06478982
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.977157,18.557928,-75.58933,201.40094,20.374636,0.06538432,0.05945013,0.06538432
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.987157,18.617334,-75.56371,201.41803,20.738344,0.066912554,0.15282339,0.066912554
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:39.997157,18.676596,-75.52934,201.41542,21.219433,0.06855501,0.16424567,0.06855501
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.007157,18.736267,-75.49173,201.4065,21.518034,0.07110015,0.2545141,0.07110015
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.017157,18.800434,-75.46066,201.4194,20.557384,0.07244994,0.13497838,0.07244994
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.027157,18.865664,-75.42842,201.42871,20.140408,0.073357776,0.090783864,0.073357776
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.037157,18.929848,-75.39391,201.43126,20.257174,0.07291771,-0.044006664,0.07291771
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.047157,18.993723,-75.360054,201.43585,20.173563,0.07243879,-0.04789193,0.07243879
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.057158,19.057394,-75.32437,201.43295,20.181612,0.073040605,0.060175825,0.07304791
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.067158,19.119165,-75.28611,201.42136,20.645695,0.07358137,0.0540759,0.07358137
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.087158,19.18375,-75.244804,201.41364,21.033909,0.038525317,-1.7528025,0.077050634
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.097158,19.250196,-75.203964,201.40555,21.884424,0.07841001,3.9884686,0.07841001
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.107158,19.317024,-75.16356,201.40063,22.294397,0.078245655,-0.016434917,0.078245655
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.117158,19.384567,-75.12146,201.39354,22.559162,0.079907335,0.16616812,0.079907335
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.127158,19.454544,-75.080666,201.39053,21.446484,0.08105798,0.11506467,0.08105798
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.137158,19.52638,-75.04056,201.39458,20.751776,0.082371466,0.13134836,0.082371466
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.147158,19.600334,-74.99676,201.39449,20.62371,0.08595346,0.35819963,0.08595346
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.157158,19.67656,-74.95136,201.3954,20.576141,0.08872069,0.27672237,0.08872069
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.167158,19.756096,-74.90873,201.40552,20.992855,0.09080784,0.20871556,0.09080784
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.177158,19.836628,-74.8599,201.40385,21.172747,0.09419466,0.33868203,0.09419466
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.187158,19.90769,-74.8,201.36003,20.206451,0.10274886,0.8554201,0.10274886
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.197158,19.984978,-74.74372,201.33902,20.893192,0.09789441,-0.48544574,0.09789441
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.207158,20.06427,-74.693596,201.33421,21.367493,0.09393047,-0.39639348,0.09393047
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.217158,20.146425,-74.646805,201.3375,21.869473,0.09460193,0.067145824,0.09460193
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.227158,20.225487,-74.59197,201.32204,21.741444,0.09744739,0.2845462,0.09744739
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.237158,20.306442,-74.54061,201.31891,21.263517,0.09592488,-0.15225115,0.09592488
01G1VRRDWZRWMYS71DTJG31KVM,2022-04-29 22:58:40.247158,20.3883,-74.48986,201.31523,20.845034,0.09638156,0.045668136,0.09638156
