id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.403700,-40.958656,-0.8418693,212.84218,11.87197,0.0918948,,0.0918948
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.413700,-40.956707,-0.7447914,212.85295,12.358364,0.09769205,0.57972527,0.09769205
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.423701,-40.95301,-0.64453465,212.85129,12.248707,0.100328416,0.26361,0.100338444
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.433701,-40.947926,-0.5412452,212.84526,12.287641,0.103590384,0.32619715,0.103590384
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.443701,-40.936344,-0.43483165,212.79935,11.319672,0.11647221,1.2881821,0.11647221
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.453701,-40.93344,-0.32462978,212.80457,11.445313,0.110363245,-0.61089605,0.110363245
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.463701,-40.928905,-0.21602054,212.80304,11.975356,0.10871454,-0.1648703,0.10871454
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.473701,-40.928745,-0.105956644,212.8196,12.174233,0.111301295,0.25867558,0.111301295
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.483701,-40.927288,0.0069074226,212.8371,12.368706,0.114222325,0.292103,0.114222325
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.493701,-40.92255,0.12305199,212.84328,12.350026,0.1164056,0.218327,0.1164056
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.503701,-40.919212,0.24251647,212.85477,12.494379,0.120061025,0.36554292,0.120061025
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.513701,-40.91572,0.36332896,212.8638,12.208483,0.12120094,0.113991,0.12120094
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.523701,-40.91154,0.48570755,212.87376,11.942582,0.12285386,0.16529252,0.12285386
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.533701,-40.905373,0.60756123,212.87497,12.266029,0.12201565,-0.083821386,0.12201565
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.543701,-40.903027,0.7291556,212.89859,11.483164,0.123888426,0.18727747,0.123888426
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.553701,-40.893917,0.8491608,212.89076,11.301951,0.12060433,-0.3284098,0.12060433
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.563701,-40.88732,0.96877325,212.8949,11.874456,0.11986557,-0.07387573,0.11986557
01FXK9APFN4BGPQBZ4TZJG8F5Y,2022-03-07 22:52:18.573701,-40.874786,1.0889882,212.88095,12.256312,0.1216687,0.18031304,0.1216687
